frame,parameter,value
746,$4000_duty,0
746,$4000_const,1
746,$4000_vol,0
746,$4004_duty,0
746,$4004_const,1
746,$4004_vol,0
746,$4008_linear,0
746,$400C_const,1
746,$400C_vol,0
747,$4000_duty,0
747,$4000_const,1
747,$4000_vol,0
747,$4004_duty,0
747,$4004_const,1
747,$4004_vol,0
747,$4008_linear,0
747,$400C_const,1
747,$400C_vol,0
748,$4000_duty,0
748,$4000_const,1
748,$4000_vol,0
748,$4004_duty,0
748,$4004_const,1
748,$4004_vol,0
748,$4008_linear,0
748,$400C_const,1
748,$400C_vol,0
749,$4000_duty,0
749,$4000_const,1
749,$4000_vol,0
749,$4004_duty,0
749,$4004_const,1
749,$4004_vol,0
749,$4008_linear,0
749,$400C_const,1
749,$400C_vol,1
749,$400E_period,15
749,$400E_mode,0
750,$4000_duty,0
750,$4000_const,1
750,$4000_vol,0
750,$4004_duty,0
750,$4004_const,1
750,$4004_vol,0
750,$4008_linear,0
750,$400C_const,1
750,$400C_vol,1
750,$400E_period,15
750,$400E_mode,0
751,$4000_duty,0
751,$4000_const,1
751,$4000_vol,3
751,$4001_sweep,8
751,$4002_period,569
751,$400B_length,1
751,$4004_duty,0
751,$4004_const,1
751,$4004_vol,0
751,$4008_linear,0
751,$400C_const,1
751,$400C_vol,1
751,$400E_period,15
751,$400E_mode,0
752,$4000_duty,1
752,$4000_const,1
752,$4000_vol,3
752,$4001_sweep,8
752,$4004_duty,0
752,$4004_const,1
752,$4004_vol,0
752,$4008_linear,0
752,$400C_const,1
752,$400C_vol,2
752,$400E_period,15
752,$400E_mode,0
753,$4000_duty,1
753,$4000_const,1
753,$4000_vol,3
753,$4001_sweep,8
753,$4004_duty,0
753,$4004_const,1
753,$4004_vol,0
753,$4008_linear,0
753,$400C_const,1
753,$400C_vol,2
753,$400E_period,15
753,$400E_mode,0
754,$4000_duty,1
754,$4000_const,1
754,$4000_vol,2
754,$4001_sweep,8
754,$4004_duty,0
754,$4004_const,1
754,$4004_vol,0
754,$4008_linear,0
754,$400C_const,1
754,$400C_vol,2
754,$400E_period,15
754,$400E_mode,0
755,$4000_duty,1
755,$4000_const,1
755,$4000_vol,2
755,$4001_sweep,8
755,$4004_duty,0
755,$4004_const,1
755,$4004_vol,4
755,$4005_sweep,8
755,$4006_period,479
755,$4008_linear,0
755,$400C_const,1
755,$400C_vol,3
755,$400E_period,15
755,$400E_mode,0
756,$4000_duty,1
756,$4000_const,1
756,$4000_vol,2
756,$4001_sweep,8
756,$4004_duty,1
756,$4004_const,1
756,$4004_vol,4
756,$4005_sweep,8
756,$4008_linear,0
756,$400C_const,1
756,$400C_vol,3
756,$400E_period,15
756,$400E_mode,0
757,$4000_duty,1
757,$4000_const,1
757,$4000_vol,2
757,$4001_sweep,8
757,$4004_duty,1
757,$4004_const,1
757,$4004_vol,4
757,$4005_sweep,8
757,$4008_linear,0
757,$400C_const,1
757,$400C_vol,3
757,$400E_period,15
757,$400E_mode,0
758,$4000_duty,0
758,$4000_const,1
758,$4000_vol,8
758,$4001_sweep,8
758,$4002_period,359
758,$400B_length,0
758,$4004_duty,1
758,$4004_const,1
758,$4004_vol,3
758,$4005_sweep,8
758,$4008_linear,1
758,$400A_period,1141
758,$400B_length,2
758,$400C_const,1
758,$400C_vol,5
758,$400E_period,15
758,$400E_mode,0
758,$4010_rate,0
758,$4012_addr,1
758,$4013_len,1
759,$4000_duty,1
759,$4000_const,1
759,$4000_vol,7
759,$4001_sweep,8
759,$4004_duty,1
759,$4004_const,1
759,$4004_vol,3
759,$4005_sweep,8
759,$4008_linear,1
759,$400A_period,1141
759,$400B_length,2
759,$400C_const,1
759,$400C_vol,5
759,$400E_period,15
759,$400E_mode,0
760,$4000_duty,1
760,$4000_const,1
760,$4000_vol,7
760,$4001_sweep,8
760,$4004_duty,1
760,$4004_const,1
760,$4004_vol,3
760,$4005_sweep,8
760,$4008_linear,1
760,$400A_period,1141
760,$400B_length,2
760,$400C_const,1
760,$400C_vol,5
760,$400E_period,15
760,$400E_mode,0
761,$4000_duty,1
761,$4000_const,1
761,$4000_vol,6
761,$4001_sweep,8
761,$4004_duty,1
761,$4004_const,1
761,$4004_vol,3
761,$4005_sweep,8
761,$4008_linear,1
761,$400A_period,1141
761,$400B_length,2
761,$400C_const,1
761,$400C_vol,4
761,$400E_period,15
761,$400E_mode,0
762,$4000_duty,1
762,$4000_const,1
762,$4000_vol,6
762,$4001_sweep,8
762,$4004_duty,1
762,$4004_const,1
762,$4004_vol,2
762,$4005_sweep,8
762,$4008_linear,1
762,$400A_period,1141
762,$400B_length,2
762,$400C_const,1
762,$400C_vol,4
762,$400E_period,15
762,$400E_mode,0
763,$4000_duty,1
763,$4000_const,1
763,$4000_vol,5
763,$4001_sweep,8
763,$4004_duty,1
763,$4004_const,1
763,$4004_vol,2
763,$4005_sweep,8
763,$4008_linear,1
763,$400A_period,1141
763,$400B_length,2
763,$400C_const,1
763,$400C_vol,4
763,$400E_period,15
763,$400E_mode,0
764,$4000_duty,1
