frame,parameter,value
3,$4008_linear,0
3,$400A_period,2041
3,$400B_length,19
3,$4010_rate,15
3,$4011_dac,1
3,$4012_addr,11
3,$4013_len,52
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,0
11,$4001_sweep,0
11,$4002_period,2041
11,$400B_length,19
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,0
11,$4005_sweep,0
11,$4006_period,2041
11,$4008_linear,1
11,$400A_period,427
11,$400B_length,0
11,$4010_rate,15
11,$4011_dac,1
11,$4012_addr,11
11,$4013_len,52
15,$4008_linear,0
15,$400A_period,2041
15,$400B_length,19
19,$4008_linear,1
19,$400A_period,427
19,$400B_length,0
19,$4010_rate,15
19,$4011_dac,1
19,$4012_addr,11
19,$4013_len,52
23,$4008_linear,0
23,$400A_period,2041
23,$400B_length,19
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,0
27,$4001_sweep,0
27,$4002_period,2041
27,$400B_length,19
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,0
27,$4005_sweep,0
27,$4006_period,2041
27,$4008_linear,1
27,$400A_period,427
27,$400B_length,0
27,$4010_rate,15
27,$4011_dac,1
27,$4012_addr,11
27,$4013_len,52
31,$4008_linear,0
31,$400A_period,2041
31,$400B_length,19
35,$4008_linear,1
35,$400A_period,427
35,$400B_length,0
35,$4010_rate,15
35,$4011_dac,1
35,$4012_addr,11
35,$4013_len,52
39,$4008_linear,0
39,$400A_period,2041
39,$400B_length,19
43,$4000_duty,1
43,$4000_const,1
43,$4000_vol,0
43,$4001_sweep,0
43,$4002_period,2041
43,$400B_length,19
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,0
43,$4005_sweep,0
43,$4006_period,2041
43,$4008_linear,1
43,$400A_period,427
43,$400B_length,0
43,$4010_rate,15
43,$4011_dac,1
43,$4012_addr,11
43,$4013_len,52
51,$4008_linear,0
51,$400A_period,2041
51,$400B_length,19
51,$4010_rate,15
51,$4011_dac,1
51,$4012_addr,11
51,$4013_len,52
59,$4000_duty,1
59,$4000_const,1
59,$4000_vol,0
59,$4001_sweep,0
59,$4002_period,2041
59,$400B_length,19
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,0
59,$4005_sweep,0
59,$4006_period,2041
59,$4008_linear,1
59,$400A_period,427
59,$400B_length,0
59,$4010_rate,15
59,$4011_dac,1
59,$4012_addr,11
59,$4013_len,52
63,$4008_linear,0
63,$400A_period,2041
63,$400B_length,19
67,$4008_linear,1
67,$400A_period,427
67,$400B_length,0
67,$4010_rate,15
67,$4011_dac,1
67,$4012_addr,11
67,$4013_len,52
71,$4008_linear,0
71,$400A_period,2041
71,$400B_length,19
75,$4000_duty,1
75,$4000_const,1
75,$4000_vol,0
75,$4001_sweep,0
75,$4002_period,2041
75,$400B_length,19
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,0
75,$4005_sweep,0
75,$4006_period,2041
75,$4008_linear,1
75,$400A_period,427
75,$400B_length,0
75,$4010_rate,15
75,$4011_dac,1
75,$4012_addr,11
75,$4013_len,52
79,$4008_linear,0
79,$400A_period,2041
79,$400B_length,19
83,$4008_linear,1
83,$400A_period,427
83,$400B_length,0
83,$4010_rate,15
83,$4011_dac,1
83,$4012_addr,11
83,$4013_len,52
87,$4008_linear,0
87,$400A_period,2041
87,$400B_length,19
91,$4000_duty,1
91,$4000_const,1
91,$4000_vol,0
91,$4001_sweep,0
91,$4002_period,2041
91,$400B_length,19
91,$4004_duty,2
91,$4004_const,1
91,$4004_vol,0
91,$4005_sweep,0
91,$4006_period,2041
91,$4008_linear,1
91,$400A_period,427
91,$400B_length,0
91,$4010_rate,15
91,$4011_dac,1
91,$4012_addr,11
91,$4013_len,52
99,$4008_linear,0
