frame,parameter,value
0,$4008_linear,1
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,9
1,$4008_linear,1
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,8
2,$4008_linear,1
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,8
3,$4008_linear,1
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,8
4,$4008_linear,1
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,6
5,$4008_linear,1
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,6
6,$4008_linear,1
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,5
7,$400C_const,1
7,$400C_vol,9
7,$400E_period,0
7,$400E_mode,0
7,$400A_period,857
7,$400B_length,193
7,$4008_linear,1
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,13
7,$4000_duty,3
7,$4000_const,0
7,$4000_vol,0
7,$4001_sweep,0
7,$4002_period,571
7,$400B_length,193
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,9
8,$400C_const,1
8,$400C_vol,6
8,$400E_period,0
8,$400E_mode,0
8,$4008_linear,1
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,12
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,9
9,$400C_const,1
9,$400C_vol,3
9,$400E_period,0
9,$400E_mode,0
9,$4008_linear,1
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,10
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,9
10,$400C_const,1
10,$400C_vol,1
10,$400E_period,0
10,$400E_mode,0
10,$4008_linear,1
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,8
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,8
11,$400C_const,1
11,$400C_vol,0
11,$400E_period,0
11,$400E_mode,0
11,$4008_linear,1
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,6
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,8
12,$400C_const,1
12,$400C_vol,0
12,$400E_period,0
12,$400E_mode,0
12,$4008_linear,1
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,4
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,8
13,$400C_const,1
13,$400C_vol,0
13,$400E_period,0
13,$400E_mode,0
13,$4008_linear,1
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,12
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,6
14,$400C_const,1
14,$400C_vol,0
14,$400E_period,0
14,$400E_mode,0
14,$4008_linear,1
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,10
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,6
15,$400C_const,1
15,$400C_vol,0
15,$400E_period,0
15,$400E_mode,0
15,$4008_linear,1
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,8
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,5
16,$400C_const,1
16,$400C_vol,0
16,$400E_period,0
16,$400E_mode,0
16,$4008_linear,1
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,6
16,$4000_duty,3
16,$4000_const,0
16,$4000_vol,0
16,$4001_sweep,0
16,$4002_period,641
16,$400B_length,193
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,9
17,$400C_const,1
17,$400C_vol,0
17,$400E_period,0
17,$400E_mode,0
17,$4008_linear,1
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,4
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,9
18,$400C_const,1
18,$400C_vol,0
18,$400E_period,0
18,$400E_mode,0
18,$4008_linear,1
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,2
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,9
19,$400C_const,1
19,$400C_vol,0
19,$400E_period,0
19,$400E_mode,0
19,$4008_linear,1
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,10
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,8
20,$400C_const,1
20,$400C_vol,0
20,$400E_period,0
20,$400E_mode,0
20,$4008_linear,1
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,8
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,8
21,$400C_const,1
21,$400C_vol,0
21,$400E_period,0
21,$400E_mode,0
21,$4008_linear,1
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,6
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,8
22,$400C_const,1
22,$400C_vol,0
22,$400E_period,0
22,$400E_mode,0
22,$4008_linear,1
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,4
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,6
23,$400C_const,1
23,$400C_vol,0
23,$400E_period,0
23,$400E_mode,0
23,$4008_linear,1
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,2
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,6
24,$400C_const,1
24,$400C_vol,0
24,$400E_period,0
24,$400E_mode,0
24,$4008_linear,1
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,1
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,5
25,$400C_const,1
25,$400C_vol,0
25,$400E_period,0
25,$400E_mode,0
25,$4008_linear,1
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,8
25,$4000_duty,3
25,$4000_const,0
25,$4000_vol,0
25,$4001_sweep,0
25,$4002_period,679
25,$400B_length,193
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,9
26,$400C_const,1
26,$400C_vol,0
26,$400E_period,0
26,$400E_mode,0
26,$4008_linear,1
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,6
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,9
27,$400C_const,1
27,$400C_vol,0
27,$400E_period,0
27,$400E_mode,0
27,$4008_linear,1
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,4
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,9
28,$400C_const,1
28,$400C_vol,0
28,$400E_period,0
28,$400E_mode,0
28,$4008_linear,1
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,2
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,8
29,$400C_const,1
29,$400C_vol,0
29,$400E_period,0
29,$400E_mode,0
29,$4008_linear,1
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,1
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,8
30,$400C_const,1
30,$400C_vol,0
30,$400E_period,0
30,$400E_mode,0
30,$4008_linear,1
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,0
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,8
31,$400C_const,1
31,$400C_vol,0
31,$400E_period,0
31,$400E_mode,0
31,$4008_linear,1
31,$4004_duty,0
31,$4004_const,1
31,$4004_vol,6
31,$4000_duty,0
31,$4000_const,1
31,$4000_vol,6
32,$400C_const,1
32,$400C_vol,0
32,$400E_period,0
32,$400E_mode,0
32,$4008_linear,1
32,$4004_duty,0
32,$4004_const,1
32,$4004_vol,4
32,$4000_duty,0
32,$4000_const,1
32,$4000_vol,6
33,$400C_const,1
33,$400C_vol,0
33,$400E_period,0
33,$400E_mode,0
33,$4008_linear,1
33,$4004_duty,0
33,$4004_const,1
33,$4004_vol,2
33,$4000_duty,3
33,$4000_const,0
33,$4000_vol,0
33,$4001_sweep,0
33,$4002_period,641
33,$400B_length,193
33,$4000_duty,0
33,$4000_const,1
33,$4000_vol,9
34,$400C_const,1
34,$400C_vol,0
34,$400E_period,0
34,$400E_mode,0
34,$4008_linear,1
34,$4004_duty,0
34,$4004_const,1
34,$4004_vol,1
34,$4000_duty,0
34,$4000_const,1
34,$4000_vol,9
35,$400C_const,1
35,$400C_vol,0
35,$400E_period,0
35,$400E_mode,0
35,$4008_linear,1
35,$4004_duty,0
35,$4004_const,1
35,$4004_vol,0
35,$4000_duty,0
35,$4000_const,1
35,$4000_vol,9
36,$400C_const,1
36,$400C_vol,0
36,$400E_period,0
36,$400E_mode,0
36,$4008_linear,1
36,$4004_duty,0
36,$4004_const,1
36,$4004_vol,0
36,$4000_duty,0
36,$4000_const,1
36,$4000_vol,8
37,$400C_const,1
37,$400C_vol,0
37,$400E_period,0
37,$400E_mode,0
37,$4008_linear,1
37,$4004_duty,0
37,$4004_const,1
37,$4004_vol,4
37,$4000_duty,0
37,$4000_const,1
37,$4000_vol,8
38,$400C_const,1
38,$400C_vol,0
38,$400E_period,0
38,$400E_mode,0
38,$4008_linear,1
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,2
38,$4000_duty,0
38,$4000_const,1
38,$4000_vol,8
39,$400C_const,1
39,$400C_vol,0
39,$400E_period,0
39,$400E_mode,0
39,$4008_linear,1
39,$4004_duty,0
39,$4004_const,1
39,$4004_vol,1
39,$4000_duty,0
39,$4000_const,1
39,$4000_vol,6
40,$400C_const,1
40,$400C_vol,0
40,$400E_period,0
40,$400E_mode,0
40,$4008_linear,1
40,$4004_duty,0
40,$4004_const,1
40,$4004_vol,0
40,$4000_duty,0
40,$4000_const,1
40,$4000_vol,6
41,$400C_const,1
41,$400C_vol,0
41,$400E_period,0
41,$400E_mode,0
41,$4008_linear,1
41,$4004_duty,0
41,$4004_const,1
41,$4004_vol,0
41,$4000_duty,0
41,$4000_const,1
41,$4000_vol,5
42,$400C_const,1
42,$400C_vol,0
42,$400E_period,0
42,$400E_mode,0
42,$400A_period,763
42,$400B_length,193
42,$4008_linear,1
42,$4004_duty,0
42,$4004_const,1
42,$4004_vol,0
42,$4000_duty,3
42,$4000_const,0
42,$4000_vol,0
42,$4001_sweep,0
42,$4002_period,571
42,$400B_length,193
42,$4000_duty,0
42,$4000_const,1
42,$4000_vol,9
43,$400C_const,1
43,$400C_vol,0
43,$400E_period,0
43,$400E_mode,0
43,$4008_linear,1
43,$4004_duty,0
43,$4004_const,1
43,$4004_vol,2
43,$4000_duty,0
43,$4000_const,1
43,$4000_vol,9
44,$400C_const,1
44,$400C_vol,0
44,$400E_period,0
44,$400E_mode,0
44,$4008_linear,1
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,1
