frame,parameter,value
262,$400E_period,14
262,$400E_mode,0
262,$400C_const,1
262,$400C_vol,15
263,$400E_period,9
263,$400E_mode,0
264,$400E_period,4
264,$400E_mode,0
268,$400E_period,6
268,$400E_mode,0
270,$400E_period,8
270,$400E_mode,0
272,$400E_period,10
272,$400E_mode,0
274,$400C_const,1
274,$400C_vol,0
275,$400E_period,6
275,$400E_mode,0
275,$400C_const,1
275,$400C_vol,15
279,$400C_const,1
279,$400C_vol,0
280,$400E_period,5
280,$400E_mode,0
280,$400C_const,1
280,$400C_vol,15
284,$400E_period,7
284,$400E_mode,0
286,$400E_period,9
286,$400E_mode,0
288,$400E_period,11
288,$400E_mode,0
290,$400E_period,13
290,$400E_mode,0
292,$400E_period,15
292,$400E_mode,0
294,$400E_period,1
294,$400E_mode,0
296,$4004_duty,2
296,$4004_const,1
296,$4004_vol,15
296,$4006_period,3049
296,$400E_period,11
296,$400E_mode,0
298,$4006_period,2289
298,$400E_period,9
298,$400E_mode,0
299,$4006_period,2427
300,$4000_duty,2
300,$4000_const,1
300,$4000_vol,15
300,$4002_period,3049
300,$400B_length,5
301,$4006_period,1921
301,$400E_period,8
301,$400E_mode,0
302,$4002_period,2289
302,$400B_length,20
302,$4006_period,2041
303,$4002_period,2427
303,$400B_length,4
304,$4006_period,1441
304,$4008_linear,127
304,$400A_period,1525
304,$400B_length,18
304,$400E_period,9
304,$400E_mode,0
305,$4002_period,1921
305,$400B_length,19
305,$4006_period,3049
306,$4002_period,2041
306,$400B_length,3
306,$400A_period,1143
306,$400B_length,2
307,$4006_period,2289
307,$400A_period,1211
307,$400B_length,18
307,$400E_period,10
307,$400E_mode,0
308,$4002_period,1441
308,$400B_length,18
308,$4006_period,2427
309,$4002_period,3049
309,$400B_length,5
309,$400A_period,961
309,$400B_length,1
309,$400E_period,11
309,$400E_mode,0
310,$4006_period,1921
310,$400A_period,1019
310,$400B_length,17
311,$4002_period,2289
311,$400B_length,20
311,$4006_period,2041
312,$4002_period,2427
312,$400B_length,4
312,$400A_period,719
312,$400B_length,1
312,$400E_period,12
312,$400E_mode,0
313,$4006_period,1441
313,$400A_period,1525
313,$400B_length,18
314,$4002_period,1921
314,$400B_length,19
314,$4006_period,3049
315,$4002_period,2041
315,$400B_length,3
315,$400A_period,1143
315,$400B_length,2
315,$400E_period,13
315,$400E_mode,0
316,$4006_period,2289
316,$400A_period,1211
316,$400B_length,18
317,$4002_period,1441
317,$400B_length,18
317,$4006_period,2427
317,$400E_period,12
317,$400E_mode,0
318,$4002_period,3049
318,$400B_length,5
318,$400A_period,961
318,$400B_length,1
319,$4006_period,1921
319,$400A_period,1019
319,$400B_length,17
319,$400E_period,14
319,$400E_mode,0
320,$4002_period,2289
320,$400B_length,20
320,$4006_period,2041
321,$4002_period,2427
321,$400B_length,4
321,$400A_period,719
321,$400B_length,1
321,$400E_period,13
321,$400E_mode,0
322,$4006_period,1441
322,$400A_period,1525
322,$400B_length,18
323,$4002_period,1921
323,$400B_length,19
323,$4006_period,3049
323,$400E_period,14
323,$400E_mode,0
324,$4002_period,2041
324,$400B_length,3
324,$400A_period,1143
324,$400B_length,2
325,$4006_period,2289
325,$400A_period,1211
325,$400B_length,18
325,$400E_period,12
325,$400E_mode,0
326,$4002_period,1441
326,$400B_length,18
326,$4006_period,2427
327,$4002_period,3049
327,$400B_length,5
327,$400A_period,961
327,$400B_length,1
327,$400E_period,13
327,$400E_mode,0
328,$4006_period,1921
328,$400A_period,1019
328,$400B_length,17
329,$4002_period,2289
329,$400B_length,20
329,$4006_period,2041
329,$400E_period,12
329,$400E_mode,0
330,$4002_period,2427
330,$400B_length,4
330,$400A_period,719
330,$400B_length,1
331,$4006_period,1441
331,$400A_period,1525
331,$400B_length,18
331,$400E_period,14
331,$400E_mode,0
332,$4002_period,1921
332,$400B_length,19
332,$4006_period,3855
333,$4002_period,2041
333,$400B_length,3
333,$400A_period,1143
333,$400B_length,2
333,$400E_period,13
333,$400E_mode,0
334,$4006_period,4095
334,$400A_period,1211
