frame,parameter,value
1,$400C_const,1
1,$400C_vol,1
4,$4001_sweep,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,7
4,$4005_sweep,0
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,7
6,$4001_sweep,0
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,8
6,$4002_period,381
6,$400B_length,0
6,$400C_const,1
6,$400C_vol,0
7,$4005_sweep,0
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,6
10,$4005_sweep,0
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,5
11,$4001_sweep,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,7
13,$4001_sweep,0
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,8
13,$4002_period,303
13,$400B_length,0
13,$4005_sweep,0
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,4
16,$4005_sweep,0
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,3
18,$4001_sweep,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,7
20,$4001_sweep,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,8
20,$4002_period,255
20,$400B_length,0
20,$4005_sweep,0
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,8
20,$4006_period,605
20,$400C_const,1
20,$400C_vol,5
21,$400C_const,1
21,$400C_vol,3
22,$400C_const,1
22,$400C_vol,1
25,$4001_sweep,0
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,7
25,$4005_sweep,0
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,7
27,$4001_sweep,0
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,8
27,$4002_period,303
27,$400B_length,0
28,$4005_sweep,0
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,6
31,$4005_sweep,0
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,5
32,$4001_sweep,0
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,7
34,$4005_sweep,0
34,$4004_duty,1
34,$4004_const,1
34,$4004_vol,4
34,$400C_const,1
34,$400C_vol,0
35,$4001_sweep,0
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,6
37,$4005_sweep,0
37,$4004_duty,1
37,$4004_const,1
37,$4004_vol,3
38,$4001_sweep,0
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,5
41,$4001_sweep,0
41,$4000_duty,1
41,$4000_const,1
41,$4000_vol,4
42,$4005_sweep,0
42,$4004_duty,1
42,$4004_const,1
42,$4004_vol,2
44,$4001_sweep,0
44,$4000_duty,1
44,$4000_const,1
44,$4000_vol,3
47,$4005_sweep,0
47,$4004_duty,1
47,$4004_const,1
47,$4004_vol,1
48,$4001_sweep,0
48,$4000_duty,1
48,$4000_const,1
48,$4000_vol,8
48,$4002_period,509
48,$400B_length,0
48,$4005_sweep,0
48,$4004_duty,1
48,$4004_const,1
48,$4004_vol,8
48,$4006_period,1281
48,$400C_const,1
48,$400C_vol,5
49,$400C_const,1
49,$400C_vol,3
50,$400C_const,1
50,$400C_vol,1
53,$4001_sweep,0
53,$4000_duty,1
53,$4000_const,1
53,$4000_vol,7
53,$4005_sweep,0
53,$4004_duty,1
53,$4004_const,1
53,$4004_vol,7
55,$4001_sweep,0
55,$4000_duty,1
55,$4000_const,1
55,$4000_vol,8
55,$4002_period,427
55,$400B_length,0
55,$400C_const,1
55,$400C_vol,0
56,$4005_sweep,0
56,$4004_duty,1
56,$4004_const,1
56,$4004_vol,6
59,$4005_sweep,0
59,$4004_duty,1
59,$4004_const,1
59,$4004_vol,5
60,$4001_sweep,0
60,$4000_duty,1
60,$4000_const,1
60,$4000_vol,7
62,$4001_sweep,0
62,$4000_duty,1
62,$4000_const,1
62,$4000_vol,8
62,$4002_period,339
62,$400B_length,0
62,$4005_sweep,0
62,$4004_duty,1
62,$4004_const,1
62,$4004_vol,4
65,$4005_sweep,0
65,$4004_duty,1
65,$4004_const,1
65,$4004_vol,3
67,$4001_sweep,0
67,$4000_duty,1
67,$4000_const,1
67,$4000_vol,7
69,$4001_sweep,0
69,$4000_duty,1
69,$4000_const,1
69,$4000_vol,8
69,$4002_period,285
69,$400B_length,0
70,$4005_sweep,0
70,$4004_duty,1
70,$4004_const,1
70,$4004_vol,2
74,$4001_sweep,0
74,$4000_duty,1
74,$4000_const,1
74,$4000_vol,7
75,$4005_sweep,0
75,$4004_duty,1
75,$4004_const,1
