frame,parameter,value
20,$4000_duty,3
20,$4000_const,1
20,$4000_vol,1
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,1
21,$4008_linear,0
23,$4002_period,1
23,$400B_length,0
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,11
23,$4006_period,1
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,5
23,$4008_linear,127
23,$400A_period,1025
23,$400B_length,18
24,$4000_duty,3
24,$4000_const,1
24,$4000_vol,8
48,$4000_duty,3
48,$4000_const,1
48,$4000_vol,1
48,$4004_duty,0
48,$4004_const,1
48,$4004_vol,1
49,$4008_linear,0
51,$4002_period,303
51,$400B_length,16
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,11
51,$4006_period,1533
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,5
51,$4008_linear,127
51,$400A_period,763
51,$400B_length,1
52,$4000_duty,3
52,$4000_const,1
52,$4000_vol,8
58,$4008_linear,0
59,$4000_duty,3
59,$4000_const,1
59,$4000_vol,1
59,$4004_duty,0
59,$4004_const,1
59,$4004_vol,1
72,$4002_period,339
72,$400B_length,0
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,11
72,$4006_period,1079
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,5
72,$4008_linear,127
72,$400A_period,763
72,$400B_length,17
73,$4000_duty,3
73,$4000_const,1
73,$4000_vol,8
77,$4000_duty,3
77,$4000_const,1
77,$4000_vol,1
77,$4004_duty,0
77,$4004_const,1
77,$4004_vol,1
78,$4008_linear,0
79,$4002_period,453
79,$400B_length,16
79,$4000_duty,2
79,$4000_const,1
79,$4000_vol,11
79,$4006_period,567
79,$4004_duty,2
79,$4004_const,1
79,$4004_vol,5
79,$4008_linear,127
79,$400A_period,763
79,$400B_length,1
80,$4000_duty,3
80,$4000_const,1
80,$4000_vol,8
105,$4004_duty,0
105,$4004_const,1
105,$4004_vol,1
107,$4006_period,539
107,$4004_duty,2
107,$4004_const,1
107,$4004_vol,5
133,$4004_duty,0
133,$4004_const,1
133,$4004_vol,1
135,$4006_period,1191
135,$4004_duty,2
135,$4004_const,1
135,$4004_vol,5
147,$4004_duty,0
147,$4004_const,1
147,$4004_vol,1
148,$4000_duty,3
148,$4000_const,1
148,$4000_vol,1
149,$4002_period,453
149,$400B_length,0
149,$4000_duty,2
149,$4000_const,1
149,$4000_vol,11
149,$4006_period,1079
149,$4004_duty,2
149,$4004_const,1
149,$4004_vol,5
149,$400A_period,679
149,$400B_length,17
150,$4000_duty,3
150,$4000_const,1
150,$4000_vol,8
154,$4000_duty,3
154,$4000_const,1
154,$4000_vol,1
154,$4004_duty,0
154,$4004_const,1
154,$4004_vol,1
154,$4008_linear,0
156,$4002_period,453
156,$400B_length,16
156,$4000_duty,2
156,$4000_const,1
156,$4000_vol,11
156,$4006_period,567
156,$4004_duty,2
156,$4004_const,1
156,$4004_vol,5
156,$4008_linear,127
156,$400A_period,605
156,$400B_length,1
157,$4000_duty,3
157,$4000_const,1
157,$4000_vol,8
161,$4000_duty,3
161,$4000_const,1
161,$4000_vol,1
161,$4004_duty,0
161,$4004_const,1
161,$4004_vol,1
161,$4008_linear,0
163,$4002_period,403
163,$400B_length,0
163,$4000_duty,2
163,$4000_const,1
163,$4000_vol,11
163,$4006_period,1019
163,$4004_duty,2
163,$4004_const,1
163,$4004_vol,5
163,$4008_linear,127
163,$400A_period,571
163,$400B_length,17
164,$4000_duty,3
164,$4000_const,1
164,$4000_vol,8
202,$4004_duty,0
202,$4004_const,1
202,$4004_vol,1
204,$4000_duty,3
204,$4000_const,1
204,$4000_vol,1
205,$4002_period,381
205,$400B_length,16
205,$4000_duty,2
205,$4000_const,1
205,$4000_vol,11
205,$4006_period,907
205,$4004_duty,2
205,$4004_const,1
205,$4004_vol,5
205,$400A_period,1143
205,$400B_length,2
206,$4000_duty,3
206,$4000_const,1
206,$4000_vol,8
210,$4000_duty,3
210,$4000_const,1
210,$4000_vol,1
210,$4004_duty,0
210,$4004_const,1
210,$4004_vol,1
210,$4008_linear,0
212,$4002_period,481
212,$400B_length,0
212,$4000_duty,2
212,$4000_const,1
212,$4000_vol,11
212,$4006_period,763
212,$4004_duty,2
212,$4004_const,1
212,$4004_vol,5
212,$4008_linear,127
212,$400A_period,1019
212,$400B_length,17
213,$4000_duty,3
213,$4000_const,1
213,$4000_vol,8
217,$4000_duty,3
217,$4000_const,1
217,$4000_vol,1
217,$4004_duty,0
217,$4004_const,1
217,$4004_vol,1
217,$4008_linear,0
219,$4002_period,427
219,$400B_length,16
219,$4000_duty,2
219,$4000_const,1
219,$4000_vol,11
219,$4006_period,679
219,$4004_duty,2
219,$4004_const,1
219,$4004_vol,5
219,$4008_linear,127
219,$400A_period,961
219,$400B_length,1
220,$4000_duty,3
220,$4000_const,1
220,$4000_vol,8
245,$4000_duty,3
245,$4000_const,1
245,$4000_vol,1
245,$4004_duty,0
245,$4004_const,1
245,$4004_vol,1
247,$4002_period,381
247,$400B_length,0
247,$4000_duty,2
247,$4000_const,1
247,$4000_vol,11
247,$4006_period,641
247,$4004_duty,2
247,$4004_const,1
247,$4004_vol,5
247,$400A_period,855
247,$400B_length,17
248,$4000_duty,3
248,$4000_const,1
248,$4000_vol,8
252,$4000_duty,3
252,$4000_const,1
252,$4000_vol,1
252,$4004_duty,0
252,$4004_const,1
252,$4004_vol,1
252,$4008_linear,0
256,$4002_period,851
256,$400B_length,17
256,$4000_duty,2
256,$4000_const,1
256,$4000_vol,11
256,$4006_period,571
256,$4004_duty,2
256,$4004_const,1
256,$4004_vol,5
256,$4008_linear,127
256,$400A_period,855
256,$400B_length,1
257,$4000_duty,3
257,$4000_const,1
257,$4000_vol,8
261,$4000_duty,3
261,$4000_const,1
261,$4000_vol,1
261,$4004_duty,0
261,$4004_const,1
261,$4004_vol,1
261,$4008_linear,0
265,$4002_period,59
265,$400B_length,0
265,$4000_duty,2
265,$4000_const,1
265,$4000_vol,11
265,$4006_period,679
265,$4004_duty,2
265,$4004_const,1
265,$4004_vol,5
265,$4008_linear,127
265,$400A_period,855
265,$400B_length,17
266,$4000_duty,3
266,$4000_const,1
266,$4000_vol,8
271,$4000_duty,3
271,$4000_const,1
271,$4000_vol,1
271,$4004_duty,0
271,$4004_const,1
271,$4004_vol,1
271,$4008_linear,0
275,$4002_period,339
275,$400B_length,16
275,$4000_duty,2
275,$4000_const,1
275,$4000_vol,11
275,$4006_period,59
275,$4004_duty,2
275,$4004_const,1
275,$4004_vol,5
275,$4008_linear,127
275,$400A_period,763
275,$400B_length,1
276,$4000_duty,3
276,$4000_const,1
276,$4000_vol,8
286,$4000_duty,3
286,$4000_const,1
286,$4000_vol,1
286,$4004_duty,0
286,$4004_const,1
286,$4004_vol,1
289,$4008_linear,0
296,$4002_period,303
296,$400B_length,0
296,$4000_duty,2
296,$4000_const,1
296,$4000_vol,11
296,$4006_period,1021
296,$4004_duty,2
296,$4004_const,1
296,$4004_vol,5
297,$4000_duty,3
297,$4000_const,1
297,$4000_vol,8
300,$4000_duty,3
300,$4000_const,1
300,$4000_vol,1
300,$4004_duty,0
300,$4004_const,1
300,$4004_vol,1
303,$4002_period,509
303,$400B_length,16
303,$4000_duty,2
303,$4000_const,1
303,$4000_vol,11
303,$4006_period,605
303,$4004_duty,2
303,$4004_const,1
303,$4004_vol,5
303,$4008_linear,127
303,$400A_period,1525
303,$400B_length,18
304,$4000_duty,3
304,$4000_const,1
