frame,parameter,value
191,$4001_sweep,0
191,$4005_sweep,67
193,$4000_duty,2
193,$4000_const,1
193,$4000_vol,12
193,$4001_sweep,0
193,$4002_period,569
193,$400B_length,153
193,$4004_duty,1
193,$4004_const,1
193,$4004_vol,9
193,$4005_sweep,67
193,$4006_period,1
193,$4008_linear,31
193,$400A_period,1
193,$400B_length,152
193,$400C_const,0
193,$400C_vol,0
193,$400E_period,0
193,$400E_mode,0
194,$4000_duty,2
194,$4000_const,1
194,$4000_vol,12
195,$4000_duty,2
195,$4000_const,1
195,$4000_vol,12
197,$4000_duty,2
197,$4000_const,1
197,$4000_vol,12
198,$4000_duty,2
198,$4000_const,1
198,$4000_vol,12
199,$4000_duty,2
199,$4000_const,1
199,$4000_vol,12
199,$4001_sweep,0
199,$4002_period,507
199,$400B_length,152
200,$4000_duty,2
200,$4000_const,1
200,$4000_vol,12
201,$4000_duty,2
201,$4000_const,1
201,$4000_vol,12
203,$4000_duty,2
203,$4000_const,1
203,$4000_vol,12
204,$4000_duty,2
204,$4000_const,1
204,$4000_vol,12
206,$4000_duty,2
206,$4000_const,1
206,$4000_vol,12
207,$4000_duty,2
207,$4000_const,1
207,$4000_vol,12
209,$4000_duty,2
209,$4000_const,1
209,$4000_vol,12
210,$4000_duty,2
210,$4000_const,1
210,$4000_vol,12
211,$4000_duty,2
211,$4000_const,1
211,$4000_vol,12
211,$4001_sweep,0
211,$4002_period,569
211,$400B_length,153
212,$4000_duty,2
212,$4000_const,1
212,$4000_vol,12
213,$4000_duty,2
213,$4000_const,1
213,$4000_vol,12
215,$4000_duty,2
215,$4000_const,1
215,$4000_vol,12
216,$4000_duty,2
216,$4000_const,1
216,$4000_vol,12
217,$4000_duty,2
217,$4000_const,1
217,$4000_vol,12
217,$4001_sweep,0
217,$4002_period,427
217,$400B_length,152
217,$4004_duty,1
217,$4004_const,1
217,$4004_vol,9
217,$4005_sweep,67
217,$4006_period,3421
217,$4008_linear,31
217,$400A_period,1709
217,$400B_length,155
217,$400C_const,0
217,$400C_vol,0
217,$400E_period,2
217,$400E_mode,0
218,$4000_duty,2
218,$4000_const,1
218,$4000_vol,12
219,$4000_duty,2
219,$4000_const,1
219,$4000_vol,12
221,$4000_duty,2
221,$4000_const,1
221,$4000_vol,12
222,$4000_duty,2
222,$4000_const,1
222,$4000_vol,12
224,$4000_duty,2
224,$4000_const,1
224,$4000_vol,12
225,$4000_duty,2
225,$4000_const,1
225,$4000_vol,12
227,$4000_duty,2
227,$4000_const,1
227,$4000_vol,12
228,$4000_duty,2
228,$4000_const,1
228,$4000_vol,12
230,$4000_duty,2
230,$4000_const,1
230,$4000_vol,12
231,$4000_duty,2
231,$4000_const,1
231,$4000_vol,12
233,$4000_duty,2
233,$4000_const,1
233,$4000_vol,12
234,$4000_duty,2
234,$4000_const,1
234,$4000_vol,12
235,$4004_duty,1
235,$4004_const,1
235,$4004_vol,9
235,$4005_sweep,67
235,$4006_period,1141
235,$4008_linear,31
235,$400A_period,677
235,$400B_length,153
235,$400C_const,0
235,$400C_vol,0
235,$400E_period,0
235,$400E_mode,0
236,$4000_duty,2
236,$4000_const,1
236,$4000_vol,12
237,$4000_duty,2
237,$4000_const,1
237,$4000_vol,12
239,$4000_duty,2
239,$4000_const,1
239,$4000_vol,12
240,$4000_duty,2
240,$4000_const,1
240,$4000_vol,12
242,$4000_duty,2
242,$4000_const,1
242,$4000_vol,12
243,$4000_duty,2
243,$4000_const,1
243,$4000_vol,12
245,$4000_duty,2
245,$4000_const,1
245,$4000_vol,12
246,$4000_duty,2
246,$4000_const,1
246,$4000_vol,12
247,$400C_const,0
247,$400C_vol,0
247,$400E_period,0
247,$400E_mode,0
248,$4000_duty,2
248,$4000_const,1
248,$4000_vol,12
249,$4000_duty,2
249,$4000_const,1
249,$4000_vol,12
251,$4000_duty,2
251,$4000_const,1
251,$4000_vol,12
252,$4000_duty,2
252,$4000_const,1
252,$4000_vol,12
253,$4000_duty,2
253,$4000_const,1
253,$4000_vol,12
253,$4001_sweep,0
253,$4002_period,427
253,$400B_length,152
253,$4004_duty,1
253,$4004_const,1
253,$4004_vol,9
253,$4005_sweep,67
