frame,parameter,value
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,11
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,11
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,10
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,10
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,8
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,8
13,$400A_period,339
13,$400B_length,8
13,$4008_linear,40
13,$4006_period,453
13,$4005_sweep,0
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,0
13,$4002_period,381
13,$400B_length,8
13,$4001_sweep,0
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,0
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,1
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,1
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,1
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,12
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,12
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,11
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,11
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,10
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,10
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,8
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,8
31,$400A_period,321
31,$400B_length,8
31,$4008_linear,40
31,$4006_period,509
31,$4005_sweep,0
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,0
31,$4002_period,429
31,$400B_length,8
31,$4001_sweep,0
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,0
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,1
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,1
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,1
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,12
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,12
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,11
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,11
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,10
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,10
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,8
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,8
49,$4006_period,571
49,$4005_sweep,0
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,0
49,$4002_period,453
49,$400B_length,8
49,$4001_sweep,0
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,0
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,1
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,1
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,1
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,12
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,12
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,11
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,11
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,10
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,10
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,8
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,8
67,$400A_period,763
67,$400B_length,9
67,$4008_linear,40
67,$4006_period,679
67,$4005_sweep,0
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,0
67,$4002_period,509
67,$400B_length,8
67,$4001_sweep,0
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,0
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,1
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,1
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,1
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,12
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,12
85,$400A_period,509
85,$400B_length,8
85,$4008_linear,40
103,$400A_period,381
103,$400B_length,8
103,$4008_linear,40
121,$400A_period,339
121,$400B_length,8
121,$4008_linear,40
139,$400A_period,321
139,$400B_length,8
139,$4008_linear,40
152,$4004_duty,2
152,$4004_const,1
152,$4004_vol,11
152,$4000_duty,2
152,$4000_const,1
152,$4000_vol,11
153,$4004_duty,2
153,$4004_const,1
153,$4004_vol,10
153,$4000_duty,2
153,$4000_const,1
153,$4000_vol,10
154,$4004_duty,2
154,$4004_const,1
154,$4004_vol,8
154,$4000_duty,2
154,$4000_const,1
154,$4000_vol,8
155,$4004_duty,2
155,$4004_const,1
155,$4004_vol,7
155,$4000_duty,2
155,$4000_const,1
155,$4000_vol,7
156,$4004_duty,2
156,$4004_const,1
156,$4004_vol,6
156,$4000_duty,2
156,$4000_const,1
156,$4000_vol,6
157,$4004_duty,2
157,$4004_const,1
157,$4004_vol,5
157,$4000_duty,2
157,$4000_const,1
157,$4000_vol,5
158,$4004_duty,2
158,$4004_const,1
158,$4004_vol,3
158,$4000_duty,2
158,$4000_const,1
158,$4000_vol,3
159,$4004_duty,2
159,$4004_const,1
159,$4004_vol,2
159,$4000_duty,2
159,$4000_const,1
159,$4000_vol,2
160,$4004_duty,2
160,$4004_const,1
160,$4004_vol,1
160,$4000_duty,2
160,$4000_const,1
160,$4000_vol,1
161,$4004_duty,2
161,$4004_const,1
161,$4004_vol,0
161,$4000_duty,2
161,$4000_const,1
161,$4000_vol,0
162,$4004_duty,2
162,$4004_const,1
162,$4004_vol,0
162,$4000_duty,2
162,$4000_const,1
162,$4000_vol,0
175,$400A_period,763
175,$400B_length,9
175,$4008_linear,40
175,$4006_period,641
175,$4005_sweep,0
175,$4004_duty,2
175,$4004_const,1
175,$4004_vol,0
175,$4002_period,509
175,$400B_length,8
175,$4001_sweep,0
175,$4000_duty,2
175,$4000_const,1
175,$4000_vol,0
176,$4004_duty,2
176,$4004_const,1
176,$4004_vol,1
176,$4000_duty,2
176,$4000_const,1
176,$4000_vol,1
177,$4004_duty,2
177,$4004_const,1
177,$4004_vol,1
177,$4000_duty,2
177,$4000_const,1
177,$4000_vol,12
178,$4004_duty,2
178,$4004_const,1
178,$4004_vol,12
190,$4004_duty,2
190,$4004_const,1
190,$4004_vol,11
190,$4000_duty,2
190,$4000_const,1
190,$4000_vol,11
191,$4004_duty,2
191,$4004_const,1
191,$4004_vol,10
191,$4000_duty,2
191,$4000_const,1
191,$4000_vol,10
192,$4004_duty,2
192,$4004_const,1
192,$4004_vol,8
192,$4000_duty,2
192,$4000_const,1
192,$4000_vol,8
193,$400A_period,509
193,$400B_length,8
193,$4008_linear,40
193,$4006_period,571
193,$4005_sweep,0
193,$4004_duty,2
193,$4004_const,1
193,$4004_vol,0
193,$4002_period,453
193,$400B_length,8
193,$4001_sweep,0
193,$4000_duty,2
193,$4000_const,1
193,$4000_vol,0
194,$4004_duty,2
194,$4004_const,1
194,$4004_vol,1
194,$4000_duty,2
194,$4000_const,1
194,$4000_vol,1
195,$4004_duty,2
195,$4004_const,1
195,$4004_vol,1
195,$4000_duty,2
