frame,parameter,value
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,4
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,4
0,$4002_period,227
0,$400B_length,8
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,7
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,3
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,1
12,$400A_period,303
12,$400B_length,8
12,$4008_linear,10
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,2
12,$4006_period,719
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,9
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,4
12,$4002_period,227
12,$400B_length,8
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,7
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,1
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,1
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,4
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,4
24,$4002_period,227
24,$400B_length,8
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,7
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,3
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,1
36,$400A_period,359
36,$400B_length,8
36,$4008_linear,10
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,2
36,$4006_period,1017
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,9
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,4
36,$4002_period,227
36,$400B_length,8
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,7
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,1
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,1
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,4
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,4
48,$4002_period,227
48,$400B_length,8
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,7
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,3
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,1
60,$400A_period,453
60,$400B_length,8
60,$4008_linear,10
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,2
60,$4006_period,905
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,9
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,4
60,$4002_period,227
60,$400B_length,8
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,7
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,1
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,1
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,4
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,4
72,$4002_period,227
72,$400B_length,8
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,7
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,3
78,$4000_duty,2
78,$4000_const,1
78,$4000_vol,1
84,$400A_period,255
84,$400B_length,8
84,$4008_linear,10
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,2
84,$4006_period,605
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,9
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,4
84,$4002_period,227
84,$400B_length,8
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,7
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,1
90,$4000_duty,2
90,$4000_const,1
90,$4000_vol,1
96,$4004_duty,2
96,$4004_const,1
96,$4004_vol,4
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,4
96,$4002_period,227
96,$400B_length,8
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,7
102,$4004_duty,2
102,$4004_const,1
102,$4004_vol,3
102,$4000_duty,2
102,$4000_const,1
102,$4000_vol,1
108,$400A_period,303
108,$400B_length,8
108,$4008_linear,10
108,$4004_duty,2
108,$4004_const,1
108,$4004_vol,2
108,$4006_period,719
108,$4004_duty,2
108,$4004_const,1
108,$4004_vol,9
108,$4000_duty,2
108,$4000_const,1
108,$4000_vol,4
108,$4002_period,227
108,$400B_length,8
108,$4000_duty,2
108,$4000_const,1
108,$4000_vol,7
114,$4004_duty,2
114,$4004_const,1
114,$4004_vol,1
114,$4000_duty,2
114,$4000_const,1
114,$4000_vol,1
120,$4004_duty,2
120,$4004_const,1
120,$4004_vol,4
120,$4000_duty,2
120,$4000_const,1
120,$4000_vol,4
120,$4002_period,227
120,$400B_length,8
120,$4000_duty,2
120,$4000_const,1
120,$4000_vol,7
126,$4004_duty,2
126,$4004_const,1
126,$4004_vol,3
126,$4000_duty,2
126,$4000_const,1
126,$4000_vol,1
132,$400A_period,359
132,$400B_length,8
132,$4008_linear,10
132,$4004_duty,2
132,$4004_const,1
132,$4004_vol,2
132,$4006_period,1017
132,$4004_duty,2
132,$4004_const,1
132,$4004_vol,9
132,$4000_duty,2
132,$4000_const,1
132,$4000_vol,4
132,$4002_period,227
132,$400B_length,8
132,$4000_duty,2
132,$4000_const,1
132,$4000_vol,7
138,$4004_duty,2
138,$4004_const,1
138,$4004_vol,1
138,$4000_duty,2
138,$4000_const,1
138,$4000_vol,1
144,$4004_duty,2
144,$4004_const,1
144,$4004_vol,4
144,$4000_duty,2
144,$4000_const,1
144,$4000_vol,4
144,$4002_period,227
144,$400B_length,8
144,$4000_duty,2
144,$4000_const,1
144,$4000_vol,7
150,$4004_duty,2
150,$4004_const,1
150,$4004_vol,3
150,$4000_duty,2
150,$4000_const,1
150,$4000_vol,1
156,$400A_period,453
156,$400B_length,8
156,$4008_linear,10
156,$4004_duty,2
156,$4004_const,1
156,$4004_vol,2
156,$4006_period,905
156,$4004_duty,2
156,$4004_const,1
156,$4004_vol,9
156,$4000_duty,2
156,$4000_const,1
156,$4000_vol,4
156,$4002_period,227
156,$400B_length,8
156,$4000_duty,2
156,$4000_const,1
156,$4000_vol,7
162,$4004_duty,2
162,$4004_const,1
162,$4004_vol,1
162,$4000_duty,2
162,$4000_const,1
162,$4000_vol,1
168,$400A_period,255
168,$400B_length,8
168,$4008_linear,10
168,$4004_duty,2
168,$4004_const,1
168,$4004_vol,4
168,$4006_period,605
168,$4004_duty,2
168,$4004_const,1
168,$4004_vol,9
168,$4000_duty,2
168,$4000_const,1
168,$4000_vol,4
168,$4002_period,227
168,$400B_length,8
168,$4000_duty,2
168,$4000_const,1
168,$4000_vol,7
174,$4004_duty,2
174,$4004_const,1
174,$4004_vol,1
174,$4000_duty,2
174,$4000_const,1
174,$4000_vol,1
180,$400A_period,303
180,$400B_length,8
180,$4008_linear,10
180,$4004_duty,2
180,$4004_const,1
180,$4004_vol,4
180,$4006_period,719
180,$4004_duty,2
180,$4004_const,1
180,$4004_vol,9
180,$4000_duty,2
180,$4000_const,1
180,$4000_vol,4
180,$4002_period,227
180,$400B_length,8
180,$4000_duty,2
180,$4000_const,1
180,$4000_vol,7
186,$4004_duty,2
186,$4004_const,1
186,$4004_vol,1
186,$4000_duty,2
186,$4000_const,1
186,$4000_vol,1
192,$400A_period,359
192,$400B_length,8
192,$4008_linear,10
192,$4004_duty,2
192,$4004_const,1
192,$4004_vol,4
192,$4006_period,1017
192,$4004_duty,2
192,$4004_const,1
192,$4004_vol,9
192,$4000_duty,2
192,$4000_const,1
192,$4000_vol,4
192,$4002_period,227
192,$400B_length,8
192,$4000_duty,2
192,$4000_const,1
192,$4000_vol,7
198,$4004_duty,2
198,$4004_const,1
198,$4004_vol,1
198,$4000_duty,2
198,$4000_const,1
198,$4000_vol,1
204,$400A_period,453
204,$400B_length,8
204,$4008_linear,10
204,$4004_duty,2
204,$4004_const,1
204,$4004_vol,4
204,$4006_period,905
204,$4004_duty,2
204,$4004_const,1
204,$4004_vol,9
204,$4000_duty,2
204,$4000_const,1
204,$4000_vol,4
204,$4002_period,227
204,$400B_length,8
204,$4000_duty,2
204,$4000_const,1
204,$4000_vol,7
210,$4004_duty,2
210,$4004_const,1
210,$4004_vol,1
210,$4000_duty,2
210,$4000_const,1
210,$4000_vol,1
216,$400A_period,255
216,$400B_length,8
216,$4008_linear,10
216,$4004_duty,2
216,$4004_const,1
216,$4004_vol,4
216,$4006_period,605
216,$4004_duty,2
216,$4004_const,1
216,$4004_vol,9
216,$4000_duty,2
216,$4000_const,1
216,$4000_vol,4
216,$4002_period,227
216,$400B_length,8
216,$4000_duty,2
216,$4000_const,1
216,$4000_vol,7
222,$4004_duty,2
222,$4004_const,1
222,$4004_vol,1
222,$4000_duty,2
222,$4000_const,1
222,$4000_vol,1
228,$400A_period,303
228,$400B_length,8
228,$4008_linear,10
228,$4004_duty,2
228,$4004_const,1
228,$4004_vol,4
228,$4006_period,719
228,$4004_duty,2
228,$4004_const,1
228,$4004_vol,9
228,$4000_duty,2
228,$4000_const,1
228,$4000_vol,4
228,$4002_period,227
228,$400B_length,8
228,$4000_duty,2
228,$4000_const,1
228,$4000_vol,7
234,$4004_duty,2
234,$4004_const,1
234,$4004_vol,1
234,$4000_duty,2
234,$4000_const,1
234,$4000_vol,1
240,$400A_period,359
240,$400B_length,8
240,$4008_linear,10
240,$4004_duty,2
240,$4004_const,1
240,$4004_vol,4
240,$4006_period,1017
240,$4004_duty,2
240,$4004_const,1
