frame,parameter,value
607,$4004_duty,2
607,$4004_const,0
607,$4004_vol,8
607,$4005_sweep,0
607,$4006_period,1141
607,$4000_duty,2
607,$4000_const,0
607,$4000_vol,8
607,$4001_sweep,8
607,$4002_period,853
607,$400B_length,9
610,$4004_duty,2
610,$4004_const,0
610,$4004_vol,8
610,$4005_sweep,0
610,$4006_period,853
610,$4000_duty,2
610,$4000_const,0
610,$4000_vol,8
610,$4001_sweep,8
610,$4002_period,637
610,$400B_length,9
613,$4004_duty,2
613,$4004_const,0
613,$4004_vol,8
613,$4005_sweep,0
613,$4006_period,1075
613,$4000_duty,2
613,$4000_const,0
613,$4000_vol,8
613,$4001_sweep,8
613,$4002_period,805
613,$400B_length,9
616,$4004_duty,2
616,$4004_const,0
616,$4004_vol,8
616,$4005_sweep,0
616,$4006_period,805
616,$4000_duty,2
616,$4000_const,0
616,$4000_vol,8
616,$4001_sweep,8
616,$4002_period,601
616,$400B_length,9
619,$4004_duty,2
619,$4004_const,0
619,$4004_vol,8
619,$4005_sweep,0
619,$4006_period,1013
619,$4000_duty,2
619,$4000_const,0
619,$4000_vol,8
619,$4001_sweep,8
619,$4002_period,759
619,$400B_length,9
622,$4004_duty,2
622,$4004_const,0
622,$4004_vol,8
622,$4005_sweep,0
622,$4006_period,759
622,$4000_duty,2
622,$4000_const,0
622,$4000_vol,8
622,$4001_sweep,8
622,$4002_period,567
622,$400B_length,9
625,$4004_duty,2
625,$4004_const,0
625,$4004_vol,8
625,$4005_sweep,0
625,$4006_period,959
625,$4000_duty,2
625,$4000_const,0
625,$4000_vol,8
625,$4001_sweep,8
625,$4002_period,717
625,$400B_length,9
628,$4004_duty,2
628,$4004_const,0
628,$4004_vol,8
628,$4005_sweep,0
628,$4006_period,717
628,$4000_duty,2
628,$4000_const,0
628,$4000_vol,8
628,$4001_sweep,8
628,$4002_period,535
628,$400B_length,9
631,$4004_duty,2
631,$4004_const,0
631,$4004_vol,8
631,$4005_sweep,0
631,$4006_period,903
631,$4000_duty,2
631,$4000_const,0
631,$4000_vol,8
631,$4001_sweep,8
