frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,4
0,$4001_sweep,8
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,1
0,$4005_sweep,8
0,$4008_linear,0
0,$400C_const,1
0,$400C_vol,1
0,$400E_period,0
0,$400E_mode,0
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,4
1,$4001_sweep,8
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,1
1,$4005_sweep,8
1,$4008_linear,0
1,$400C_const,1
1,$400C_vol,1
1,$400E_period,0
1,$400E_mode,0
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,4
2,$4001_sweep,8
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,1
2,$4005_sweep,8
2,$4008_linear,0
2,$400C_const,1
2,$400C_vol,1
2,$400E_period,0
2,$400E_mode,0
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,4
3,$4001_sweep,8
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,1
3,$4005_sweep,8
3,$4008_linear,0
3,$400C_const,1
3,$400C_vol,1
3,$400E_period,0
3,$400E_mode,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,4
4,$4001_sweep,8
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,1
4,$4005_sweep,8
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,1
4,$400E_period,0
4,$400E_mode,0
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,4
5,$4001_sweep,8
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,1
5,$4005_sweep,8
5,$4008_linear,0
5,$400C_const,1
5,$400C_vol,1
5,$400E_period,0
5,$400E_mode,0
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,4
6,$4001_sweep,8
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,1
6,$4005_sweep,8
6,$4008_linear,0
6,$400C_const,1
6,$400C_vol,1
6,$400E_period,0
6,$400E_mode,0
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,4
7,$4001_sweep,8
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,1
7,$4005_sweep,8
7,$4008_linear,0
7,$400C_const,1
7,$400C_vol,1
7,$400E_period,0
7,$400E_mode,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,4
8,$4001_sweep,8
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,1
8,$4005_sweep,8
8,$4008_linear,0
8,$400C_const,1
8,$400C_vol,1
8,$400E_period,0
8,$400E_mode,0
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,4
9,$4001_sweep,8
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,1
9,$4005_sweep,8
9,$4008_linear,0
9,$400C_const,1
9,$400C_vol,1
9,$400E_period,0
9,$400E_mode,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,4
10,$4001_sweep,8
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,1
10,$4005_sweep,8
10,$4008_linear,0
10,$400C_const,1
10,$400C_vol,1
10,$400E_period,0
10,$400E_mode,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,4
11,$4001_sweep,8
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,1
11,$4005_sweep,8
11,$4008_linear,0
11,$400C_const,1
11,$400C_vol,1
11,$400E_period,0
11,$400E_mode,0
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,4
12,$4001_sweep,8
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,1
12,$4005_sweep,8
12,$4008_linear,0
12,$400C_const,1
12,$400C_vol,1
12,$400E_period,0
12,$400E_mode,0
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,4
13,$4001_sweep,8
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,1
13,$4005_sweep,8
13,$4008_linear,0
13,$400C_const,1
13,$400C_vol,1
13,$400E_period,0
13,$400E_mode,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,4
14,$4001_sweep,8
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,1
14,$4005_sweep,8
14,$4008_linear,0
14,$400C_const,1
14,$400C_vol,1
14,$400E_period,0
14,$400E_mode,0
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,4
15,$4001_sweep,8
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,1
15,$4005_sweep,8
15,$4008_linear,0
15,$400C_const,1
15,$400C_vol,1
15,$400E_period,0
15,$400E_mode,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,4
16,$4001_sweep,8
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,1
16,$4005_sweep,8
16,$4008_linear,0
16,$400C_const,1
16,$400C_vol,1
16,$400E_period,0
16,$400E_mode,0
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,4
17,$4001_sweep,8
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,1
17,$4005_sweep,8
17,$4008_linear,0
17,$400C_const,1
17,$400C_vol,1
17,$400E_period,0
17,$400E_mode,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,4
18,$4001_sweep,8
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,1
18,$4005_sweep,8
18,$4008_linear,0
18,$400C_const,1
18,$400C_vol,1
18,$400E_period,0
18,$400E_mode,0
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,4
19,$4001_sweep,8
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,1
19,$4005_sweep,8
19,$4008_linear,0
19,$400C_const,1
19,$400C_vol,1
19,$400E_period,0
19,$400E_mode,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,4
20,$4001_sweep,8
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,1
20,$4005_sweep,8
20,$4008_linear,0
20,$400C_const,1
20,$400C_vol,1
20,$400E_period,0
20,$400E_mode,0
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,4
21,$4001_sweep,8
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,1
21,$4005_sweep,8
21,$4008_linear,0
21,$400C_const,1
21,$400C_vol,1
21,$400E_period,0
21,$400E_mode,0
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,4
22,$4001_sweep,8
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,1
22,$4005_sweep,8
22,$4008_linear,0
22,$400C_const,1
22,$400C_vol,1
22,$400E_period,0
22,$400E_mode,0
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,4
23,$4001_sweep,8
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,1
23,$4005_sweep,8
23,$4008_linear,0
23,$400C_const,1
23,$400C_vol,1
23,$400E_period,0
23,$400E_mode,0
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,4
24,$4001_sweep,8
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,1
24,$4005_sweep,8
24,$4008_linear,0
24,$400C_const,1
24,$400C_vol,1
24,$400E_period,0
24,$400E_mode,0
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,4
25,$4001_sweep,8
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,1
25,$4005_sweep,8
25,$4008_linear,0
25,$400C_const,1
25,$400C_vol,1
25,$400E_period,0
25,$400E_mode,0
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,4
26,$4001_sweep,8
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,1
26,$4005_sweep,8
26,$4008_linear,0
26,$400C_const,1
26,$400C_vol,1
26,$400E_period,0
26,$400E_mode,0
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,4
27,$4001_sweep,8
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,1
27,$4005_sweep,8
27,$4008_linear,0
27,$400C_const,1
27,$400C_vol,1
27,$400E_period,0
27,$400E_mode,0
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,4
28,$4001_sweep,8
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,1
28,$4005_sweep,8
28,$4008_linear,0
28,$400C_const,1
28,$400C_vol,1
28,$400E_period,0
28,$400E_mode,0
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,4
29,$4001_sweep,8
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,1
29,$4005_sweep,8
29,$4008_linear,0
29,$400C_const,1
29,$400C_vol,1
29,$400E_period,0
29,$400E_mode,0
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,4
30,$4001_sweep,8
30,$4004_duty,1
30,$4004_const,1
30,$4004_vol,1
30,$4005_sweep,8
30,$4008_linear,0
30,$400C_const,1
30,$400C_vol,1
30,$400E_period,0
30,$400E_mode,0
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,4
31,$4001_sweep,8
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,3
31,$4005_sweep,8
31,$4006_period,855
31,$4008_linear,15
31,$400A_period,571
31,$400B_length,25
31,$400C_const,1
31,$400C_vol,1
31,$400E_period,0
31,$400E_mode,0
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,9
32,$4001_sweep,8
32,$4004_duty,1
32,$4004_const,1
32,$4004_vol,8
32,$4005_sweep,8
32,$4008_linear,15
32,$400C_const,1
32,$400C_vol,1
32,$400E_period,0
32,$400E_mode,0
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,9
33,$4001_sweep,8
33,$4004_duty,1
33,$4004_const,1
33,$4004_vol,8
33,$4005_sweep,8
33,$4008_linear,15
33,$400C_const,1
33,$400C_vol,1
33,$400E_period,0
33,$400E_mode,0
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,9
34,$4001_sweep,8
34,$4004_duty,1
34,$4004_const,1
34,$4004_vol,8
34,$4005_sweep,8
34,$4008_linear,15
34,$400C_const,1
34,$400C_vol,1
34,$400E_period,0
34,$400E_mode,0
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,9
35,$4001_sweep,8
35,$4004_duty,1
35,$4004_const,1
35,$4004_vol,8
35,$4005_sweep,8
35,$4008_linear,15
35,$400C_const,1
35,$400C_vol,1
35,$400E_period,0
35,$400E_mode,0
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,9
36,$4001_sweep,8
36,$4004_duty,1
36,$4004_const,1
36,$4004_vol,8
36,$4005_sweep,8
36,$4008_linear,15
36,$400C_const,1
36,$400C_vol,1
36,$400E_period,0
36,$400E_mode,0
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,9
37,$4001_sweep,8
37,$4004_duty,1
37,$4004_const,1
37,$4004_vol,8
37,$4005_sweep,8
37,$4008_linear,15
37,$400C_const,1
37,$400C_vol,1
37,$400E_period,0
37,$400E_mode,0
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,9
38,$4001_sweep,8
38,$4004_duty,1
38,$4004_const,1
38,$4004_vol,8
38,$4005_sweep,8
38,$4008_linear,15
38,$400C_const,1
38,$400C_vol,1
38,$400E_period,0
38,$400E_mode,0
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,8
39,$4001_sweep,8
39,$4004_duty,1
39,$4004_const,1
39,$4004_vol,7
39,$4005_sweep,8
39,$4008_linear,15
39,$400C_const,1
39,$400C_vol,1
39,$400E_period,0
39,$400E_mode,0
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,9
40,$4001_sweep,8
40,$4004_duty,1
40,$4004_const,1
40,$4004_vol,8
40,$4005_sweep,8
40,$4008_linear,15
40,$400C_const,1
40,$400C_vol,1
