frame,parameter,value
130,$4008_linear,127
130,$400A_period,331
130,$400B_length,8
130,$4004_duty,2
130,$4004_const,0
130,$4004_vol,4
130,$4005_sweep,4
130,$4006_period,835
130,$4000_duty,1
130,$4000_const,0
130,$4000_vol,2
130,$4001_sweep,4
130,$4002_period,3339
130,$400B_length,14
146,$4000_duty,1
146,$4000_const,0
146,$4000_vol,2
146,$4001_sweep,4
146,$4002_period,2651
146,$400B_length,13
162,$4000_duty,1
162,$4000_const,0
162,$4000_vol,2
162,$4001_sweep,4
162,$4002_period,2229
162,$400B_length,12
178,$4000_duty,1
178,$4000_const,0
178,$4000_vol,2
178,$4001_sweep,4
178,$4002_period,1985
178,$400B_length,11
190,$4000_duty,1
190,$4000_const,0
190,$4000_vol,2
190,$4001_sweep,4
190,$4002_period,1985
190,$400B_length,11
194,$4008_linear,127
194,$400A_period,331
194,$400B_length,8
194,$4004_duty,2
194,$4004_const,0
194,$4004_vol,4
194,$4005_sweep,4
194,$4006_period,835
194,$4000_duty,1
194,$4000_const,0
194,$4000_vol,2
194,$4001_sweep,4
194,$4002_period,1875
194,$400B_length,11
210,$4000_duty,1
210,$4000_const,0
210,$4000_vol,2
210,$4001_sweep,4
210,$4002_period,1985
210,$400B_length,11
218,$4008_linear,127
218,$400A_period,331
218,$400B_length,8
218,$4004_duty,2
218,$4004_const,0
218,$4004_vol,4
218,$4005_sweep,4
218,$4006_period,835
226,$4000_duty,1
226,$4000_const,0
226,$4000_vol,2
226,$4001_sweep,4
226,$4002_period,2229
226,$400B_length,12
242,$4000_duty,1
242,$4000_const,0
242,$4000_vol,2
242,$4001_sweep,4
242,$4002_period,2651
242,$400B_length,13
258,$4008_linear,127
258,$400A_period,331
258,$400B_length,8
258,$4004_duty,2
258,$4004_const,0
258,$4004_vol,4
258,$4005_sweep,4
258,$4006_period,835
258,$4000_duty,1
258,$4000_const,0
258,$4000_vol,2
258,$4001_sweep,4
258,$4002_period,3339
258,$400B_length,14
274,$4000_duty,1
274,$4000_const,0
274,$4000_vol,2
274,$4001_sweep,4
274,$4002_period,2651
274,$400B_length,13
290,$4000_duty,1
290,$4000_const,0
290,$4000_vol,2
290,$4001_sweep,4
290,$4002_period,2229
290,$400B_length,12
306,$4000_duty,1
306,$4000_const,0
306,$4000_vol,2
306,$4001_sweep,4
306,$4002_period,1985
306,$400B_length,11
318,$4000_duty,1
318,$4000_const,0
318,$4000_vol,2
318,$4001_sweep,4
318,$4002_period,1985
318,$400B_length,11
322,$4008_linear,127
322,$400A_period,331
322,$400B_length,8
322,$4004_duty,2
322,$4004_const,0
322,$4004_vol,4
322,$4005_sweep,4
322,$4006_period,835
322,$4000_duty,1
322,$4000_const,0
322,$4000_vol,2
322,$4001_sweep,4
322,$4002_period,1875
322,$400B_length,11
338,$4000_duty,1
338,$4000_const,0
338,$4000_vol,2
338,$4001_sweep,4
338,$4002_period,1985
338,$400B_length,11
346,$4008_linear,127
346,$400A_period,331
346,$400B_length,8
346,$4004_duty,2
346,$4004_const,0
346,$4004_vol,4
346,$4005_sweep,4
346,$4006_period,835
354,$4000_duty,1
354,$4000_const,0
354,$4000_vol,2
354,$4001_sweep,4
354,$4002_period,2229
354,$400B_length,12
370,$4000_duty,1
370,$4000_const,0
370,$4000_vol,2
370,$4001_sweep,4
370,$4002_period,2651
370,$400B_length,13
386,$4008_linear,127
386,$400A_period,313
386,$400B_length,8
386,$4004_duty,2
386,$4004_const,0
386,$4004_vol,4
386,$4005_sweep,4
386,$4006_period,835
386,$4000_duty,1
386,$4000_const,0
386,$4000_vol,2
386,$4001_sweep,4
386,$4002_period,2501
386,$400B_length,12
402,$4000_duty,1
402,$4000_const,0
402,$4000_vol,2
402,$4001_sweep,4
402,$4002_period,1985
402,$400B_length,11
418,$4000_duty,1
418,$4000_const,0
418,$4000_vol,2
418,$4001_sweep,4
418,$4002_period,1669
418,$400B_length,11
434,$4000_duty,1
434,$4000_const,0
434,$4000_vol,2
434,$4001_sweep,4
434,$4002_period,1487
434,$400B_length,10
446,$4000_duty,1
446,$4000_const,0
446,$4000_vol,2
446,$4001_sweep,4
446,$4002_period,1487
446,$400B_length,10
450,$4008_linear,127
450,$400A_period,313
450,$400B_length,8
450,$4004_duty,2
450,$4004_const,0
450,$4004_vol,4
450,$4005_sweep,4
450,$4006_period,835
450,$4000_duty,1
450,$4000_const,0
450,$4000_vol,2
450,$4001_sweep,4
450,$4002_period,1403
450,$400B_length,10
466,$4000_duty,1
466,$4000_const,0
466,$4000_vol,2
466,$4001_sweep,4
466,$4002_period,1487
466,$400B_length,10
474,$4008_linear,127
474,$400A_period,313
474,$400B_length,8
474,$4004_duty,2
474,$4004_const,0
474,$4004_vol,4
474,$4005_sweep,4
474,$4006_period,835
482,$4000_duty,1
482,$4000_const,0
482,$4000_vol,2
482,$4001_sweep,4
482,$4002_period,1669
482,$400B_length,11
498,$4000_duty,1
498,$4000_const,0
498,$4000_vol,2
498,$4001_sweep,4
498,$4002_period,1985
498,$400B_length,11
514,$4008_linear,127
514,$400A_period,331
514,$400B_length,8
514,$4004_duty,2
514,$4004_const,0
514,$4004_vol,4
514,$4005_sweep,4
514,$4006_period,835
514,$4000_duty,1
514,$4000_const,0
514,$4000_vol,2
514,$4001_sweep,4
514,$4002_period,3339
514,$400B_length,14
530,$4000_duty,1
530,$4000_const,0
530,$4000_vol,2
530,$4001_sweep,4
530,$4002_period,2651
530,$400B_length,13
546,$4000_duty,1
546,$4000_const,0
546,$4000_vol,2
546,$4001_sweep,4
546,$4002_period,2229
546,$400B_length,12
562,$4000_duty,1
562,$4000_const,0
562,$4000_vol,2
