frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,11
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,11
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,6
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,3
0,$4008_linear,31
0,$400C_const,0
0,$400C_vol,0
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,11
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,9
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,3
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,1
1,$4008_linear,31
1,$400C_const,0
1,$400C_vol,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,9
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,8
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,1
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,1
2,$4008_linear,31
2,$400C_const,0
2,$400C_vol,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,8
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,8
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,1
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,1
3,$4008_linear,31
3,$400C_const,0
3,$400C_vol,0
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,8
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,8
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,1
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,1
4,$4008_linear,31
4,$400C_const,0
4,$400C_vol,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,8
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,15
5,$4001_sweep,0
5,$4002_period,427
5,$400B_length,8
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,1
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,8
5,$4005_sweep,0
5,$4006_period,855
5,$4008_linear,31
5,$400A_period,855
5,$400B_length,9
5,$400C_const,0
5,$400C_vol,0
5,$400E_period,14
5,$400E_mode,0
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,15
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,15
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,8
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,6
6,$4008_linear,31
6,$400C_const,0
6,$400C_vol,0
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,15
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,15
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,6
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,3
7,$4008_linear,31
7,$400C_const,0
7,$400C_vol,0
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,15
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,11
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,3
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,1
8,$4008_linear,31
8,$400C_const,0
8,$400C_vol,0
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,11
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,9
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,1
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,1
9,$4008_linear,31
9,$400C_const,0
9,$400C_vol,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,9
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,9
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,1
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,1
10,$4008_linear,31
10,$400C_const,0
10,$400C_vol,0
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,9
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,15
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,1
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,1
11,$4008_linear,31
11,$400C_const,0
11,$400C_vol,0
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,15
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,15
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,1
12,$4008_linear,31
12,$400C_const,0
12,$400C_vol,0
12,$400E_period,1
12,$400E_mode,0
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,15
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,11
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,1
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,1
