frame,parameter,value
343,$4004_duty,2
343,$4004_const,0
343,$4004_vol,7
343,$4005_sweep,4
343,$4006_period,853
358,$4004_duty,2
358,$4004_const,0
358,$4004_vol,7
358,$4005_sweep,4
358,$4006_period,717
373,$4008_linear,127
373,$400A_period,569
373,$400B_length,9
373,$4000_duty,1
373,$4000_const,0
373,$4000_vol,4
373,$4001_sweep,4
373,$4002_period,1705
373,$400B_length,11
373,$4004_duty,2
373,$4004_const,0
373,$4004_vol,7
373,$4005_sweep,4
373,$4006_period,569
403,$4008_linear,127
403,$400A_period,569
403,$400B_length,9
403,$4000_duty,1
403,$4000_const,0
403,$4000_vol,4
403,$4001_sweep,4
403,$4002_period,1705
403,$400B_length,11
403,$4004_duty,2
403,$4004_const,0
403,$4004_vol,7
403,$4005_sweep,4
403,$4006_period,853
413,$4008_linear,127
413,$400A_period,569
413,$400B_length,9
413,$4000_duty,1
413,$4000_const,0
413,$4000_vol,4
413,$4001_sweep,4
413,$4002_period,1705
413,$400B_length,11
418,$4004_duty,2
418,$4004_const,0
418,$4004_vol,7
418,$4005_sweep,4
418,$4006_period,761
423,$4008_linear,127
423,$400A_period,569
423,$400B_length,9
423,$4000_duty,1
423,$4000_const,0
423,$4000_vol,4
423,$4001_sweep,4
423,$4002_period,1705
423,$400B_length,11
433,$4008_linear,127
433,$400A_period,639
433,$400B_length,9
433,$4000_duty,1
433,$4000_const,0
433,$4000_vol,4
433,$4001_sweep,4
433,$4002_period,1705
433,$400B_length,11
433,$4004_duty,2
433,$4004_const,0
433,$4004_vol,7
433,$4005_sweep,4
433,$4006_period,717
448,$4004_duty,2
448,$4004_const,0
448,$4004_vol,7
448,$4005_sweep,4
448,$4006_period,761
463,$4008_linear,127
463,$400A_period,639
463,$400B_length,9
463,$4000_duty,1
463,$4000_const,0
463,$4000_vol,4
463,$4001_sweep,4
463,$4002_period,1705
463,$400B_length,11
463,$4004_duty,2
463,$4004_const,0
463,$4004_vol,7
463,$4005_sweep,4
463,$4006_period,853
478,$4004_duty,2
478,$4004_const,0
478,$4004_vol,7
478,$4005_sweep,4
478,$4006_period,957
493,$4008_linear,127
493,$400A_period,569
493,$400B_length,9
493,$4000_duty,1
493,$4000_const,0
493,$4000_vol,4
493,$4001_sweep,4
493,$4002_period,1705
493,$400B_length,11
493,$4004_duty,2
493,$4004_const,0
493,$4004_vol,7
493,$4005_sweep,4
493,$4006_period,853
523,$4008_linear,127
523,$400A_period,569
523,$400B_length,9
523,$4000_duty,1
523,$4000_const,0
523,$4000_vol,4
523,$4001_sweep,4
523,$4002_period,1705
523,$400B_length,11
523,$4004_duty,2
523,$4004_const,0
523,$4004_vol,7
523,$4005_sweep,4
523,$4006_period,717
533,$4008_linear,127
533,$400A_period,569
533,$400B_length,9
533,$4000_duty,1
533,$4000_const,0
533,$4000_vol,4
533,$4001_sweep,4
533,$4002_period,1705
533,$400B_length,11
538,$4004_duty,2
538,$4004_const,0
538,$4004_vol,7
538,$4005_sweep,4
538,$4006_period,639
543,$4008_linear,127
543,$400A_period,569
543,$400B_length,9
543,$4000_duty,1
543,$4000_const,0
543,$4000_vol,4
543,$4001_sweep,4
543,$4002_period,1705
543,$400B_length,11
553,$4008_linear,127
553,$400A_period,639
553,$400B_length,9
553,$4000_duty,1
553,$4000_const,0
553,$4000_vol,4
553,$4001_sweep,4
553,$4002_period,1705
553,$400B_length,11
553,$4004_duty,2
553,$4004_const,0
553,$4004_vol,7
553,$4005_sweep,4
553,$4006_period,569
568,$4004_duty,2
568,$4004_const,0
568,$4004_vol,7
568,$4005_sweep,4
568,$4006_period,639
583,$4008_linear,127
583,$400A_period,639
583,$400B_length,9
583,$4000_duty,1
583,$4000_const,0
583,$4000_vol,4
583,$4001_sweep,4
583,$4002_period,1705
583,$400B_length,11
583,$4004_duty,2
583,$4004_const,0
583,$4004_vol,7
583,$4005_sweep,4
583,$4006_period,717
598,$4004_duty,2
598,$4004_const,0
598,$4004_vol,7
598,$4005_sweep,4
598,$4006_period,853
