frame,parameter,value
371,$4013_len,0
371,$4012_addr,0
371,$4011_dac,0
371,$4010_rate,0
371,$400E_period,0
371,$400E_mode,0
371,$400C_const,0
371,$400C_vol,0
371,$400A_period,1
371,$400B_length,0
371,$4008_linear,0
371,$4006_period,1
371,$4005_sweep,0
371,$4004_duty,0
371,$4004_const,0
371,$4004_vol,0
371,$4002_period,1
371,$400B_length,0
371,$4001_sweep,0
371,$4000_duty,0
371,$4000_const,0
371,$4000_vol,0
371,$4010_rate,192
372,$4000_duty,0
372,$4000_const,0
372,$4000_vol,0
372,$4004_duty,0
372,$4004_const,0
372,$4004_vol,0
372,$4008_linear,0
372,$400C_const,0
372,$400C_vol,0
372,$400E_period,0
372,$400E_mode,0
373,$4001_sweep,67
373,$4000_duty,0
373,$4000_const,1
373,$4000_vol,2
373,$4002_period,379
373,$400B_length,152
373,$4005_sweep,67
373,$4004_duty,0
373,$4004_const,1
373,$4004_vol,7
373,$4006_period,1
373,$4008_linear,0
373,$400A_period,1
373,$400B_length,0
373,$400C_const,0
373,$400C_vol,10
373,$400E_period,0
373,$400E_mode,0
374,$4000_duty,0
374,$4000_const,1
374,$4000_vol,2
374,$4004_duty,0
374,$4004_const,1
374,$4004_vol,7
374,$4008_linear,0
374,$400C_const,0
374,$400C_vol,10
374,$400E_period,0
374,$400E_mode,0
376,$4000_duty,0
376,$4000_const,1
376,$4000_vol,2
376,$4004_duty,0
376,$4004_const,1
376,$4004_vol,7
376,$4008_linear,0
376,$400C_const,0
376,$400C_vol,10
376,$400E_period,0
376,$400E_mode,0
378,$4000_duty,0
378,$4000_const,1
378,$4000_vol,2
378,$4004_duty,0
378,$4004_const,1
378,$4004_vol,6
378,$4008_linear,0
378,$400C_const,0
378,$400C_vol,10
378,$400E_period,0
378,$400E_mode,0
380,$4001_sweep,67
380,$4000_duty,0
380,$4000_const,1
380,$4000_vol,2
380,$4002_period,339
380,$400B_length,152
381,$4000_duty,0
381,$4000_const,1
381,$4000_vol,1
381,$4004_duty,0
381,$4004_const,1
381,$4004_vol,6
381,$4008_linear,0
381,$400C_const,0
381,$400C_vol,10
381,$400E_period,0
381,$400E_mode,0
382,$4005_sweep,67
382,$4004_duty,0
382,$4004_const,1
382,$4004_vol,1
382,$4006_period,379
383,$4000_duty,0
383,$4000_const,1
383,$4000_vol,0
383,$4004_duty,0
383,$4004_const,1
383,$4004_vol,1
383,$4008_linear,0
383,$400C_const,0
383,$400C_vol,10
383,$400E_period,0
383,$400E_mode,0
385,$4000_duty,0
385,$4000_const,1
385,$4000_vol,0
385,$4004_duty,0
385,$4004_const,1
385,$4004_vol,1
385,$4008_linear,0
385,$400C_const,0
385,$400C_vol,10
385,$400E_period,0
385,$400E_mode,0
387,$4001_sweep,67
387,$4000_duty,0
387,$4000_const,1
387,$4000_vol,2
387,$4002_period,285
387,$400B_length,152
388,$4000_duty,0
388,$4000_const,1
388,$4000_vol,1
388,$4004_duty,0
388,$4004_const,1
388,$4004_vol,1
388,$4008_linear,0
388,$400C_const,0
388,$400C_vol,10
388,$400E_period,0
388,$400E_mode,0
389,$4005_sweep,67
389,$4004_duty,0
389,$4004_const,1
389,$4004_vol,1
