frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,2
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,4
0,$400C_const,1
0,$400C_vol,2
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,5
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,3
3,$400C_const,1
3,$400C_vol,1
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,2
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,2
5,$400C_const,1
5,$400C_vol,0
6,$400A_period,809
6,$400B_length,65
6,$400E_period,8
6,$400E_mode,0
6,$400C_const,1
6,$400C_vol,7
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,4
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,1
8,$400C_const,1
8,$400C_vol,4
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,2
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
10,$400C_const,1
10,$400C_vol,3
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,3
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
12,$400C_const,1
12,$400C_vol,2
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,2
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
15,$400C_const,1
15,$400C_vol,1
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,2
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
17,$400C_const,1
17,$400C_vol,0
18,$400A_period,809
18,$400B_length,65
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,2
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
20,$400C_const,1
20,$400C_vol,0
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,1
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
22,$400C_const,1
22,$400C_vol,0
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,2
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,0
24,$400C_const,1
24,$400C_vol,0
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,0
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,0
27,$400C_const,1
27,$400C_vol,0
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,0
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,0
29,$400C_const,1
29,$400C_vol,0
30,$4002_period,539
30,$400B_length,65
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,7
30,$4006_period,605
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,7
30,$400A_period,809
30,$400B_length,65
30,$400E_period,0
30,$400E_mode,0
30,$400C_const,1
30,$400C_vol,7
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,2
32,$4004_duty,0
32,$4004_const,1
32,$4004_vol,6
32,$400C_const,1
32,$400C_vol,4
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,6
34,$4004_duty,0
34,$4004_const,1
34,$4004_vol,5
34,$400C_const,1
34,$400C_vol,3
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,2
36,$4004_duty,0
36,$4004_const,1
36,$4004_vol,4
36,$400C_const,1
36,$400C_vol,2
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,5
39,$4004_duty,0
39,$4004_const,1
39,$4004_vol,3
39,$400C_const,1
39,$400C_vol,1
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,2
41,$4004_duty,0
41,$4004_const,1
41,$4004_vol,2
41,$400C_const,1
41,$400C_vol,0
42,$400A_period,809
42,$400B_length,65
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,4
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,1
44,$400C_const,1
44,$400C_vol,0
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,2
46,$4004_duty,0
46,$4004_const,1
46,$4004_vol,0
46,$400C_const,1
46,$400C_vol,0
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,3
48,$4004_duty,0
48,$4004_const,1
48,$4004_vol,0
48,$400C_const,1
48,$400C_vol,0
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,2
51,$4004_duty,0
51,$4004_const,1
51,$4004_vol,0
51,$400C_const,1
51,$400C_vol,0
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,2
53,$4004_duty,0
53,$4004_const,1
53,$4004_vol,0
53,$400C_const,1
53,$400C_vol,0
54,$400A_period,809
54,$400B_length,65
54,$400E_period,8
54,$400E_mode,0
54,$400C_const,1
54,$400C_vol,7
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,2
56,$4004_duty,0
56,$4004_const,1
56,$4004_vol,0
56,$400C_const,1
56,$400C_vol,4
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,1
58,$4004_duty,0
58,$4004_const,1
58,$4004_vol,0
58,$400C_const,1
58,$400C_vol,3
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,2
60,$4004_duty,0
60,$4004_const,1
60,$4004_vol,0
60,$400C_const,1
60,$400C_vol,2
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,0
63,$4004_duty,0
63,$4004_const,1
63,$4004_vol,0
63,$400C_const,1
63,$400C_vol,1
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,0
65,$4004_duty,0
65,$4004_const,1
65,$4004_vol,0
65,$400C_const,1
65,$400C_vol,0
66,$4002_period,321
66,$400B_length,64
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,7
66,$400A_period,809
66,$400B_length,65
66,$400E_period,1
66,$400E_mode,0
66,$400C_const,1
66,$400C_vol,7
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,2
68,$400C_const,1
68,$400C_vol,4
70,$4000_duty,2
70,$4000_const,1
70,$4000_vol,6
70,$400C_const,1
70,$400C_vol,3
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,2
72,$400C_const,1
72,$400C_vol,2
72,$4002_period,361
72,$400B_length,64
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,7
72,$400E_period,1
72,$400E_mode,0
72,$400C_const,1
72,$400C_vol,7
75,$4000_duty,2
75,$4000_const,1
75,$4000_vol,2
75,$400C_const,1
75,$400C_vol,4
77,$4000_duty,2
77,$4000_const,1
77,$4000_vol,6
77,$400C_const,1
77,$400C_vol,3
78,$4002_period,405
78,$400B_length,64
78,$4000_duty,2
78,$4000_const,1
78,$4000_vol,7
78,$400A_period,809
78,$400B_length,65
78,$400E_period,1
78,$400E_mode,0
78,$400C_const,1
78,$400C_vol,7
80,$4000_duty,2
80,$4000_const,1
80,$4000_vol,2
80,$400C_const,1
80,$400C_vol,4
82,$4000_duty,2
82,$4000_const,1
82,$4000_vol,6
82,$400C_const,1
82,$400C_vol,3
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,2
84,$400C_const,1
84,$400C_vol,2
87,$4000_duty,2
87,$4000_const,1
87,$4000_vol,5
87,$400C_const,1
87,$400C_vol,1
89,$4000_duty,2
89,$4000_const,1
89,$4000_vol,2
89,$400C_const,1
89,$400C_vol,0
90,$4002_period,429
90,$400B_length,64
90,$4000_duty,2
90,$4000_const,1
90,$4000_vol,7
90,$400A_period,809
90,$400B_length,65
92,$4000_duty,2
92,$4000_const,1
92,$4000_vol,2
92,$400C_const,1
92,$400C_vol,0
94,$4000_duty,2
94,$4000_const,1
94,$4000_vol,6
94,$400C_const,1
94,$400C_vol,0
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,2
96,$400C_const,1
96,$400C_vol,0
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,5
99,$400C_const,1
99,$400C_vol,0
101,$4000_duty,2
101,$4000_const,1
101,$4000_vol,2
101,$400C_const,1
101,$400C_vol,0
102,$4002_period,405
102,$400B_length,64
102,$4000_duty,2
102,$4000_const,1
102,$4000_vol,7
102,$400A_period,809
102,$400B_length,65
102,$400E_period,8
102,$400E_mode,0
102,$400C_const,1
102,$400C_vol,7
104,$4000_duty,2
104,$4000_const,1
104,$4000_vol,2
104,$400C_const,1
104,$400C_vol,4
106,$4000_duty,2
106,$4000_const,1
106,$4000_vol,6
106,$400C_const,1
106,$400C_vol,3
108,$4000_duty,2
108,$4000_const,1
108,$4000_vol,2
108,$400C_const,1
108,$400C_vol,2
111,$4000_duty,2
111,$4000_const,1
111,$4000_vol,5
111,$400C_const,1
111,$400C_vol,1
113,$4000_duty,2
113,$4000_const,1
113,$4000_vol,2
113,$400C_const,1
113,$400C_vol,0
114,$400A_period,809
114,$400B_length,65
116,$4000_duty,2
116,$4000_const,1
116,$4000_vol,4
116,$400C_const,1
116,$400C_vol,0
118,$4000_duty,2
118,$4000_const,1
118,$4000_vol,2
118,$400C_const,1
118,$400C_vol,0
120,$4000_duty,2
120,$4000_const,1
120,$4000_vol,3
120,$400C_const,1
120,$400C_vol,0
123,$4000_duty,2
123,$4000_const,1
123,$4000_vol,2
123,$400C_const,1
123,$400C_vol,0
125,$4000_duty,2
125,$4000_const,1
125,$4000_vol,2
125,$400C_const,1
125,$400C_vol,0
126,$4002_period,429
126,$400B_length,64
126,$4000_duty,2
126,$4000_const,1
126,$4000_vol,7
126,$4006_period,539
126,$4004_duty,0
126,$4004_const,1
126,$4004_vol,7
126,$400A_period,809
126,$400B_length,65
126,$400E_period,0
126,$400E_mode,0
126,$400C_const,1
126,$400C_vol,7
128,$4000_duty,2
128,$4000_const,1
128,$4000_vol,2
128,$4004_duty,0
128,$4004_const,1
128,$4004_vol,6
128,$400C_const,1
128,$400C_vol,4
130,$4000_duty,2
130,$4000_const,1
130,$4000_vol,6
130,$4004_duty,0
130,$4004_const,1
130,$4004_vol,5
130,$400C_const,1
130,$400C_vol,3
132,$4000_duty,2
132,$4000_const,1
132,$4000_vol,2
132,$4004_duty,0
132,$4004_const,1
132,$4004_vol,4
132,$400C_const,1
132,$400C_vol,2
135,$4000_duty,2
135,$4000_const,1
135,$4000_vol,5
135,$4004_duty,0
135,$4004_const,1
135,$4004_vol,3
135,$400C_const,1
135,$400C_vol,1
137,$4000_duty,2
137,$4000_const,1
137,$4000_vol,2
137,$4004_duty,0
137,$4004_const,1
137,$4004_vol,2
137,$400C_const,1
137,$400C_vol,0
138,$4002_period,405
138,$400B_length,64
138,$4000_duty,2
138,$4000_const,1
138,$4000_vol,7
138,$4006_period,641
138,$4004_duty,0
138,$4004_const,1
138,$4004_vol,7
138,$400A_period,809
138,$400B_length,65
140,$4000_duty,2
140,$4000_const,1
140,$4000_vol,2
140,$4004_duty,0
140,$4004_const,1
140,$4004_vol,6
140,$400C_const,1
140,$400C_vol,0
142,$4000_duty,2
142,$4000_const,1
142,$4000_vol,6
142,$4004_duty,0
142,$4004_const,1
142,$4004_vol,5
142,$400C_const,1
142,$400C_vol,0
144,$4000_duty,2
144,$4000_const,1
144,$4000_vol,2
144,$4004_duty,0
144,$4004_const,1
144,$4004_vol,4
144,$400C_const,1
144,$400C_vol,0
147,$4000_duty,2
147,$4000_const,1
147,$4000_vol,5
147,$4004_duty,0
147,$4004_const,1
147,$4004_vol,3
147,$400C_const,1
147,$400C_vol,0
149,$4000_duty,2
149,$4000_const,1
149,$4000_vol,2
149,$4004_duty,0
149,$4004_const,1
149,$4004_vol,2
149,$400C_const,1
149,$400C_vol,0
150,$4002_period,405
150,$400B_length,64
150,$4000_duty,2
150,$4000_const,1
150,$4000_vol,7
150,$4006_period,539
150,$4004_duty,0
150,$4004_const,1
150,$4004_vol,7
150,$400A_period,809
150,$400B_length,65
150,$400E_period,8
150,$400E_mode,0
150,$400C_const,1
150,$400C_vol,7
152,$4000_duty,2
152,$4000_const,1
152,$4000_vol,2
152,$4004_duty,0
152,$4004_const,1
152,$4004_vol,6
152,$400C_const,1
152,$400C_vol,4
154,$4000_duty,2
154,$4000_const,1
154,$4000_vol,6
154,$4004_duty,0
154,$4004_const,1
154,$4004_vol,5
154,$400C_const,1
154,$400C_vol,3
156,$4000_duty,2
156,$4000_const,1
156,$4000_vol,2
156,$4004_duty,0
156,$4004_const,1
156,$4004_vol,4
156,$400C_const,1
156,$400C_vol,2
159,$4000_duty,2
159,$4000_const,1
159,$4000_vol,5
159,$4004_duty,0
159,$4004_const,1
159,$4004_vol,3
159,$400C_const,1
159,$400C_vol,1
161,$4000_duty,2
161,$4000_const,1
161,$4000_vol,2
161,$4004_duty,0
161,$4004_const,1
161,$4004_vol,2
161,$400C_const,1
161,$400C_vol,0
162,$400A_period,809
162,$400B_length,65
164,$4000_duty,2
164,$4000_const,1
164,$4000_vol,4
164,$4004_duty,0
164,$4004_const,1
164,$4004_vol,1
164,$400C_const,1
164,$400C_vol,0
166,$4000_duty,2
166,$4000_const,1
166,$4000_vol,2
166,$4004_duty,0
166,$4004_const,1
166,$4004_vol,0
166,$400C_const,1
166,$400C_vol,0
168,$4000_duty,2
168,$4000_const,1
168,$4000_vol,3
168,$4004_duty,0
168,$4004_const,1
168,$4004_vol,0
168,$400C_const,1
168,$400C_vol,0
171,$4000_duty,2
171,$4000_const,1
171,$4000_vol,2
171,$4004_duty,0
171,$4004_const,1
171,$4004_vol,0
171,$400C_const,1
171,$400C_vol,0
173,$4000_duty,2
173,$4000_const,1
173,$4000_vol,2
173,$4004_duty,0
173,$4004_const,1
173,$4004_vol,0
173,$400C_const,1
173,$400C_vol,0
174,$400A_period,809
174,$400B_length,65
174,$400E_period,0
174,$400E_mode,0
174,$400C_const,1
174,$400C_vol,7
176,$4000_duty,2
176,$4000_const,1
176,$4000_vol,2
176,$4004_duty,0
176,$4004_const,1
176,$4004_vol,0
176,$400C_const,1
176,$400C_vol,4
178,$4000_duty,2
178,$4000_const,1
178,$4000_vol,1
178,$4004_duty,0
178,$4004_const,1
178,$4004_vol,0
178,$400C_const,1
178,$400C_vol,3
180,$4000_duty,2
180,$4000_const,1
180,$4000_vol,2
180,$4004_duty,0
180,$4004_const,1
180,$4004_vol,0
180,$400C_const,1
180,$400C_vol,2
183,$4000_duty,2
183,$4000_const,1
183,$4000_vol,0
183,$4004_duty,0
183,$4004_const,1
183,$4004_vol,0
183,$400C_const,1
183,$400C_vol,1
