frame,parameter,value
301,$4006_period,1
301,$4004_duty,2
301,$4004_const,1
301,$4004_vol,15
302,$4004_duty,2
302,$4004_const,1
302,$4004_vol,13
303,$4004_duty,2
303,$4004_const,1
303,$4004_vol,15
304,$4004_duty,2
304,$4004_const,1
304,$4004_vol,13
305,$4004_duty,2
305,$4004_const,1
305,$4004_vol,0
306,$4004_duty,2
306,$4004_const,1
306,$4004_vol,11
307,$4004_duty,2
307,$4004_const,1
307,$4004_vol,9
308,$4004_duty,2
308,$4004_const,1
308,$4004_vol,11
309,$4004_duty,2
309,$4004_const,1
309,$4004_vol,9
310,$4000_duty,0
310,$4000_const,1
310,$4000_vol,0
310,$4004_duty,0
310,$4004_const,1
310,$4004_vol,0
310,$400C_const,1
310,$400C_vol,0
310,$4008_linear,0
310,$4000_duty,0
310,$4000_const,1
310,$4000_vol,0
310,$4004_duty,0
310,$4004_const,1
310,$4004_vol,0
310,$4008_linear,0
310,$400C_const,1
310,$400C_vol,0
310,$400C_const,1
310,$400C_vol,0
310,$4000_duty,0
310,$4000_const,1
310,$4000_vol,0
310,$4004_duty,0
310,$4004_const,1
310,$4004_vol,0
310,$4008_linear,0
310,$400C_const,1
310,$400C_vol,0
310,$4008_linear,0
310,$400C_const,1
310,$400C_vol,0
310,$4012_addr,96
310,$4013_len,32
310,$4010_rate,15
310,$4011_dac,0
310,$400E_period,1
310,$400E_mode,0
310,$400C_const,1
310,$400C_vol,12
310,$4004_duty,2
310,$4004_const,1
310,$4004_vol,0
311,$400E_period,3
311,$400E_mode,0
311,$400C_const,1
311,$400C_vol,7
311,$4004_duty,2
311,$4004_const,1
311,$4004_vol,0
312,$400C_const,1
312,$400C_vol,6
312,$4004_duty,2
312,$4004_const,1
312,$4004_vol,7
313,$400C_const,1
313,$400C_vol,5
313,$4004_duty,2
313,$4004_const,1
313,$4004_vol,7
314,$400C_const,1
314,$400C_vol,5
314,$4004_duty,2
314,$4004_const,1
314,$4004_vol,5
315,$400C_const,1
315,$400C_vol,6
315,$4004_duty,2
315,$4004_const,1
315,$4004_vol,0
316,$400C_const,1
316,$400C_vol,5
316,$4004_duty,2
316,$4004_const,1
316,$4004_vol,0
317,$400C_const,1
317,$400C_vol,4
317,$4004_duty,2
317,$4004_const,1
317,$4004_vol,4
318,$400C_const,1
318,$400C_vol,3
318,$4004_duty,2
318,$4004_const,1
318,$4004_vol,2
319,$4004_duty,2
319,$4004_const,1
319,$4004_vol,4
320,$400C_const,1
320,$400C_vol,2
320,$4004_duty,2
320,$4004_const,1
320,$4004_vol,0
321,$4004_duty,2
321,$4004_const,1
321,$4004_vol,0
322,$400C_const,1
322,$400C_vol,0
322,$4004_duty,2
322,$4004_const,1
322,$4004_vol,1
323,$4004_duty,2
323,$4004_const,1
323,$4004_vol,0
324,$4004_duty,2
324,$4004_const,1
324,$4004_vol,1
325,$4002_period,1
325,$400B_length,0
325,$4000_duty,0
325,$4000_const,1
325,$4000_vol,3
325,$4008_linear,127
325,$400A_period,1025
325,$400B_length,10
325,$400C_const,1
325,$400C_vol,0
325,$4012_addr,96
325,$4013_len,32
325,$4010_rate,15
325,$4011_dac,0
325,$400E_period,1
325,$400E_mode,0
325,$400C_const,1
325,$400C_vol,12
325,$4004_duty,2
325,$4004_const,1
325,$4004_vol,0
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,6
326,$400E_period,3
326,$400E_mode,0
326,$400C_const,1
326,$400C_vol,7
326,$4004_duty,0
326,$4004_const,1
326,$4004_vol,0
326,$400C_const,1
