frame,parameter,value
516,$4000_duty,2
516,$4000_const,1
516,$4000_vol,2
516,$4001_sweep,156
516,$4002_period,509
516,$400B_length,32
516,$4004_duty,2
516,$4004_const,1
516,$4004_vol,2
516,$4005_sweep,156
516,$4006_period,509
522,$4001_sweep,148
522,$4005_sweep,148
532,$4000_duty,2
532,$4000_const,1
532,$4000_vol,2
532,$4001_sweep,156
532,$4002_period,509
532,$400B_length,32
532,$4004_duty,2
532,$4004_const,1
532,$4004_vol,2
532,$4005_sweep,156
532,$4006_period,509
538,$4001_sweep,148
538,$4005_sweep,148
548,$4000_duty,2
548,$4000_const,1
548,$4000_vol,3
548,$4001_sweep,156
548,$4002_period,509
548,$400B_length,32
548,$4004_duty,2
548,$4004_const,1
548,$4004_vol,3
548,$4005_sweep,156
548,$4006_period,509
554,$4001_sweep,148
554,$4005_sweep,148
564,$4000_duty,2
564,$4000_const,1
564,$4000_vol,3
564,$4001_sweep,156
564,$4002_period,509
564,$400B_length,32
564,$4004_duty,2
564,$4004_const,1
564,$4004_vol,3
564,$4005_sweep,156
564,$4006_period,509
570,$4001_sweep,148
570,$4005_sweep,148
580,$4000_duty,2
580,$4000_const,1
580,$4000_vol,4
580,$4001_sweep,156
580,$4002_period,509
580,$400B_length,32
580,$4004_duty,2
580,$4004_const,1
580,$4004_vol,4
580,$4005_sweep,156
580,$4006_period,509
586,$4001_sweep,148
586,$4005_sweep,148
596,$4000_duty,2
596,$4000_const,1
596,$4000_vol,4
596,$4001_sweep,156
596,$4002_period,509
596,$400B_length,32
596,$4004_duty,2
596,$4004_const,1
596,$4004_vol,4
596,$4005_sweep,156
596,$4006_period,509
