frame,parameter,value
0,$4008_linear,0
1,$4008_linear,0
1,$400C_const,1
1,$400C_vol,5
1,$400E_period,0
1,$400E_mode,0
2,$4008_linear,0
3,$4008_linear,0
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,2
4,$400E_period,0
4,$400E_mode,0
5,$4008_linear,127
5,$400A_period,855
5,$400B_length,1
5,$400C_const,0
5,$400C_vol,9
5,$400E_period,0
5,$400E_mode,0
6,$4008_linear,127
7,$4008_linear,127
7,$400C_const,1
7,$400C_vol,0
7,$400E_period,0
7,$400E_mode,0
8,$4008_linear,127
9,$4008_linear,127
10,$4008_linear,127
11,$4008_linear,127
12,$4008_linear,127
13,$4008_linear,127
13,$400C_const,0
13,$400C_vol,9
13,$400E_period,0
13,$400E_mode,0
14,$4008_linear,127
15,$4008_linear,127
15,$400C_const,1
15,$400C_vol,0
15,$400E_period,0
15,$400E_mode,0
16,$4008_linear,127
17,$4008_linear,127
18,$4008_linear,127
19,$4008_linear,127
20,$4008_linear,127
21,$4008_linear,127
21,$400C_const,1
21,$400C_vol,10
21,$400E_period,2
21,$400E_mode,0
22,$4008_linear,127
23,$4008_linear,127
23,$400C_const,1
23,$400C_vol,7
23,$400E_period,1
23,$400E_mode,0
24,$4008_linear,127
25,$4008_linear,127
25,$400C_const,1
25,$400C_vol,5
25,$400E_period,0
25,$400E_mode,0
26,$4008_linear,127
27,$4008_linear,127
28,$4008_linear,127
28,$400C_const,1
28,$400C_vol,2
28,$400E_period,0
28,$400E_mode,0
29,$4008_linear,0
29,$400C_const,0
29,$400C_vol,9
29,$400E_period,0
29,$400E_mode,0
30,$4008_linear,0
31,$4008_linear,0
31,$400C_const,1
31,$400C_vol,0
31,$400E_period,0
31,$400E_mode,0
32,$4008_linear,0
33,$4008_linear,0
34,$4008_linear,0
35,$4008_linear,0
36,$4008_linear,0
37,$4008_linear,0
37,$400C_const,1
37,$400C_vol,10
37,$400E_period,2
37,$400E_mode,0
38,$4008_linear,0
39,$4008_linear,0
39,$400C_const,1
39,$400C_vol,7
39,$400E_period,1
