frame,parameter,value
191,$400E_period,13
191,$400E_mode,0
191,$400C_const,1
191,$400C_vol,15
191,$400A_period,1017
191,$400B_length,9
191,$4008_linear,127
191,$4005_sweep,8
191,$4006_period,403
191,$4004_duty,2
191,$4004_const,1
191,$4004_vol,7
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4001_sweep,8
191,$4001_sweep,8
191,$4002_period,429
191,$400B_length,8
193,$400E_period,0
193,$400E_mode,0
193,$400C_const,1
193,$400C_vol,15
193,$4004_duty,2
193,$4004_const,1
193,$4004_vol,7
195,$400C_const,1
195,$400C_vol,0
195,$400E_period,0
195,$400E_mode,0
195,$4004_duty,2
195,$4004_const,1
195,$4004_vol,7
196,$4004_duty,2
196,$4004_const,1
196,$4004_vol,7
198,$4004_duty,2
198,$4004_const,1
198,$4004_vol,7
198,$4001_sweep,8
198,$4002_period,405
198,$400B_length,8
198,$4000_duty,2
198,$4000_const,1
198,$4000_vol,5
199,$4004_duty,2
199,$4004_const,1
199,$4004_vol,7
199,$4000_duty,2
199,$4000_const,1
199,$4000_vol,5
201,$4004_duty,2
201,$4004_const,1
201,$4004_vol,7
201,$4000_duty,2
201,$4000_const,1
201,$4000_vol,5
202,$4004_duty,2
202,$4004_const,1
202,$4004_vol,7
202,$4000_duty,2
202,$4000_const,1
202,$4000_vol,5
204,$400E_period,0
204,$400E_mode,0
204,$400C_const,1
204,$400C_vol,15
204,$4004_duty,2
204,$4004_const,1
204,$4004_vol,7
204,$4000_duty,2
204,$4000_const,1
204,$4000_vol,5
205,$400C_const,1
205,$400C_vol,0
205,$4008_linear,0
205,$4004_duty,2
205,$4004_const,1
205,$4004_vol,7
205,$4000_duty,2
205,$4000_const,1
205,$4000_vol,5
207,$400C_const,1
207,$400C_vol,0
207,$4008_linear,0
207,$4004_duty,2
207,$4004_const,1
207,$4004_vol,7
207,$4000_duty,2
207,$4000_const,1
207,$4000_vol,4
208,$400C_const,1
208,$400C_vol,0
208,$4008_linear,0
208,$4004_duty,2
208,$4004_const,1
208,$4004_vol,7
208,$4000_duty,2
208,$4000_const,1
208,$4000_vol,4
210,$400E_period,10
210,$400E_mode,0
210,$400C_const,1
210,$400C_vol,15
210,$400A_period,509
210,$400B_length,8
210,$4008_linear,127
210,$4005_sweep,8
210,$4006_period,381
210,$4004_duty,2
