frame,parameter,value
134,$4000_duty,0
134,$4000_const,1
134,$4000_vol,0
134,$4004_duty,0
134,$4004_const,1
134,$4004_vol,0
134,$4008_linear,0
134,$400C_const,1
134,$400C_vol,0
134,$4001_sweep,8
134,$4005_sweep,8
160,$4000_duty,0
160,$4000_const,1
160,$4000_vol,0
160,$4004_duty,0
160,$4004_const,1
160,$4004_vol,0
160,$4008_linear,0
160,$400C_const,1
160,$400C_vol,0
160,$4001_sweep,8
160,$4005_sweep,8
162,$4000_duty,0
162,$4000_const,1
162,$4000_vol,0
162,$4002_period,29
162,$400B_length,8
162,$4004_duty,0
162,$4004_const,1
162,$4004_vol,0
162,$4006_period,605
162,$4008_linear,0
162,$400A_period,453
162,$400B_length,8
162,$400C_const,1
162,$400C_vol,0
162,$400E_period,15
162,$400E_mode,0
163,$4004_duty,0
163,$4004_const,1
163,$4004_vol,0
163,$4008_linear,0
163,$400C_const,1
163,$400C_vol,0
163,$400E_period,15
163,$400E_mode,0
164,$4004_duty,0
164,$4004_const,1
164,$4004_vol,0
164,$4008_linear,0
164,$400C_const,1
164,$400C_vol,0
164,$400E_period,15
164,$400E_mode,0
165,$4004_duty,0
165,$4004_const,1
165,$4004_vol,0
165,$4008_linear,0
165,$400C_const,1
165,$400C_vol,0
165,$400E_period,15
165,$400E_mode,0
166,$4004_duty,0
166,$4004_const,1
166,$4004_vol,0
166,$4008_linear,0
166,$400C_const,1
166,$400C_vol,0
166,$400E_period,15
166,$400E_mode,0
167,$4004_duty,0
167,$4004_const,1
167,$4004_vol,0
167,$4008_linear,0
167,$400C_const,1
167,$400C_vol,0
167,$400E_period,15
167,$400E_mode,0
168,$4004_duty,0
168,$4004_const,1
168,$4004_vol,0
168,$4008_linear,0
168,$400C_const,1
168,$400C_vol,0
168,$400E_period,15
168,$400E_mode,0
169,$4004_duty,0
169,$4004_const,1
169,$4004_vol,0
169,$400C_const,1
169,$400C_vol,0
169,$400E_period,15
169,$400E_mode,0
170,$4004_duty,0
170,$4004_const,1
170,$4004_vol,0
170,$400C_const,1
170,$400C_vol,0
170,$400E_period,15
170,$400E_mode,0
171,$4004_duty,0
171,$4004_const,1
171,$4004_vol,0
171,$400C_const,1
171,$400C_vol,0
171,$400E_period,15
171,$400E_mode,0
172,$4004_duty,0
172,$4004_const,1
172,$4004_vol,0
172,$400C_const,1
172,$400C_vol,0
172,$400E_period,15
172,$400E_mode,0
173,$4004_duty,0
173,$4004_const,1
173,$4004_vol,0
173,$400C_const,1
173,$400C_vol,0
173,$400E_period,15
173,$400E_mode,0
174,$4004_duty,0
174,$4004_const,1
174,$4004_vol,0
174,$400C_const,1
174,$400C_vol,0
174,$400E_period,15
174,$400E_mode,0
175,$4004_duty,0
175,$4004_const,1
175,$4004_vol,0
175,$400C_const,1
175,$400C_vol,0
175,$400E_period,15
175,$400E_mode,0
176,$4004_duty,0
176,$4004_const,1
176,$4004_vol,0
176,$400C_const,1
176,$400C_vol,0
176,$400E_period,15
176,$400E_mode,0
177,$4004_duty,0
177,$4004_const,1
177,$4004_vol,0
178,$4004_duty,0
178,$4004_const,1
178,$4004_vol,1
179,$4004_duty,0
179,$4004_const,1
179,$4004_vol,1
180,$4004_duty,0
180,$4004_const,1
180,$4004_vol,2
180,$4008_linear,127
180,$400A_period,453
180,$400B_length,8
180,$400C_const,1
180,$400C_vol,2
180,$400E_period,10
180,$400E_mode,0
181,$4004_duty,0
181,$4004_const,1
181,$4004_vol,2
181,$4008_linear,0
181,$400C_const,1
181,$400C_vol,2
181,$400E_period,10
181,$400E_mode,0
182,$4004_duty,0
182,$4004_const,1
182,$4004_vol,2
182,$4008_linear,0
182,$400C_const,1
182,$400C_vol,2
182,$400E_period,10
182,$400E_mode,0
183,$4004_duty,0
183,$4004_const,1
183,$4004_vol,3
183,$4008_linear,0
183,$400C_const,1
183,$400C_vol,3
183,$400E_period,10
183,$400E_mode,0
184,$4004_duty,0
184,$4004_const,1
184,$4004_vol,3
184,$4008_linear,0
184,$400C_const,1
184,$400C_vol,3
184,$400E_period,10
184,$400E_mode,0
185,$4004_duty,0
185,$4004_const,1
185,$4004_vol,3
185,$4008_linear,0
185,$400C_const,1
185,$400C_vol,3
185,$400E_period,10
185,$400E_mode,0
186,$4004_duty,0
186,$4004_const,1
186,$4004_vol,4
186,$4008_linear,0
186,$400C_const,1
186,$400C_vol,3
186,$400E_period,10
186,$400E_mode,0
187,$4004_duty,0
187,$4004_const,1
187,$4004_vol,4
187,$400C_const,1
187,$400C_vol,2
187,$400E_period,10
187,$400E_mode,0
188,$4004_duty,0
188,$4004_const,1
188,$4004_vol,5
188,$400C_const,1
188,$400C_vol,1
188,$400E_period,10
188,$400E_mode,0
189,$4004_duty,0
189,$4004_const,1
189,$4004_vol,5
189,$400C_const,1
189,$400C_vol,0
189,$400E_period,10
189,$400E_mode,0
190,$4004_duty,0
190,$4004_const,1
190,$4004_vol,5
190,$400C_const,1
190,$400C_vol,0
190,$400E_period,10
190,$400E_mode,0
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,6
191,$400C_const,1
191,$400C_vol,0
191,$400E_period,10
191,$400E_mode,0
192,$4004_duty,0
192,$4004_const,1
192,$4004_vol,6
192,$400C_const,1
192,$400C_vol,0
192,$400E_period,10
192,$400E_mode,0
193,$4004_duty,0
193,$4004_const,1
193,$4004_vol,6
193,$400C_const,1
193,$400C_vol,0
193,$400E_period,10
193,$400E_mode,0
194,$4004_duty,0
194,$4004_const,1
194,$4004_vol,6
194,$400C_const,1
194,$400C_vol,0
194,$400E_period,10
194,$400E_mode,0
195,$4004_duty,0
195,$4004_const,1
195,$4004_vol,5
196,$4004_duty,0
196,$4004_const,1
196,$4004_vol,5
197,$4004_duty,0
197,$4004_const,1
197,$4004_vol,5
197,$4008_linear,127
197,$400A_period,453
197,$400B_length,8
197,$400C_const,1
197,$400C_vol,8
197,$400E_period,15
197,$400E_mode,0
198,$4004_duty,0
198,$4004_const,1
198,$4004_vol,5
198,$4008_linear,127
198,$400C_const,1
198,$400C_vol,8
198,$400E_period,15
198,$400E_mode,0
199,$4004_duty,0
199,$4004_const,1
199,$4004_vol,5
199,$4008_linear,127
199,$400C_const,1
199,$400C_vol,7
199,$400E_period,15
199,$400E_mode,0
200,$4004_duty,0
200,$4004_const,1
200,$4004_vol,5
200,$4008_linear,127
200,$400C_const,1
200,$400C_vol,6
200,$400E_period,15
200,$400E_mode,0
201,$4004_duty,0
201,$4004_const,1
201,$4004_vol,5
201,$4008_linear,127
201,$400C_const,1
201,$400C_vol,5
201,$400E_period,15
201,$400E_mode,0
202,$4004_duty,0
202,$4004_const,1
202,$4004_vol,5
202,$4008_linear,127
202,$400C_const,1
202,$400C_vol,4
202,$400E_period,15
202,$400E_mode,0
203,$4004_duty,0
203,$4004_const,1
203,$4004_vol,4
203,$4008_linear,0
203,$400C_const,1
203,$400C_vol,3
203,$400E_period,15
203,$400E_mode,0
204,$4004_duty,0
204,$4004_const,1
204,$4004_vol,4
204,$4008_linear,127
204,$400C_const,1
204,$400C_vol,2
204,$400E_period,15
204,$400E_mode,0
205,$4004_duty,0
205,$4004_const,1
205,$4004_vol,4
205,$4008_linear,0
205,$400C_const,1
205,$400C_vol,1
205,$400E_period,15
205,$400E_mode,0
206,$4004_duty,0
206,$4004_const,1
206,$4004_vol,4
206,$4008_linear,0
206,$400C_const,1
