frame,parameter,value
679,$4013_len,0
679,$4012_addr,0
679,$4011_dac,0
679,$4010_rate,0
679,$400E_period,0
679,$400E_mode,0
679,$400C_const,0
679,$400C_vol,0
679,$400A_period,1
679,$400B_length,0
679,$4008_linear,0
679,$4006_period,1
679,$4005_sweep,0
679,$4004_duty,0
679,$4004_const,0
679,$4004_vol,0
679,$4002_period,1
679,$400B_length,0
679,$4001_sweep,0
679,$4000_duty,0
679,$4000_const,0
679,$4000_vol,0
679,$4010_rate,192
681,$4000_duty,0
681,$4000_const,0
681,$4000_vol,0
681,$4004_duty,0
681,$4004_const,0
681,$4004_vol,0
681,$4008_linear,0
681,$400C_const,0
681,$400C_vol,0
681,$400E_period,0
681,$400E_mode,0
682,$4000_duty,0
682,$4000_const,0
682,$4000_vol,0
682,$4004_duty,0
682,$4004_const,0
682,$4004_vol,0
682,$4008_linear,0
682,$400C_const,0
682,$400C_vol,0
682,$400E_period,0
682,$400E_mode,0
683,$4001_sweep,67
683,$4000_duty,0
683,$4000_const,1
683,$4000_vol,8
683,$4002_period,269
683,$400B_length,0
683,$4005_sweep,67
683,$4004_duty,0
683,$4004_const,0
683,$4004_vol,3
683,$4006_period,1
683,$4008_linear,31
683,$400A_period,677
683,$400B_length,153
683,$400C_const,0
683,$400C_vol,0
683,$400E_period,0
683,$400E_mode,0
684,$4000_duty,0
684,$4000_const,1
684,$4000_vol,8
684,$4004_duty,0
684,$4004_const,0
684,$4004_vol,3
684,$4008_linear,31
684,$400C_const,0
684,$400C_vol,0
684,$400E_period,0
684,$400E_mode,0
686,$4000_duty,0
686,$4000_const,1
686,$4000_vol,8
686,$4004_duty,0
686,$4004_const,0
686,$4004_vol,3
686,$4008_linear,31
686,$400C_const,0
686,$400C_vol,0
686,$400E_period,0
686,$400E_mode,0
688,$4000_duty,0
688,$4000_const,1
688,$4000_vol,8
688,$4004_duty,0
688,$4004_const,0
688,$4004_vol,3
688,$4008_linear,31
688,$400C_const,0
688,$400C_vol,0
688,$400E_period,0
688,$400E_mode,0
690,$4000_duty,0
690,$4000_const,1
690,$4000_vol,8
690,$4004_duty,0
690,$4004_const,0
690,$4004_vol,3
690,$4008_linear,31
690,$400C_const,0
690,$400C_vol,0
690,$400E_period,0
690,$400E_mode,0
691,$4001_sweep,67
691,$4000_duty,0
691,$4000_const,1
691,$4000_vol,8
691,$4002_period,339
691,$400B_length,0
691,$4005_sweep,67
691,$4004_duty,0
691,$4004_const,1
691,$4004_vol,4
691,$4006_period,269
691,$400C_const,0
691,$400C_vol,0
691,$400E_period,0
691,$400E_mode,0
692,$4000_duty,0
692,$4000_const,1
692,$4000_vol,8
692,$4004_duty,0
692,$4004_const,1
692,$4004_vol,4
692,$4008_linear,31
692,$400C_const,0
692,$400C_vol,0
692,$400E_period,0
692,$400E_mode,0
694,$4000_duty,0
694,$4000_const,1
694,$4000_vol,8
694,$4004_duty,0
694,$4004_const,1
694,$4004_vol,4
694,$4008_linear,31
694,$400C_const,0
694,$400C_vol,0
694,$400E_period,0
694,$400E_mode,0
696,$4000_duty,0
696,$4000_const,1
696,$4000_vol,8
696,$4004_duty,0
696,$4004_const,1
696,$4004_vol,4
696,$4008_linear,31
696,$400C_const,0
696,$400C_vol,0
696,$400E_period,0
696,$400E_mode,0
698,$4000_duty,0
698,$4000_const,1
698,$4000_vol,8
698,$4004_duty,0
698,$4004_const,1
698,$4004_vol,4
698,$4008_linear,31
698,$400C_const,0
698,$400C_vol,0
698,$400E_period,0
698,$400E_mode,0
699,$4001_sweep,67
699,$4000_duty,0
699,$4000_const,1
699,$4000_vol,8
699,$4002_period,453
699,$400B_length,0
699,$4005_sweep,67
699,$4004_duty,0
699,$4004_const,1
699,$4004_vol,4
699,$4006_period,339
699,$400C_const,0
699,$400C_vol,0
699,$400E_period,0
699,$400E_mode,0
700,$4000_duty,0
700,$4000_const,1
700,$4000_vol,8
700,$4004_duty,0
700,$4004_const,1
700,$4004_vol,4
700,$4008_linear,31
700,$400C_const,0
700,$400C_vol,0
700,$400E_period,0
700,$400E_mode,0
702,$4000_duty,0
702,$4000_const,1
702,$4000_vol,8
702,$4004_duty,0
702,$4004_const,1
702,$4004_vol,4
702,$4008_linear,31
702,$400C_const,0
702,$400C_vol,0
702,$400E_period,0
702,$400E_mode,0
703,$4000_duty,0
703,$4000_const,1
703,$4000_vol,8
703,$4004_duty,0
703,$4004_const,1
703,$4004_vol,4
703,$4008_linear,31
703,$400C_const,0
703,$400C_vol,0
703,$400E_period,0
703,$400E_mode,0
705,$4000_duty,0
705,$4000_const,1
705,$4000_vol,8
705,$4004_duty,0
705,$4004_const,1
705,$4004_vol,4
705,$4008_linear,31
705,$400C_const,0
705,$400C_vol,0
705,$400E_period,0
705,$400E_mode,0
707,$4000_duty,0
707,$4000_const,1
707,$4000_vol,8
707,$4004_duty,0
707,$4004_const,1
707,$4004_vol,4
707,$4008_linear,31
707,$400C_const,0
707,$400C_vol,0
707,$400E_period,0
707,$400E_mode,0
708,$4001_sweep,67
708,$4000_duty,0
708,$4000_const,1
708,$4000_vol,8
708,$4002_period,301
708,$400B_length,0
708,$4005_sweep,67
708,$4004_duty,0
708,$4004_const,1
708,$4004_vol,4
708,$4006_period,453
708,$400C_const,0
708,$400C_vol,0
708,$400E_period,0
708,$400E_mode,0
709,$4000_duty,0
709,$4000_const,1
709,$4000_vol,8
709,$4004_duty,0
709,$4004_const,1
709,$4004_vol,4
709,$4008_linear,31
709,$400C_const,0
709,$400C_vol,0
709,$400E_period,0
709,$400E_mode,0
711,$4000_duty,0
711,$4000_const,1
711,$4000_vol,8
711,$4004_duty,0
711,$4004_const,1
711,$4004_vol,4
711,$4008_linear,31
711,$400C_const,0
711,$400C_vol,0
711,$400E_period,0
711,$400E_mode,0
713,$4000_duty,0
713,$4000_const,1
713,$4000_vol,8
713,$4004_duty,0
713,$4004_const,1
713,$4004_vol,4
713,$4008_linear,31
713,$400C_const,0
713,$400C_vol,0
713,$400E_period,0
713,$400E_mode,0
715,$4000_duty,0
715,$4000_const,1
715,$4000_vol,8
715,$4004_duty,0
715,$4004_const,1
715,$4004_vol,4
715,$4008_linear,31
715,$400C_const,0
715,$400C_vol,0
715,$400E_period,0
715,$400E_mode,0
716,$4001_sweep,67
716,$4000_duty,0
716,$4000_const,1
716,$4000_vol,8
716,$4002_period,359
716,$400B_length,0
716,$4005_sweep,67
716,$4004_duty,0
716,$4004_const,1
716,$4004_vol,4
716,$4006_period,301
716,$400C_const,0
716,$400C_vol,0
716,$400E_period,4
716,$400E_mode,0
717,$4000_duty,0
717,$4000_const,1
717,$4000_vol,8
717,$4004_duty,0
717,$4004_const,1
717,$4004_vol,4
717,$4008_linear,31
717,$400C_const,0
717,$400C_vol,0
717,$400E_period,4
717,$400E_mode,0
719,$4000_duty,0
719,$4000_const,1
719,$4000_vol,8
719,$4004_duty,0
719,$4004_const,1
719,$4004_vol,4
719,$4008_linear,31
719,$400C_const,0
719,$400C_vol,0
719,$400E_period,4
719,$400E_mode,0
721,$4000_duty,0
721,$4000_const,1
721,$4000_vol,8
721,$4004_duty,0
721,$4004_const,1
721,$4004_vol,4
721,$4008_linear,31
721,$400C_const,0
721,$400C_vol,0
721,$400E_period,4
721,$400E_mode,0
723,$4000_duty,0
723,$4000_const,1
723,$4000_vol,8
723,$4004_duty,0
723,$4004_const,1
723,$4004_vol,4
723,$4008_linear,31
723,$400C_const,0
723,$400C_vol,0
723,$400E_period,4
723,$400E_mode,0
724,$4000_duty,0
724,$4000_const,1
724,$4000_vol,8
724,$4004_duty,0
724,$4004_const,1
724,$4004_vol,4
724,$4008_linear,31
724,$400C_const,0
724,$400C_vol,0
724,$400E_period,4
724,$400E_mode,0
725,$4001_sweep,67
725,$4000_duty,0
725,$4000_const,1
725,$4000_vol,8
725,$4002_period,453
725,$400B_length,0
725,$4005_sweep,67
725,$4004_duty,0
725,$4004_const,1
725,$4004_vol,4
725,$4006_period,359
725,$400C_const,0
725,$400C_vol,0
