frame,parameter,value
166,$4000_duty,0
166,$4000_const,1
166,$4000_vol,0
166,$4004_duty,0
166,$4004_const,1
166,$4004_vol,0
166,$400C_const,1
166,$400C_vol,0
166,$4008_linear,0
206,$4000_duty,0
206,$4000_const,1
206,$4000_vol,0
206,$4004_duty,0
206,$4004_const,1
206,$4004_vol,0
206,$400C_const,1
206,$400C_vol,0
206,$4008_linear,0
207,$4000_duty,3
207,$4000_const,1
207,$4000_vol,13
207,$4001_sweep,8
207,$4002_period,573
207,$400B_length,1
207,$4004_duty,3
207,$4004_const,1
207,$4004_vol,10
207,$4005_sweep,8
207,$4006_period,857
207,$4008_linear,0
207,$400A_period,1
207,$400B_length,0
209,$4000_duty,3
209,$4000_const,1
209,$4000_vol,13
209,$4004_duty,3
209,$4004_const,1
209,$4004_vol,10
216,$4000_duty,3
216,$4000_const,1
216,$4000_vol,12
216,$4004_duty,3
216,$4004_const,1
216,$4004_vol,9
220,$4000_duty,3
220,$4000_const,1
220,$4000_vol,11
220,$4004_duty,3
220,$4004_const,1
220,$4004_vol,8
224,$4000_duty,3
224,$4000_const,1
224,$4000_vol,10
224,$4004_duty,3
224,$4004_const,1
224,$4004_vol,7
228,$4000_duty,3
228,$4000_const,1
228,$4000_vol,9
228,$4004_duty,3
228,$4004_const,1
228,$4004_vol,6
231,$4000_duty,3
231,$4000_const,1
231,$4000_vol,13
231,$4001_sweep,8
231,$4002_period,511
231,$400B_length,0
231,$4004_duty,3
231,$4004_const,1
231,$4004_vol,10
231,$4005_sweep,8
231,$4006_period,857
233,$4000_duty,3
233,$4000_const,1
233,$4000_vol,12
233,$4004_duty,3
233,$4004_const,1
233,$4004_vol,10
237,$4000_duty,3
237,$4000_const,1
237,$4000_vol,11
239,$4000_duty,3
239,$4000_const,1
239,$4000_vol,13
239,$4001_sweep,8
239,$4002_period,573
239,$400B_length,1
240,$4004_duty,3
240,$4004_const,1
240,$4004_vol,9
241,$4000_duty,3
241,$4000_const,1
241,$4000_vol,12
244,$4004_duty,3
244,$4004_const,1
244,$4004_vol,8
245,$4000_duty,3
245,$4000_const,1
245,$4000_vol,11
247,$4000_duty,3
247,$4000_const,1
247,$4000_vol,13
247,$4001_sweep,8
247,$4002_period,643
247,$400B_length,1
248,$4004_duty,3
248,$4004_const,1
248,$4004_vol,7
249,$4000_duty,3
249,$4000_const,1
249,$4000_vol,12
252,$4004_duty,3
252,$4004_const,1
252,$4004_vol,6
253,$4000_duty,3
253,$4000_const,1
253,$4000_vol,11
255,$4000_duty,3
255,$4000_const,1
255,$4000_vol,13
255,$4001_sweep,8
255,$4002_period,573
255,$400B_length,1
255,$4004_duty,3
255,$4004_const,1
255,$4004_vol,10
255,$4005_sweep,8
255,$4006_period,857
257,$4000_duty,3
257,$4000_const,1
257,$4000_vol,13
257,$4004_duty,3
257,$4004_const,1
257,$4004_vol,10
270,$4000_duty,3
270,$4000_const,1
270,$4000_vol,12
270,$4004_duty,3
270,$4004_const,1
270,$4004_vol,9
274,$4000_duty,3
274,$4000_const,1
274,$4000_vol,11
274,$4004_duty,3
274,$4004_const,1
274,$4004_vol,8
278,$4000_duty,3
278,$4000_const,1
278,$4000_vol,10
278,$4004_duty,3
278,$4004_const,1
278,$4004_vol,7
279,$4008_linear,112
279,$400A_period,857
279,$400B_length,1
281,$4008_linear,112
282,$4000_duty,3
282,$4000_const,1
282,$4000_vol,9
282,$4004_duty,3
282,$4004_const,1
282,$4004_vol,6
286,$4000_duty,3
286,$4000_const,1
286,$4000_vol,8
286,$4004_duty,3
286,$4004_const,1
286,$4004_vol,5
290,$4000_duty,3
290,$4000_const,1
290,$4000_vol,7
290,$4004_duty,3
290,$4004_const,1
290,$4004_vol,4
294,$4000_duty,3
294,$4000_const,1
294,$4000_vol,6
294,$4004_duty,3
294,$4004_const,1
294,$4004_vol,3
298,$4000_duty,3
298,$4000_const,1
298,$4000_vol,5
298,$4004_duty,3
298,$4004_const,1
298,$4004_vol,2
298,$4008_linear,112
300,$4008_linear,112
302,$4000_duty,3
302,$4000_const,1
302,$4000_vol,4
302,$4004_duty,3
302,$4004_const,1
302,$4004_vol,1
302,$4008_linear,112
303,$4000_duty,3
303,$4000_const,1
303,$4000_vol,13
303,$4001_sweep,8
303,$4002_period,573
303,$400B_length,1
303,$4004_duty,3
303,$4004_const,1
303,$4004_vol,10
303,$4005_sweep,8
303,$4006_period,857
303,$4008_linear,112
303,$400A_period,429
303,$400B_length,0
305,$4000_duty,3
305,$4000_const,1
305,$4000_vol,13
305,$4004_duty,3
305,$4004_const,1
305,$4004_vol,10
305,$4008_linear,112
312,$4000_duty,3
312,$4000_const,1
312,$4000_vol,12
312,$4004_duty,3
312,$4004_const,1
312,$4004_vol,9
316,$4000_duty,3
316,$4000_const,1
316,$4000_vol,11
316,$4004_duty,3
316,$4004_const,1
316,$4004_vol,8
320,$4000_duty,3
320,$4000_const,1
320,$4000_vol,10
320,$4004_duty,3
320,$4004_const,1
320,$4004_vol,7
324,$4000_duty,3
324,$4000_const,1
324,$4000_vol,9
324,$4004_duty,3
324,$4004_const,1
324,$4004_vol,6
327,$4000_duty,3
327,$4000_const,1
327,$4000_vol,13
327,$4001_sweep,8
327,$4002_period,511
327,$400B_length,0
327,$4004_duty,3
327,$4004_const,1
327,$4004_vol,10
327,$4005_sweep,8
327,$4006_period,857
329,$4000_duty,3
329,$4000_const,1
329,$4000_vol,12
329,$4004_duty,3
329,$4004_const,1
329,$4004_vol,10
333,$4000_duty,3
333,$4000_const,1
333,$4000_vol,11
335,$4000_duty,3
335,$4000_const,1
335,$4000_vol,13
335,$4001_sweep,8
335,$4002_period,573
335,$400B_length,1
336,$4004_duty,3
336,$4004_const,1
336,$4004_vol,9
337,$4000_duty,3
337,$4000_const,1
337,$4000_vol,12
340,$4004_duty,3
340,$4004_const,1
340,$4004_vol,8
340,$4008_linear,112
341,$4000_duty,3
341,$4000_const,1
341,$4000_vol,11
342,$4008_linear,112
343,$4000_duty,3
343,$4000_const,1
343,$4000_vol,13
343,$4001_sweep,8
343,$4002_period,643
343,$400B_length,1
344,$4004_duty,3
344,$4004_const,1
344,$4004_vol,7
344,$4008_linear,112
345,$4000_duty,3
345,$4000_const,1
345,$4000_vol,12
346,$4008_linear,0
348,$4004_duty,3
348,$4004_const,1
348,$4004_vol,6
349,$4000_duty,3
349,$4000_const,1
349,$4000_vol,11
351,$4000_duty,3
351,$4000_const,1
351,$4000_vol,13
351,$4001_sweep,8
351,$4002_period,573
351,$400B_length,1
351,$4004_duty,3
351,$4004_const,1
351,$4004_vol,10
351,$4005_sweep,8
351,$4006_period,857
351,$4008_linear,112
351,$400A_period,573
351,$400B_length,1
353,$4000_duty,3
353,$4000_const,1
353,$4000_vol,13
353,$4004_duty,3
353,$4004_const,1
353,$4004_vol,10
353,$4008_linear,112
366,$4000_duty,3
366,$4000_const,1
366,$4000_vol,12
366,$4004_duty,3
366,$4004_const,1
366,$4004_vol,9
370,$4000_duty,3
370,$4000_const,1
370,$4000_vol,11
370,$4004_duty,3
370,$4004_const,1
370,$4004_vol,8
374,$4000_duty,3
374,$4000_const,1
374,$4000_vol,10
374,$4004_duty,3
374,$4004_const,1
374,$4004_vol,7
378,$4000_duty,3
378,$4000_const,1
378,$4000_vol,9
378,$4004_duty,3
378,$4004_const,1
378,$4004_vol,6
382,$4000_duty,3
382,$4000_const,1
382,$4000_vol,8
382,$4004_duty,3
382,$4004_const,1
382,$4004_vol,5
386,$4000_duty,3
386,$4000_const,1
386,$4000_vol,7
386,$4004_duty,3
386,$4004_const,1
386,$4004_vol,4
388,$4008_linear,112
390,$4000_duty,3
390,$4000_const,1
390,$4000_vol,6
390,$4004_duty,3
390,$4004_const,1
390,$4004_vol,3
390,$4008_linear,112
392,$4008_linear,112
394,$4000_duty,3
394,$4000_const,1
394,$4000_vol,5
394,$4004_duty,3
394,$4004_const,1
394,$4004_vol,2
394,$4008_linear,0
398,$4000_duty,3
398,$4000_const,1
398,$4000_vol,4
398,$4004_duty,3
398,$4004_const,1
398,$4004_vol,1
399,$4000_duty,3
399,$4000_const,1
399,$4000_vol,13
399,$4001_sweep,8
399,$4002_period,763
399,$400B_length,1
399,$4004_duty,3
399,$4004_const,1
399,$4004_vol,10
399,$4005_sweep,8
