frame,parameter,value
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,15
7,$4001_sweep,8
7,$4002_period,429
7,$400B_length,0
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,11
7,$4005_sweep,8
7,$4006_period,573
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,15
21,$4001_sweep,8
21,$4002_period,383
21,$400B_length,0
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,11
21,$4005_sweep,8
21,$4006_period,573
21,$4008_linear,127
21,$400A_period,911
21,$400B_length,1
63,$4000_duty,0
63,$4000_const,1
63,$4000_vol,15
63,$4001_sweep,8
63,$4002_period,287
63,$400B_length,0
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,11
63,$4005_sweep,8
63,$4006_period,383
105,$4000_duty,0
105,$4000_const,1
105,$4000_vol,15
105,$4001_sweep,8
105,$4002_period,321
105,$400B_length,0
105,$4004_duty,2
105,$4004_const,1
105,$4004_vol,11
105,$4005_sweep,8
105,$4006_period,383
105,$4008_linear,127
105,$400A_period,965
105,$400B_length,1
119,$4000_duty,0
119,$4000_const,1
119,$4000_vol,15
119,$4001_sweep,8
119,$4002_period,341
119,$400B_length,0
119,$4004_duty,2
119,$4004_const,1
119,$4004_vol,11
119,$4005_sweep,8
119,$4006_period,429
133,$4000_duty,0
133,$4000_const,1
133,$4000_vol,15
133,$4001_sweep,8
133,$4002_period,383
133,$400B_length,0
133,$4004_duty,2
133,$4004_const,1
133,$4004_vol,11
133,$4005_sweep,8
133,$4006_period,483
147,$4000_duty,0
147,$4000_const,1
147,$4000_vol,15
147,$4001_sweep,8
147,$4002_period,341
147,$400B_length,0
147,$4004_duty,2
147,$4004_const,1
147,$4004_vol,11
147,$4005_sweep,8
147,$4006_period,405
147,$4008_linear,127
147,$400A_period,1021
147,$400B_length,1
161,$4008_linear,127
161,$400A_period,681
161,$400B_length,1
175,$4008_linear,127
175,$400A_period,573
175,$400B_length,1
189,$4008_linear,127
189,$400A_period,511
189,$400B_length,0
231,$4000_duty,0
231,$4000_const,1
231,$4000_vol,15
231,$4001_sweep,8
231,$4002_period,287
231,$400B_length,0
231,$4004_duty,2
231,$4004_const,1
231,$4004_vol,11
231,$4005_sweep,8
231,$4006_period,341
231,$4008_linear,127
231,$400A_period,1021
231,$400B_length,1
245,$4000_duty,0
245,$4000_const,1
245,$4000_vol,15
245,$4001_sweep,8
245,$4002_period,303
245,$400B_length,0
245,$4004_duty,2
245,$4004_const,1
245,$4004_vol,11
245,$4005_sweep,8
245,$4006_period,361
259,$4000_duty,0
259,$4000_const,1
259,$4000_vol,15
259,$4001_sweep,8
259,$4002_period,287
259,$400B_length,0
259,$4004_duty,2
259,$4004_const,1
259,$4004_vol,11
259,$4005_sweep,8
259,$4006_period,341
273,$4000_duty,0
273,$4000_const,1
273,$4000_vol,15
273,$4001_sweep,8
273,$4002_period,271
273,$400B_length,0
273,$4004_duty,2
273,$4004_const,1
273,$4004_vol,11
273,$4005_sweep,8
273,$4006_period,429
273,$4008_linear,127
273,$400A_period,1083
273,$400B_length,2
287,$4008_linear,127
287,$400A_period,857
287,$400B_length,1
301,$4008_linear,127
301,$400A_period,721
301,$400B_length,1
315,$4008_linear,127
315,$400A_period,541
315,$400B_length,1
329,$4000_duty,0
329,$4000_const,1
329,$4000_vol,15
329,$4001_sweep,8
329,$4002_period,287
329,$400B_length,0
329,$4004_duty,2
329,$4004_const,1
329,$4004_vol,11
329,$4005_sweep,8
329,$4006_period,455
329,$4008_linear,127
329,$400A_period,721
329,$400B_length,1
343,$4000_duty,0
343,$4000_const,1
343,$4000_vol,15
343,$4001_sweep,8
343,$4002_period,271
343,$400B_length,0
343,$4004_duty,2
343,$4004_const,1
343,$4004_vol,11
343,$4005_sweep,8
343,$4006_period,429
343,$4008_linear,127
343,$400A_period,857
343,$400B_length,1
357,$4000_duty,0
357,$4000_const,1
357,$4000_vol,15
357,$4001_sweep,8
357,$4002_period,241
357,$400B_length,0
357,$4004_duty,2
357,$4004_const,1
357,$4004_vol,11
357,$4005_sweep,8
357,$4006_period,383
357,$4008_linear,127
357,$400A_period,965
357,$400B_length,1
371,$4008_linear,127
371,$400A_period,765
371,$400B_length,1
385,$4008_linear,127
385,$400A_period,643
385,$400B_length,1
399,$4008_linear,127
399,$400A_period,483
399,$400B_length,0
413,$4000_duty,0
413,$4000_const,1
413,$4000_vol,15
413,$4001_sweep,8
413,$4002_period,255
413,$400B_length,0
413,$4004_duty,2
413,$4004_const,1
413,$4004_vol,11
413,$4005_sweep,8
413,$4006_period,405
413,$4008_linear,127
413,$400A_period,643
413,$400B_length,1
427,$4000_duty,0
427,$4000_const,1
427,$4000_vol,15
427,$4001_sweep,8
427,$4002_period,241
427,$400B_length,0
427,$4004_duty,2
427,$4004_const,1
427,$4004_vol,11
427,$4005_sweep,8
427,$4006_period,383
427,$4008_linear,127
427,$400A_period,765
427,$400B_length,1
441,$4000_duty,0
441,$4000_const,1
441,$4000_vol,15
441,$4001_sweep,8
441,$4002_period,215
441,$400B_length,0
441,$4004_duty,2
441,$4004_const,1
441,$4004_vol,11
441,$4005_sweep,8
441,$4006_period,287
441,$4008_linear,127
441,$400A_period,857
441,$400B_length,1
455,$4000_duty,0
455,$4000_const,1
455,$4000_vol,15
455,$4001_sweep,8
455,$4002_period,1
455,$400B_length,0
455,$4004_duty,2
455,$4004_const,1
455,$4004_vol,11
455,$4005_sweep,8
455,$4006_period,1
455,$4008_linear,127
455,$400A_period,681
455,$400B_length,1
469,$4000_duty,0
469,$4000_const,1
469,$4000_vol,15
469,$4001_sweep,8
469,$4002_period,241
469,$400B_length,0
469,$4004_duty,2
469,$4004_const,1
469,$4004_vol,11
469,$4005_sweep,8
469,$4006_period,321
469,$4008_linear,127
469,$400A_period,573
469,$400B_length,1
483,$4000_duty,0
483,$4000_const,1
483,$4000_vol,15
483,$4001_sweep,8
483,$4002_period,215
483,$400B_length,0
483,$4004_duty,2
483,$4004_const,1
483,$4004_vol,11
483,$4005_sweep,8
483,$4006_period,287
483,$4008_linear,127
483,$400A_period,429
483,$400B_length,0
