frame,parameter,value
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,1
1,$4008_linear,126
1,$4008_linear,126
1,$400A_period,271
1,$400B_length,8
2,$400C_const,1
2,$400C_vol,8
3,$4008_linear,126
3,$4008_linear,126
3,$400A_period,303
3,$400B_length,8
4,$400C_const,1
4,$400C_vol,2
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,6
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,0
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,0
5,$4005_sweep,120
5,$4006_period,203
5,$4008_linear,126
5,$4008_linear,126
5,$400A_period,241
5,$400B_length,8
5,$400C_const,1
5,$400C_vol,14
5,$400C_const,1
5,$400C_vol,14
5,$400E_period,5
5,$400E_mode,0
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,15
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,0
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,6
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,12
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,0
7,$4008_linear,126
7,$4008_linear,126
7,$400A_period,271
7,$400B_length,8
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,2
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,0
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,0
8,$4001_sweep,120
8,$4002_period,11
8,$400B_length,24
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,2
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,0
8,$400C_const,1
8,$400C_vol,8
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,0
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,0
9,$4008_linear,126
9,$4008_linear,126
9,$400A_period,303
9,$400B_length,8
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,6
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,0
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,7
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,0
10,$400C_const,1
10,$400C_vol,2
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,0
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,6
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,6
11,$4005_sweep,120
11,$4006_period,191
11,$4008_linear,126
11,$4008_linear,126
11,$400A_period,341
11,$400B_length,8
11,$400C_const,1
11,$400C_vol,14
11,$400C_const,1
11,$400C_vol,14
11,$400E_period,5
11,$400E_mode,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,10
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,0
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,15
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,15
13,$4000_duty,3
13,$4000_const,1
13,$4000_vol,0
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,12
13,$4008_linear,126
13,$4008_linear,126
13,$400A_period,381
13,$400B_length,8
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,2
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,2
14,$4001_sweep,120
14,$4002_period,255
14,$400B_length,8
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,2
14,$400C_const,1
14,$400C_vol,8
15,$4008_linear,126
15,$4008_linear,126
15,$400A_period,429
15,$400B_length,8
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,6
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,7
16,$400C_const,1
16,$400C_vol,2
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,6
17,$4008_linear,126
17,$4008_linear,126
17,$400A_period,341
17,$400B_length,8
17,$400C_const,1
17,$400C_vol,14
17,$400C_const,1
17,$400C_vol,14
17,$400E_period,5
17,$400E_mode,0
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,10
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,2
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,15
19,$4008_linear,126
19,$4008_linear,126
19,$400A_period,381
19,$400B_length,8
20,$400C_const,1
20,$400C_vol,8
21,$4008_linear,126
21,$4008_linear,126
21,$400A_period,429
21,$400B_length,8
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,12
22,$400C_const,1
22,$400C_vol,2
23,$4008_linear,126
23,$4008_linear,126
23,$400A_period,341
