frame,parameter,value
1,$4002_period,2155
1,$400B_length,4
20,$4002_period,1813
20,$400B_length,3
40,$4002_period,3229
40,$400B_length,6
50,$4002_period,1615
50,$400B_length,3
68,$4002_period,3229
68,$400B_length,6
78,$4002_period,1615
78,$400B_length,3
97,$4002_period,2155
97,$400B_length,4
116,$4002_period,1813
116,$400B_length,3
136,$4002_period,3229
136,$400B_length,6
146,$4002_period,1615
146,$400B_length,3
164,$4002_period,3229
164,$400B_length,6
174,$4002_period,1615
174,$400B_length,3
193,$4002_period,2155
193,$400B_length,4
212,$4002_period,1813
212,$400B_length,3
232,$4002_period,3229
232,$400B_length,6
242,$4002_period,1615
242,$400B_length,3
260,$4002_period,3229
260,$400B_length,6
270,$4002_period,1615
270,$400B_length,3
289,$4002_period,2155
289,$400B_length,4
302,$4004_duty,0
302,$4004_const,1
302,$4004_vol,8
302,$4005_sweep,8
302,$4006_period,1077
308,$4002_period,1813
308,$400B_length,3
310,$4006_period,807
320,$4006_period,679
328,$4006_period,605
328,$4002_period,3229
328,$400B_length,6
332,$4006_period,563
338,$4006_period,539
338,$4002_period,1615
338,$400B_length,3
342,$4006_period,563
348,$4006_period,605
356,$4002_period,3229
356,$400B_length,6
364,$4006_period,679
366,$4002_period,1615
366,$400B_length,3
384,$4006_period,1077
385,$4002_period,2155
385,$400B_length,4
404,$4006_period,907
404,$4002_period,1813
404,$400B_length,3
424,$4006_period,807
424,$4002_period,3229
424,$400B_length,6
434,$4002_period,1615
434,$400B_length,3
452,$4002_period,3229
452,$400B_length,6
462,$4002_period,1615
462,$400B_length,3
481,$4002_period,2155
481,$400B_length,4
484,$4006_period,719
488,$4006_period,679
492,$4006_period,719
496,$4006_period,807
500,$4006_period,907
500,$4002_period,1813
500,$400B_length,3
520,$4006_period,807
520,$4002_period,3229
520,$400B_length,6
530,$4002_period,1615
530,$400B_length,3
548,$4002_period,3229
548,$400B_length,6
558,$4002_period,1615
558,$400B_length,3
577,$4002_period,2155
577,$400B_length,4
580,$4006_period,907
584,$4006_period,807
588,$4006_period,907
592,$4006_period,1077
596,$4006_period,1209
596,$4002_period,1813
596,$400B_length,3
