frame,parameter,value
32,$4011_dac,61
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,58
32,$4011_dac,58
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,58
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,56
32,$4011_dac,56
32,$4011_dac,58
32,$4011_dac,60
32,$4011_dac,61
32,$4011_dac,60
32,$4011_dac,58
32,$4011_dac,55
32,$4011_dac,56
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,59
32,$4011_dac,56
32,$4011_dac,54
32,$4011_dac,55
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,58
32,$4011_dac,56
32,$4011_dac,56
32,$4011_dac,58
32,$4011_dac,60
32,$4011_dac,60
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,58
32,$4011_dac,55
32,$4011_dac,54
32,$4011_dac,55
32,$4011_dac,58
32,$4011_dac,60
32,$4011_dac,60
32,$4011_dac,58
32,$4011_dac,56
32,$4011_dac,56
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,55
32,$4011_dac,55
32,$4011_dac,57
32,$4011_dac,60
32,$4011_dac,61
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,58
32,$4011_dac,58
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,59
32,$4011_dac,59
32,$4011_dac,58
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,58
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,56
32,$4011_dac,58
32,$4011_dac,60
32,$4011_dac,60
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,56
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,58
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,59
32,$4011_dac,60
32,$4011_dac,58
32,$4011_dac,56
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,59
32,$4011_dac,58
32,$4011_dac,55
32,$4011_dac,55
32,$4011_dac,57
32,$4011_dac,59
32,$4011_dac,59
32,$4011_dac,57
32,$4011_dac,57
32,$4011_dac,58
32,$4011_dac,60
32,$4011_dac,60
32,$4011_dac,57
