frame,parameter,value
6,$4004_duty,0
6,$4004_const,0
6,$4004_vol,15
6,$4006_period,509
6,$4008_linear,64
6,$400A_period,855
6,$400B_length,9
30,$4004_duty,0
30,$4004_const,0
30,$4004_vol,15
30,$4006_period,481
30,$4008_linear,64
30,$400A_period,855
30,$400B_length,9
48,$4000_duty,0
48,$4000_const,0
48,$4000_vol,15
48,$4002_period,571
48,$400B_length,9
54,$4000_duty,0
54,$4000_const,0
54,$4000_vol,15
54,$4002_period,481
54,$400B_length,8
54,$4004_duty,0
54,$4004_const,0
54,$4004_vol,15
54,$4006_period,481
54,$4008_linear,64
54,$400A_period,855
54,$400B_length,9
72,$4000_duty,0
72,$4000_const,0
72,$4000_vol,15
72,$4002_period,427
72,$400B_length,8
78,$4000_duty,0
78,$4000_const,0
78,$4000_vol,15
78,$4002_period,359
78,$400B_length,8
78,$4004_duty,0
78,$4004_const,0
78,$4004_vol,15
78,$4006_period,509
78,$4008_linear,64
78,$400A_period,855
78,$400B_length,9
96,$4000_duty,0
96,$4000_const,0
96,$4000_vol,15
96,$4002_period,427
96,$400B_length,8
96,$4004_duty,0
96,$4004_const,0
96,$4004_vol,15
96,$4006_period,481
102,$4000_duty,0
102,$4000_const,0
102,$4000_vol,15
102,$4002_period,481
102,$400B_length,8
102,$4004_duty,0
102,$4004_const,0
102,$4004_vol,15
102,$4006_period,481
102,$4008_linear,64
102,$400A_period,855
102,$400B_length,9
120,$4000_duty,0
120,$4000_const,0
120,$4000_vol,15
120,$4002_period,571
120,$400B_length,9
126,$4000_duty,0
126,$4000_const,0
126,$4000_vol,15
126,$4002_period,427
126,$400B_length,8
126,$4004_duty,0
126,$4004_const,0
126,$4004_vol,15
126,$4006_period,571
126,$4008_linear,64
126,$400A_period,855
126,$400B_length,9
144,$4000_duty,0
144,$4000_const,0
144,$4000_vol,15
144,$4002_period,571
144,$400B_length,9
150,$4000_duty,0
150,$4000_const,0
150,$4000_vol,15
150,$4002_period,481
150,$400B_length,8
150,$4004_duty,0
150,$4004_const,0
150,$4004_vol,15
150,$4006_period,571
150,$4008_linear,64
150,$400A_period,855
150,$400B_length,9
168,$4000_duty,0
168,$4000_const,0
168,$4000_vol,15
168,$4002_period,427
168,$400B_length,8
174,$4004_duty,0
174,$4004_const,0
174,$4004_vol,15
174,$4006_period,509
174,$4008_linear,64
174,$400A_period,855
174,$400B_length,9
198,$4004_duty,0
198,$4004_const,0
198,$4004_vol,15
198,$4006_period,509
198,$4008_linear,64
198,$400A_period,855
198,$400B_length,9
222,$4004_duty,0
222,$4004_const,0
222,$4004_vol,15
222,$4006_period,481
222,$4008_linear,64
222,$400A_period,855
222,$400B_length,9
240,$4000_duty,0
240,$4000_const,0
240,$4000_vol,15
240,$4002_period,571
240,$400B_length,9
246,$4000_duty,0
246,$4000_const,0
246,$4000_vol,15
246,$4002_period,481
246,$400B_length,8
246,$4004_duty,0
246,$4004_const,0
246,$4004_vol,15
246,$4006_period,481
246,$4008_linear,64
246,$400A_period,855
246,$400B_length,9
264,$4000_duty,0
264,$4000_const,0
264,$4000_vol,15
264,$4002_period,427
264,$400B_length,8
270,$4000_duty,0
270,$4000_const,0
270,$4000_vol,15
270,$4002_period,321
270,$400B_length,8
270,$4004_duty,0
270,$4004_const,0
270,$4004_vol,15
270,$4006_period,509
270,$4008_linear,64
270,$400A_period,855
270,$400B_length,9
288,$4000_duty,0
288,$4000_const,0
288,$4000_vol,15
288,$4002_period,359
288,$400B_length,8
288,$4004_duty,0
288,$4004_const,0
288,$4004_vol,15
288,$4006_period,481
294,$4000_duty,0
294,$4000_const,0
294,$4000_vol,15
294,$4002_period,427
294,$400B_length,8
294,$4004_duty,0
294,$4004_const,0
294,$4004_vol,15
294,$4006_period,481
294,$4008_linear,64
294,$400A_period,855
294,$400B_length,9
312,$4000_duty,0
312,$4000_const,0
312,$4000_vol,15
312,$4002_period,481
312,$400B_length,8
318,$4000_duty,0
318,$4000_const,0
318,$4000_vol,15
318,$4002_period,427
318,$400B_length,8
318,$4004_duty,0
318,$4004_const,0
318,$4004_vol,15
318,$4006_period,679
318,$4008_linear,64
318,$400A_period,855
318,$400B_length,9
