frame,parameter,value
414,$4001_sweep,0
414,$4005_sweep,0
420,$4013_len,8
420,$4012_addr,252
420,$4010_rate,143
421,$4004_duty,2
421,$4004_const,0
421,$4004_vol,3
421,$4005_sweep,0
421,$4006_period,2033
421,$400C_const,0
421,$400C_vol,0
421,$400E_period,2
421,$400E_mode,0
427,$400C_const,0
427,$400C_vol,0
427,$400E_period,0
427,$400E_mode,0
433,$4004_duty,2
433,$4004_const,0
433,$4004_vol,3
433,$4005_sweep,0
433,$4006_period,2033
433,$400C_const,0
433,$400C_vol,0
433,$400E_period,0
433,$400E_mode,0
439,$4004_duty,2
439,$4004_const,0
439,$4004_vol,3
439,$4005_sweep,0
439,$4006_period,2033
439,$400C_const,0
439,$400C_vol,0
439,$400E_period,3
439,$400E_mode,0
445,$4004_duty,2
445,$4004_const,0
445,$4004_vol,3
445,$4005_sweep,0
445,$4006_period,1357
445,$400C_const,0
445,$400C_vol,0
445,$400E_period,4
445,$400E_mode,0
451,$400C_const,0
451,$400C_vol,0
451,$400E_period,0
451,$400E_mode,0
457,$4004_duty,2
457,$4004_const,0
457,$4004_vol,3
457,$4005_sweep,0
457,$4006_period,1357
457,$400C_const,0
457,$400C_vol,0
457,$400E_period,0
457,$400E_mode,0
463,$4004_duty,2
463,$4004_const,0
463,$4004_vol,3
463,$4005_sweep,0
463,$4006_period,1357
463,$400C_const,0
463,$400C_vol,0
463,$400E_period,1
463,$400E_mode,0
469,$4004_duty,2
469,$4004_const,0
469,$4004_vol,3
469,$4005_sweep,0
469,$4006_period,1141
469,$400C_const,0
469,$400C_vol,0
469,$400E_period,2
469,$400E_mode,0
475,$400C_const,0
475,$400C_vol,0
475,$400E_period,0
475,$400E_mode,0
481,$4004_duty,2
481,$4004_const,0
481,$4004_vol,3
481,$4005_sweep,0
481,$4006_period,1141
481,$400C_const,0
481,$400C_vol,0
481,$400E_period,0
481,$400E_mode,0
487,$4004_duty,2
487,$4004_const,0
487,$4004_vol,3
487,$4005_sweep,0
487,$4006_period,1141
487,$400C_const,0
487,$400C_vol,0
487,$400E_period,3
487,$400E_mode,0
493,$4004_duty,2
493,$4004_const,0
493,$4004_vol,3
493,$4005_sweep,0
493,$4006_period,1017
493,$400C_const,0
493,$400C_vol,0
493,$400E_period,4
493,$400E_mode,0
499,$4004_duty,2
499,$4004_const,0
499,$4004_vol,3
499,$4005_sweep,0
499,$4006_period,855
499,$400C_const,0
499,$400C_vol,0
499,$400E_period,0
499,$400E_mode,0
505,$4004_duty,2
505,$4004_const,0
505,$4004_vol,3
505,$4005_sweep,0
505,$4006_period,1017
505,$400C_const,0
505,$400C_vol,0
505,$400E_period,0
505,$400E_mode,0
511,$4004_duty,2
511,$4004_const,0
511,$4004_vol,3
511,$4005_sweep,0
511,$4006_period,1141
511,$400C_const,0
511,$400C_vol,0
511,$400E_period,1
511,$400E_mode,0
517,$4004_duty,2
517,$4004_const,0
517,$4004_vol,3
517,$4005_sweep,0
517,$4006_period,2033
517,$400C_const,0
517,$400C_vol,0
517,$400E_period,2
517,$400E_mode,0
523,$400C_const,0
523,$400C_vol,0
523,$400E_period,0
523,$400E_mode,0
529,$4004_duty,2
529,$4004_const,0
529,$4004_vol,3
529,$4005_sweep,0
529,$4006_period,2033
529,$400C_const,0
529,$400C_vol,0
529,$400E_period,0
529,$400E_mode,0
535,$4004_duty,2
535,$4004_const,0
535,$4004_vol,3
535,$4005_sweep,0
535,$4006_period,2033
535,$400C_const,0
535,$400C_vol,0
535,$400E_period,3
535,$400E_mode,0
541,$4004_duty,2
541,$4004_const,0
541,$4004_vol,3
541,$4005_sweep,0
541,$4006_period,1357
541,$400C_const,0
541,$400C_vol,0
541,$400E_period,4
541,$400E_mode,0
547,$400C_const,0
547,$400C_vol,0
547,$400E_period,0
547,$400E_mode,0
553,$4004_duty,2
553,$4004_const,0
553,$4004_vol,3
553,$4005_sweep,0
553,$4006_period,1357
553,$400C_const,0
553,$400C_vol,0
553,$400E_period,0
553,$400E_mode,0
559,$4004_duty,2
559,$4004_const,0
559,$4004_vol,3
559,$4005_sweep,0
559,$4006_period,1357
559,$400C_const,0
559,$400C_vol,0
559,$400E_period,1
559,$400E_mode,0
565,$4004_duty,2
565,$4004_const,0
565,$4004_vol,3
565,$4005_sweep,0
565,$4006_period,1141
565,$400C_const,0
565,$400C_vol,0
565,$400E_period,2
565,$400E_mode,0
571,$400C_const,0
571,$400C_vol,0
571,$400E_period,0
571,$400E_mode,0
577,$4004_duty,2
577,$4004_const,0
577,$4004_vol,3
577,$4005_sweep,0
577,$4006_period,1141
577,$400C_const,0
577,$400C_vol,0
577,$400E_period,0
577,$400E_mode,0
583,$4004_duty,2
583,$4004_const,0
583,$4004_vol,3
583,$4005_sweep,0
583,$4006_period,1141
583,$400C_const,0
583,$400C_vol,0
583,$400E_period,3
583,$400E_mode,0
589,$4004_duty,2
589,$4004_const,0
589,$4004_vol,3
589,$4005_sweep,0
589,$4006_period,1017
589,$400C_const,0
589,$400C_vol,0
589,$400E_period,4
589,$400E_mode,0
595,$4004_duty,2
595,$4004_const,0
595,$4004_vol,3
595,$4005_sweep,0
595,$4006_period,855
595,$400C_const,0
595,$400C_vol,0
595,$400E_period,0
595,$400E_mode,0
