frame,parameter,value
321,$4008_linear,0
321,$400A_period,425
321,$400B_length,0
321,$4008_linear,8
321,$4004_duty,0
321,$4004_const,0
321,$4004_vol,1
321,$4005_sweep,0
321,$4006_period,425
321,$4004_duty,3
321,$4004_const,1
321,$4004_vol,8
321,$4000_duty,0
321,$4000_const,0
321,$4000_vol,0
321,$4001_sweep,0
321,$4002_period,1709
321,$400B_length,3
321,$4000_duty,2
321,$4000_const,1
321,$4000_vol,8
322,$4008_linear,8
322,$4004_duty,3
322,$4004_const,1
322,$4004_vol,8
322,$4000_duty,2
322,$4000_const,1
322,$4000_vol,8
323,$4008_linear,8
323,$4004_duty,3
323,$4004_const,1
323,$4004_vol,8
323,$4000_duty,2
323,$4000_const,1
323,$4000_vol,8
324,$4008_linear,8
324,$4004_duty,3
324,$4004_const,1
324,$4004_vol,8
324,$4000_duty,2
324,$4000_const,1
324,$4000_vol,8
325,$4008_linear,8
325,$4004_duty,3
325,$4004_const,1
325,$4004_vol,8
325,$4000_duty,2
325,$4000_const,1
325,$4000_vol,8
326,$4008_linear,8
326,$4004_duty,3
326,$4004_const,1
326,$4004_vol,8
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,8
327,$4008_linear,8
327,$4004_duty,3
327,$4004_const,1
327,$4004_vol,8
327,$4000_duty,2
327,$4000_const,1
327,$4000_vol,8
328,$4008_linear,8
328,$4004_duty,3
328,$4004_const,1
328,$4004_vol,8
328,$4000_duty,2
328,$4000_const,1
328,$4000_vol,8
329,$4008_linear,8
329,$4004_duty,3
329,$4004_const,1
329,$4004_vol,8
329,$4000_duty,2
329,$4000_const,1
329,$4000_vol,8
330,$4008_linear,8
330,$4004_duty,3
330,$4004_const,1
330,$4004_vol,8
330,$4000_duty,2
330,$4000_const,1
330,$4000_vol,8
331,$4008_linear,8
331,$4004_duty,3
331,$4004_const,1
331,$4004_vol,8
331,$4000_duty,2
331,$4000_const,1
331,$4000_vol,8
332,$4008_linear,8
332,$4004_duty,3
332,$4004_const,1
