frame,parameter,value
325,$400E_period,0
325,$400E_mode,0
325,$400C_const,0
325,$400C_vol,0
325,$400A_period,1
325,$400B_length,0
325,$4008_linear,0
325,$4006_period,1
325,$4005_sweep,0
325,$4004_duty,0
325,$4004_const,0
325,$4004_vol,0
325,$4002_period,1
325,$400B_length,0
325,$4001_sweep,0
325,$4000_duty,0
325,$4000_const,0
325,$4000_vol,0
331,$400C_const,1
331,$400C_vol,0
331,$400A_period,1813
331,$400B_length,3
331,$4004_duty,0
331,$4004_const,1
331,$4004_vol,0
331,$4000_duty,0
331,$4000_const,1
331,$4000_vol,0
332,$400E_period,0
332,$400E_mode,0
332,$400C_const,1
332,$400C_vol,13
332,$400A_period,1
332,$400B_length,0
332,$4005_sweep,0
332,$4006_period,453
332,$4004_duty,1
332,$4004_const,1
332,$4004_vol,10
332,$4000_duty,0
332,$4000_const,1
332,$4000_vol,0
333,$400C_const,1
333,$400C_vol,10
333,$400A_period,1
333,$400B_length,0
333,$4005_sweep,0
333,$4006_period,227
333,$4004_duty,1
333,$4004_const,1
333,$4004_vol,9
333,$4000_duty,0
333,$4000_const,1
333,$4000_vol,0
334,$400C_const,1
334,$400C_vol,7
334,$400A_period,1
334,$400B_length,0
334,$4005_sweep,0
334,$4006_period,453
334,$4004_duty,1
334,$4004_const,1
334,$4004_vol,8
334,$4000_duty,0
334,$4000_const,1
334,$4000_vol,0
335,$400C_const,1
335,$400C_vol,4
335,$400A_period,1
335,$400B_length,0
335,$4005_sweep,0
335,$4006_period,227
335,$4004_duty,1
335,$4004_const,1
335,$4004_vol,7
335,$4000_duty,0
335,$4000_const,1
335,$4000_vol,0
336,$400C_const,1
336,$400C_vol,1
336,$400A_period,907
336,$400B_length,1
336,$4005_sweep,0
336,$4006_period,453
336,$4004_duty,1
336,$4004_const,1
336,$4004_vol,6
336,$4000_duty,0
336,$4000_const,1
336,$4000_vol,0
337,$400C_const,1
337,$400C_vol,0
337,$400A_period,1813
337,$400B_length,3
337,$4005_sweep,0
337,$4006_period,227
337,$4004_duty,1
337,$4004_const,1
337,$4004_vol,5
337,$4000_duty,0
337,$4000_const,1
337,$4000_vol,0
338,$400C_const,1
338,$400C_vol,0
338,$400A_period,1813
338,$400B_length,3
338,$4005_sweep,0
338,$4006_period,453
338,$4004_duty,1
338,$4004_const,1
338,$4004_vol,4
338,$4000_duty,0
338,$4000_const,1
338,$4000_vol,0
339,$400C_const,1
339,$400C_vol,0
339,$400A_period,1813
339,$400B_length,3
339,$4005_sweep,0
339,$4006_period,227
339,$4004_duty,1
339,$4004_const,1
339,$4004_vol,3
339,$4000_duty,0
339,$4000_const,1
339,$4000_vol,0
340,$400C_const,1
340,$400C_vol,0
340,$400A_period,1813
340,$400B_length,3
340,$4005_sweep,0
340,$4006_period,453
340,$4004_duty,1
340,$4004_const,1
340,$4004_vol,2
340,$4000_duty,0
340,$4000_const,1
340,$4000_vol,0
341,$400C_const,1
341,$400C_vol,0
341,$400A_period,1813
341,$400B_length,3
341,$4005_sweep,0
341,$4006_period,227
341,$4004_duty,1
341,$4004_const,1
341,$4004_vol,1
341,$4000_duty,0
341,$4000_const,1
341,$4000_vol,0
342,$400E_period,0
342,$400E_mode,0
342,$400C_const,1
342,$400C_vol,13
342,$400A_period,1813
342,$400B_length,3
342,$4005_sweep,0
342,$4006_period,605
342,$4004_duty,1
342,$4004_const,1
342,$4004_vol,10
342,$4000_duty,0
342,$4000_const,1
342,$4000_vol,0
343,$400C_const,1
343,$400C_vol,10
343,$400A_period,1813
343,$400B_length,3
343,$4005_sweep,0
343,$4006_period,303
343,$4004_duty,1
343,$4004_const,1
343,$4004_vol,9
343,$4000_duty,0
343,$4000_const,1
343,$4000_vol,0
