frame,parameter,value
257,$4008_linear,0
257,$4000_duty,0
257,$4000_const,1
257,$4000_vol,0
257,$4001_sweep,48
257,$4004_duty,0
257,$4004_const,1
257,$4004_vol,0
257,$4005_sweep,48
257,$400C_const,1
257,$400C_vol,0
313,$4000_duty,0
313,$4000_const,1
313,$4000_vol,0
313,$4001_sweep,48
313,$4004_duty,0
313,$4004_const,1
313,$4004_vol,0
313,$4005_sweep,48
314,$4004_duty,1
314,$4004_const,1
314,$4004_vol,11
314,$4006_period,513
314,$4000_duty,2
314,$4000_const,1
314,$4000_vol,11
314,$4002_period,513
314,$400B_length,9
315,$4004_duty,1
315,$4004_const,1
315,$4004_vol,10
315,$4000_duty,2
315,$4000_const,1
315,$4000_vol,10
316,$4004_duty,1
316,$4004_const,1
316,$4004_vol,9
316,$4000_duty,2
316,$4000_const,1
316,$4000_vol,9
317,$4004_duty,1
317,$4004_const,1
317,$4004_vol,11
317,$4000_duty,2
317,$4000_const,1
317,$4000_vol,11
318,$4004_duty,1
318,$4004_const,1
318,$4004_vol,10
318,$4000_duty,2
318,$4000_const,1
318,$4000_vol,10
319,$4004_duty,1
319,$4004_const,1
319,$4004_vol,9
319,$4000_duty,2
319,$4000_const,1
319,$4000_vol,9
320,$4004_duty,1
320,$4004_const,1
320,$4004_vol,11
320,$4000_duty,2
320,$4000_const,1
320,$4000_vol,11
320,$4002_period,17
320,$400B_length,8
321,$4004_duty,1
321,$4004_const,1
321,$4004_vol,10
321,$4000_duty,2
321,$4000_const,1
321,$4000_vol,10
322,$4004_duty,2
322,$4004_const,1
322,$4004_vol,5
322,$4000_duty,2
322,$4000_const,1
322,$4000_vol,5
322,$4002_period,909
322,$400B_length,9
323,$4004_duty,2
323,$4004_const,1
323,$4004_vol,4
323,$4000_duty,2
323,$4000_const,1
323,$4000_vol,4
324,$4004_duty,2
324,$4004_const,1
324,$4004_vol,3
324,$4000_duty,2
324,$4000_const,1
324,$4000_vol,3
325,$4004_duty,2
325,$4004_const,1
325,$4004_vol,5
325,$4000_duty,2
325,$4000_const,1
325,$4000_vol,5
326,$4004_duty,2
326,$4004_const,1
326,$4004_vol,4
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,4
327,$4004_duty,2
327,$4004_const,1
327,$4004_vol,5
327,$4000_duty,2
327,$4000_const,1
327,$4000_vol,5
327,$4002_period,17
327,$400B_length,8
328,$4004_duty,2
328,$4004_const,1
328,$4004_vol,4
328,$4000_duty,2
328,$4000_const,1
328,$4000_vol,4
329,$4004_duty,2
329,$4004_const,1
329,$4004_vol,3
329,$4000_duty,2
329,$4000_const,1
329,$4000_vol,3
330,$4004_duty,0
330,$4004_const,1
330,$4004_vol,0
330,$4000_duty,0
330,$4000_const,1
330,$4000_vol,0
335,$4000_duty,0
335,$4000_const,1
335,$4000_vol,0
335,$4001_sweep,48
335,$4004_duty,0
335,$4004_const,1
335,$4004_vol,0
335,$4005_sweep,48
336,$4004_duty,1
336,$4004_const,1
336,$4004_vol,11
336,$4006_period,529
336,$4000_duty,2
336,$4000_const,1
336,$4000_vol,11
336,$4002_period,909
336,$400B_length,9
337,$4004_duty,1
337,$4004_const,1
337,$4004_vol,10
337,$4000_duty,2
337,$4000_const,1
337,$4000_vol,10
338,$4004_duty,1
338,$4004_const,1
338,$4004_vol,9
338,$4000_duty,2
338,$4000_const,1
338,$4000_vol,9
339,$4004_duty,1
339,$4004_const,1
339,$4004_vol,11
339,$4000_duty,2
339,$4000_const,1
339,$4000_vol,11
340,$4004_duty,1
340,$4004_const,1
340,$4004_vol,10
340,$4000_duty,2
340,$4000_const,1
340,$4000_vol,10
341,$4004_duty,1
341,$4004_const,1
341,$4004_vol,9
341,$4000_duty,2
341,$4000_const,1
341,$4000_vol,9
342,$4004_duty,1
342,$4004_const,1
342,$4004_vol,11
342,$4000_duty,2
342,$4000_const,1
342,$4000_vol,11
342,$4002_period,17
342,$400B_length,8
343,$4004_duty,1
343,$4004_const,1
343,$4004_vol,10
343,$4000_duty,2
343,$4000_const,1
343,$4000_vol,10
344,$4004_duty,2
344,$4004_const,1
344,$4004_vol,5
344,$4000_duty,2
344,$4000_const,1
344,$4000_vol,5
344,$4002_period,909
344,$400B_length,9
345,$4004_duty,2
345,$4004_const,1
345,$4004_vol,4
345,$4000_duty,2
345,$4000_const,1
345,$4000_vol,4
346,$4004_duty,2
346,$4004_const,1
346,$4004_vol,3
346,$4000_duty,2
346,$4000_const,1
346,$4000_vol,3
347,$4004_duty,2
347,$4004_const,1
347,$4004_vol,5
347,$4000_duty,2
347,$4000_const,1
347,$4000_vol,5
348,$4004_duty,2
348,$4004_const,1
348,$4004_vol,4
348,$4000_duty,2
348,$4000_const,1
348,$4000_vol,4
349,$4004_duty,2
349,$4004_const,1
349,$4004_vol,5
349,$4000_duty,2
349,$4000_const,1
349,$4000_vol,5
349,$4002_period,17
349,$400B_length,8
350,$4004_duty,2
350,$4004_const,1
350,$4004_vol,4
350,$4000_duty,2
350,$4000_const,1
350,$4000_vol,4
351,$4004_duty,2
351,$4004_const,1
351,$4004_vol,3
351,$4000_duty,2
351,$4000_const,1
351,$4000_vol,3
352,$4004_duty,0
352,$4004_const,1
352,$4004_vol,0
352,$4000_duty,0
352,$4000_const,1
352,$4000_vol,0
357,$4000_duty,0
357,$4000_const,1
357,$4000_vol,0
357,$4001_sweep,48
357,$4004_duty,0
357,$4004_const,1
357,$4004_vol,0
357,$4005_sweep,48
358,$4004_duty,1
358,$4004_const,1
358,$4004_vol,11
358,$4006_period,529
358,$4000_duty,2
358,$4000_const,1
358,$4000_vol,11
358,$4002_period,909
358,$400B_length,9
359,$4004_duty,1
359,$4004_const,1
359,$4004_vol,10
359,$4000_duty,2
359,$4000_const,1
359,$4000_vol,10
360,$4004_duty,1
360,$4004_const,1
360,$4004_vol,9
360,$4000_duty,2
360,$4000_const,1
360,$4000_vol,9
361,$4004_duty,1
361,$4004_const,1
361,$4004_vol,11
361,$4000_duty,2
361,$4000_const,1
361,$4000_vol,11
362,$4004_duty,1
362,$4004_const,1
362,$4004_vol,10
362,$4000_duty,2
362,$4000_const,1
362,$4000_vol,10
363,$4004_duty,1
363,$4004_const,1
363,$4004_vol,9
363,$4000_duty,2
363,$4000_const,1
363,$4000_vol,9
364,$4004_duty,1
364,$4004_const,1
364,$4004_vol,11
364,$4000_duty,2
364,$4000_const,1
364,$4000_vol,11
364,$4002_period,17
364,$400B_length,8
365,$4004_duty,1
365,$4004_const,1
365,$4004_vol,10
365,$4000_duty,2
365,$4000_const,1
365,$4000_vol,10
366,$4004_duty,2
366,$4004_const,1
366,$4004_vol,5
366,$4000_duty,2
366,$4000_const,1
366,$4000_vol,5
366,$4002_period,909
366,$400B_length,9
367,$4004_duty,2
367,$4004_const,1
367,$4004_vol,4
367,$4000_duty,2
367,$4000_const,1
367,$4000_vol,4
368,$4004_duty,2
368,$4004_const,1
368,$4004_vol,3
368,$4000_duty,2
368,$4000_const,1
368,$4000_vol,3
369,$4004_duty,2
369,$4004_const,1
369,$4004_vol,5
369,$4000_duty,2
369,$4000_const,1
369,$4000_vol,5
370,$4004_duty,2
370,$4004_const,1
370,$4004_vol,4
370,$4000_duty,2
370,$4000_const,1
370,$4000_vol,4
371,$4004_duty,2
371,$4004_const,1
371,$4004_vol,5
371,$4000_duty,2
371,$4000_const,1
371,$4000_vol,5
371,$4002_period,17
371,$400B_length,8
372,$4004_duty,2
372,$4004_const,1
372,$4004_vol,4
372,$4000_duty,2
372,$4000_const,1
372,$4000_vol,4
373,$4004_duty,2
373,$4004_const,1
373,$4004_vol,3
373,$4000_duty,2
373,$4000_const,1
373,$4000_vol,3
374,$4004_duty,0
374,$4004_const,1
374,$4004_vol,0
374,$4000_duty,0
374,$4000_const,1
374,$4000_vol,0
379,$4000_duty,0
379,$4000_const,1
379,$4000_vol,0
379,$4001_sweep,48
379,$4004_duty,0
