frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4001_sweep,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$4005_sweep,0
0,$4008_linear,127
0,$400C_const,1
0,$400C_vol,0
0,$400E_period,4
0,$400E_mode,0
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
1,$4001_sweep,0
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
1,$4005_sweep,0
1,$4008_linear,127
1,$400C_const,1
1,$400C_vol,0
1,$400E_period,4
1,$400E_mode,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4001_sweep,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$4005_sweep,0
2,$4008_linear,127
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,4
2,$400E_mode,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
3,$4001_sweep,0
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
3,$4005_sweep,0
3,$4008_linear,127
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,4
3,$400E_mode,0
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$4001_sweep,0
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
4,$4005_sweep,0
4,$4008_linear,127
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,4
4,$400E_mode,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
5,$4001_sweep,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
5,$4005_sweep,0
5,$4008_linear,127
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,4
5,$400E_mode,0
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
6,$4001_sweep,0
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
6,$4005_sweep,0
6,$4008_linear,127
6,$400C_const,1
6,$400C_vol,0
6,$400E_period,4
6,$400E_mode,0
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
7,$4001_sweep,0
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,0
7,$4005_sweep,0
7,$4008_linear,127
7,$400C_const,1
7,$400C_vol,0
7,$400E_period,4
7,$400E_mode,0
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,0
8,$4001_sweep,0
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,0
8,$4005_sweep,0
8,$4008_linear,127
8,$400C_const,1
8,$400C_vol,0
8,$400E_period,4
8,$400E_mode,0
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
9,$4001_sweep,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
9,$4005_sweep,0
9,$4008_linear,127
9,$400C_const,1
9,$400C_vol,0
9,$400E_period,4
9,$400E_mode,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
10,$4001_sweep,0
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
10,$4005_sweep,0
10,$4008_linear,127
10,$400C_const,1
10,$400C_vol,0
10,$400E_period,4
10,$400E_mode,0
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,0
11,$4001_sweep,0
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
11,$4005_sweep,0
11,$4008_linear,127
11,$400C_const,1
11,$400C_vol,0
11,$400E_period,4
11,$400E_mode,0
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
12,$4001_sweep,0
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
12,$4005_sweep,0
12,$4008_linear,127
12,$400C_const,1
12,$400C_vol,0
12,$400E_period,4
12,$400E_mode,0
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,0
13,$4001_sweep,0
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
13,$4005_sweep,0
13,$4008_linear,127
13,$400C_const,1
13,$400C_vol,0
13,$400E_period,4
13,$400E_mode,0
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,0
14,$4001_sweep,0
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
14,$4005_sweep,0
14,$4008_linear,127
14,$400C_const,1
14,$400C_vol,0
14,$400E_period,4
14,$400E_mode,0
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
15,$4001_sweep,0
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
15,$4005_sweep,0
15,$4008_linear,127
15,$400C_const,1
15,$400C_vol,0
15,$400E_period,4
15,$400E_mode,0
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
