frame,parameter,value
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,5
0,$4008_linear,9
1,$4005_sweep,0
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,11
1,$4006_period,679
1,$4008_linear,15
1,$400A_period,509
1,$400B_length,248
1,$400E_period,4
1,$400E_mode,0
1,$400C_const,1
1,$400C_vol,5
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,10
3,$4008_linear,14
3,$400C_const,1
3,$400C_vol,4
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,9
4,$4008_linear,13
4,$400C_const,1
4,$400C_vol,3
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,8
5,$4008_linear,12
5,$400C_const,1
5,$400C_vol,2
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,7
6,$4008_linear,11
6,$400C_const,1
6,$400C_vol,1
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,6
7,$4008_linear,10
7,$400C_const,1
7,$400C_vol,0
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,5
8,$4008_linear,9
9,$4005_sweep,0
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,11
9,$4006_period,571
9,$4008_linear,15
9,$400A_period,509
9,$400B_length,248
9,$400E_period,8
9,$400E_mode,0
9,$400C_const,1
9,$400C_vol,5
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,10
11,$4008_linear,14
11,$400C_const,1
11,$400C_vol,4
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,9
12,$4008_linear,13
12,$400C_const,1
12,$400C_vol,3
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,8
13,$4008_linear,12
13,$400C_const,1
13,$400C_vol,2
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,7
14,$4008_linear,11
14,$400C_const,1
14,$400C_vol,1
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,6
15,$4008_linear,10
15,$400C_const,1
15,$400C_vol,0
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,5
16,$4008_linear,9
17,$4005_sweep,0
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,11
17,$4006_period,763
17,$4008_linear,0
17,$400C_const,1
17,$400C_vol,0
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,10
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,9
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,8
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,7
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,6
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,5
25,$4005_sweep,0
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,11
25,$4006_period,679
25,$4008_linear,15
25,$400A_period,509
25,$400B_length,248
25,$400E_period,8
25,$400E_mode,0
25,$400C_const,1
25,$400C_vol,5
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,10
27,$4008_linear,14
27,$400C_const,1
27,$400C_vol,4
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,9
28,$4008_linear,13
28,$400C_const,1
28,$400C_vol,3
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,8
29,$4008_linear,12
29,$400C_const,1
29,$400C_vol,2
30,$4004_duty,1
30,$4004_const,1
30,$4004_vol,7
30,$4008_linear,11
30,$400C_const,1
30,$400C_vol,1
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,6
31,$4008_linear,10
31,$400C_const,1
31,$400C_vol,0
32,$4004_duty,1
32,$4004_const,1
32,$4004_vol,5
32,$4008_linear,9
33,$4000_duty,0
33,$4000_const,1
33,$4000_vol,0
33,$4005_sweep,0
33,$4004_duty,1
33,$4004_const,1
33,$4004_vol,11
33,$4006_period,1017
33,$4008_linear,15
33,$400A_period,571
33,$400B_length,249
33,$400E_period,13
33,$400E_mode,0
33,$400C_const,1
33,$400C_vol,5
35,$4004_duty,1
35,$4004_const,1
35,$4004_vol,10
35,$4008_linear,14
35,$400C_const,1
35,$400C_vol,4
36,$4004_duty,1
36,$4004_const,1
36,$4004_vol,9
36,$4008_linear,13
36,$400C_const,1
36,$400C_vol,3
37,$4004_duty,1
37,$4004_const,1
37,$4004_vol,8
37,$4008_linear,12
37,$400C_const,1
37,$400C_vol,2
38,$4004_duty,1
38,$4004_const,1
38,$4004_vol,7
38,$4008_linear,11
38,$400C_const,1
38,$400C_vol,1
39,$4004_duty,1
39,$4004_const,1
39,$4004_vol,6
39,$4008_linear,10
39,$400C_const,1
39,$400C_vol,0
40,$4004_duty,1
40,$4004_const,1
40,$4004_vol,5
40,$4008_linear,9
41,$4005_sweep,0
41,$4004_duty,1
41,$4004_const,1
41,$4004_vol,11
41,$4006_period,763
41,$4008_linear,15
41,$400A_period,509
41,$400B_length,248
41,$400C_const,1
41,$400C_vol,0
43,$4004_duty,1
43,$4004_const,1
43,$4004_vol,10
43,$4008_linear,14
44,$4004_duty,1
44,$4004_const,1
44,$4004_vol,9
44,$4008_linear,13
45,$4004_duty,1
45,$4004_const,1
45,$4004_vol,8
45,$4008_linear,12
46,$4004_duty,1
46,$4004_const,1
46,$4004_vol,7
46,$4008_linear,11
47,$4004_duty,1
47,$4004_const,1
47,$4004_vol,6
47,$4008_linear,10
48,$4004_duty,1
48,$4004_const,1
48,$4004_vol,5
48,$4008_linear,9
49,$4005_sweep,0
49,$4004_duty,1
49,$4004_const,1
49,$4004_vol,11
49,$4006_period,679
49,$4008_linear,15
49,$400A_period,509
49,$400B_length,248
49,$400E_period,4
49,$400E_mode,0
49,$400C_const,1
49,$400C_vol,5
51,$4004_duty,1
51,$4004_const,1
51,$4004_vol,10
51,$4008_linear,14
51,$400C_const,1
51,$400C_vol,4
52,$4004_duty,1
52,$4004_const,1
52,$4004_vol,9
52,$4008_linear,13
52,$400C_const,1
52,$400C_vol,3
53,$4004_duty,1
53,$4004_const,1
53,$4004_vol,8
53,$4008_linear,12
53,$400C_const,1
53,$400C_vol,2
54,$4004_duty,1
54,$4004_const,1
54,$4004_vol,7
54,$4008_linear,11
54,$400C_const,1
54,$400C_vol,1
55,$4004_duty,1
55,$4004_const,1
55,$4004_vol,6
55,$4008_linear,10
55,$400C_const,1
55,$400C_vol,0
56,$4004_duty,1
56,$4004_const,1
56,$4004_vol,5
56,$4008_linear,9
57,$4005_sweep,0
57,$4004_duty,1
57,$4004_const,1
57,$4004_vol,11
57,$4006_period,571
57,$4008_linear,15
57,$400A_period,509
57,$400B_length,248
57,$400E_period,4
57,$400E_mode,0
57,$400C_const,1
57,$400C_vol,5
59,$4004_duty,1
59,$4004_const,1
59,$4004_vol,10
59,$4008_linear,14
59,$400C_const,1
59,$400C_vol,4
60,$4004_duty,1
60,$4004_const,1
60,$4004_vol,9
60,$4008_linear,13
60,$400C_const,1
60,$400C_vol,3
61,$4004_duty,1
61,$4004_const,1
61,$4004_vol,8
61,$4008_linear,12
61,$400C_const,1
61,$400C_vol,2
62,$4004_duty,1
62,$4004_const,1
62,$4004_vol,7
62,$4008_linear,11
62,$400C_const,1
62,$400C_vol,1
63,$4004_duty,1
63,$4004_const,1
63,$4004_vol,6
63,$4008_linear,10
63,$400C_const,1
63,$400C_vol,0
64,$4004_duty,1
64,$4004_const,1
64,$4004_vol,5
64,$4008_linear,9
65,$4005_sweep,0
65,$4004_duty,1
65,$4004_const,1
65,$4004_vol,11
65,$4006_period,763
65,$4008_linear,15
65,$400A_period,509
65,$400B_length,248
65,$400C_const,1
65,$400C_vol,0
67,$4004_duty,1
67,$4004_const,1
67,$4004_vol,10
67,$4008_linear,14
68,$4004_duty,1
68,$4004_const,1
68,$4004_vol,9
68,$4008_linear,13
69,$4004_duty,1
