frame,parameter,value
283,$4000_duty,0
283,$4000_const,0
283,$4000_vol,0
283,$4004_duty,0
283,$4004_const,0
283,$4004_vol,0
283,$4008_linear,0
283,$400C_const,0
283,$400C_vol,0
283,$400E_period,0
283,$400E_mode,0
284,$4001_sweep,67
284,$4000_duty,1
284,$4000_const,1
284,$4000_vol,6
284,$4002_period,507
284,$400B_length,200
284,$4005_sweep,67
284,$4004_duty,1
284,$4004_const,1
284,$4004_vol,3
284,$4006_period,253
284,$4008_linear,31
284,$400A_period,1
284,$400B_length,0
284,$400C_const,1
284,$400C_vol,3
284,$400E_period,0
284,$400E_mode,0
285,$4000_duty,1
285,$4000_const,1
285,$4000_vol,6
285,$4004_duty,1
285,$4004_const,1
285,$4004_vol,3
285,$4008_linear,31
285,$400C_const,1
285,$400C_vol,3
285,$400E_period,0
285,$400E_mode,0
288,$4000_duty,1
288,$4000_const,1
288,$4000_vol,6
288,$4004_duty,1
288,$4004_const,1
288,$4004_vol,3
288,$4008_linear,31
288,$400C_const,1
288,$400C_vol,3
288,$400E_period,0
288,$400E_mode,0
290,$4001_sweep,67
290,$4000_duty,1
290,$4000_const,1
290,$4000_vol,6
290,$4002_period,339
290,$400B_length,200
290,$4005_sweep,67
290,$4004_duty,1
290,$4004_const,1
290,$4004_vol,3
290,$4006_period,169
290,$400C_const,1
290,$400C_vol,3
290,$400E_period,0
290,$400E_mode,0
291,$4000_duty,1
291,$4000_const,1
291,$4000_vol,6
291,$4004_duty,1
291,$4004_const,1
291,$4004_vol,3
291,$4008_linear,31
291,$400C_const,1
291,$400C_vol,3
291,$400E_period,0
291,$400E_mode,0
293,$4000_duty,1
293,$4000_const,1
293,$4000_vol,6
293,$4004_duty,1
293,$4004_const,1
293,$4004_vol,3
293,$4008_linear,31
293,$400C_const,1
293,$400C_vol,3
293,$400E_period,0
293,$400E_mode,0
296,$4000_duty,1
296,$4000_const,1
296,$4000_vol,6
296,$4004_duty,1
296,$4004_const,1
296,$4004_vol,3
296,$4008_linear,31
296,$400C_const,1
296,$400C_vol,3
296,$400E_period,0
296,$400E_mode,0
297,$4001_sweep,67
297,$4000_duty,1
297,$4000_const,1
297,$4000_vol,6
297,$4002_period,427
297,$400B_length,200
297,$4005_sweep,67
297,$4004_duty,1
297,$4004_const,1
297,$4004_vol,3
297,$4006_period,213
297,$400C_const,1
297,$400C_vol,3
297,$400E_period,0
297,$400E_mode,0
299,$4000_duty,1
299,$4000_const,1
299,$4000_vol,6
299,$4004_duty,1
299,$4004_const,1
299,$4004_vol,3
299,$4008_linear,31
299,$400C_const,1
299,$400C_vol,3
299,$400E_period,0
299,$400E_mode,0
301,$4000_duty,1
301,$4000_const,1
301,$4000_vol,6
301,$4004_duty,1
301,$4004_const,1
301,$4004_vol,3
301,$4008_linear,31
301,$400C_const,1
301,$400C_vol,3
301,$400E_period,0
301,$400E_mode,0
303,$4001_sweep,67
303,$4000_duty,1
303,$4000_const,1
303,$4000_vol,6
303,$4002_period,339
303,$400B_length,200
303,$4005_sweep,67
303,$4004_duty,1
303,$4004_const,1
303,$4004_vol,3
303,$4006_period,169
303,$400C_const,1
303,$400C_vol,3
303,$400E_period,0
303,$400E_mode,0
304,$4000_duty,1
304,$4000_const,1
304,$4000_vol,6
304,$4004_duty,1
304,$4004_const,1
304,$4004_vol,3
304,$4008_linear,31
304,$400C_const,1
304,$400C_vol,3
304,$400E_period,0
