frame,parameter,value
739,$4000_duty,3
739,$4000_const,0
739,$4000_vol,9
739,$4001_sweep,4
739,$4002_period,417
739,$400B_length,8
739,$4008_linear,127
739,$400A_period,331
739,$400B_length,8
739,$4004_duty,0
739,$4004_const,0
739,$4004_vol,10
739,$4005_sweep,4
739,$4006_period,2229
739,$4004_duty,3
739,$4004_const,0
739,$4004_vol,11
739,$4005_sweep,4
739,$4006_period,1669
767,$4000_duty,3
767,$4000_const,0
767,$4000_vol,9
767,$4001_sweep,4
767,$4002_period,417
767,$400B_length,8
767,$4008_linear,127
767,$400A_period,331
767,$400B_length,8
767,$4004_duty,0
767,$4004_const,0
767,$4004_vol,10
767,$4005_sweep,4
767,$4006_period,2229
767,$4004_duty,3
767,$4004_const,0
767,$4004_vol,11
767,$4005_sweep,4
767,$4006_period,1669
785,$4000_duty,3
785,$4000_const,0
785,$4000_vol,9
785,$4001_sweep,4
785,$4002_period,417
785,$400B_length,8
785,$4008_linear,127
785,$400A_period,313
785,$400B_length,8
785,$4004_duty,0
785,$4004_const,0
785,$4004_vol,10
785,$4005_sweep,4
785,$4006_period,1985
785,$4004_duty,3
785,$4004_const,0
785,$4004_vol,11
785,$4005_sweep,4
785,$4006_period,1669
791,$4000_duty,3
791,$4000_const,0
791,$4000_vol,9
791,$4001_sweep,4
791,$4002_period,417
791,$400B_length,8
791,$4008_linear,127
791,$400A_period,331
791,$400B_length,8
791,$4004_duty,0
791,$4004_const,0
791,$4004_vol,10
791,$4005_sweep,4
791,$4006_period,2229
791,$4004_duty,3
791,$4004_const,0
791,$4004_vol,11
791,$4005_sweep,4
791,$4006_period,1669
