frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,5
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,5
0,$4008_linear,127
0,$400C_const,1
0,$400C_vol,11
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,5
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,5
1,$4008_linear,127
1,$400C_const,1
1,$400C_vol,9
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,5
2,$4001_sweep,0
2,$4002_period,1143
2,$400B_length,2
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,5
2,$4005_sweep,0
2,$4006_period,1143
2,$4008_linear,127
2,$400A_period,1143
2,$400B_length,2
2,$400C_const,1
2,$400C_vol,8
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,13
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,13
3,$4008_linear,127
3,$400C_const,1
3,$400C_vol,7
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,11
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,11
4,$4008_linear,127
4,$400C_const,1
4,$400C_vol,7
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,9
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,9
5,$4008_linear,127
5,$400C_const,1
5,$400C_vol,7
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,7
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,7
6,$4008_linear,127
6,$400C_const,1
6,$400C_vol,7
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,6
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,6
7,$4008_linear,127
7,$400C_const,1
7,$400C_vol,7
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,5
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,5
8,$4008_linear,127
8,$400C_const,1
8,$400C_vol,7
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,5
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,5
9,$4008_linear,127
9,$400C_const,1
9,$400C_vol,7
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,5
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,5
10,$4008_linear,127
10,$400C_const,1
10,$400C_vol,7
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,5
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,5
11,$4008_linear,127
11,$400C_const,1
