frame,parameter,value
0,$4002_period,1
0,$400B_length,0
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,1
0,$400A_period,1
0,$400B_length,0
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,12
1,$4002_period,285
1,$400B_length,8
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,1
1,$4008_linear,1
1,$400A_period,191
1,$400B_length,8
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,12
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,1
2,$4008_linear,1
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,12
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,1
3,$4008_linear,1
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,12
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,1
4,$4008_linear,1
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,11
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,0
5,$4008_linear,1
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,11
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,0
6,$4008_linear,1
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,11
7,$4008_linear,1
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,11
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,0
8,$4008_linear,1
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,11
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,0
9,$4008_linear,1
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,10
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,0
10,$4008_linear,1
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,10
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,0
11,$4008_linear,1
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,10
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,0
12,$4008_linear,1
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,10
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,0
13,$4008_linear,1
14,$4000_duty,2
