frame,parameter,value
0,$4000_duty,0
0,$4000_const,0
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,0
0,$4004_vol,0
0,$4008_linear,0
0,$400C_const,0
0,$400C_vol,0
0,$400E_period,0
0,$400E_mode,0
1,$4000_duty,0
1,$4000_const,0
1,$4000_vol,0
1,$4004_duty,0
1,$4004_const,0
1,$4004_vol,0
1,$4008_linear,0
1,$400C_const,0
1,$400C_vol,0
1,$400E_period,0
1,$400E_mode,0
2,$4001_sweep,67
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,3
2,$4002_period,1
2,$400B_length,0
2,$4005_sweep,67
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,7
2,$4006_period,1281
2,$4008_linear,31
2,$400A_period,639
2,$400B_length,1
2,$400C_const,1
2,$400C_vol,9
2,$400E_period,13
2,$400E_mode,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,2
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,6
3,$4008_linear,31
3,$400C_const,1
3,$400C_vol,9
3,$400E_period,13
3,$400E_mode,0
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,1
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,5
4,$4008_linear,31
4,$400C_const,1
4,$400C_vol,9
4,$400E_period,13
4,$400E_mode,0
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,4
6,$4008_linear,31
6,$400C_const,1
6,$400C_vol,9
6,$400E_period,13
6,$400E_mode,0
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,3
7,$4008_linear,31
7,$400C_const,1
7,$400C_vol,9
7,$400E_period,13
7,$400E_mode,0
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,2
9,$4008_linear,31
9,$400C_const,1
9,$400C_vol,9
9,$400E_period,13
9,$400E_mode,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,1
10,$4008_linear,31
10,$400C_const,1
10,$400C_vol,9
10,$400E_period,13
10,$400E_mode,0
11,$4001_sweep,67
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,3
11,$4002_period,1281
11,$400B_length,2
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,2
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
12,$4008_linear,31
12,$400C_const,1
12,$400C_vol,9
12,$400E_period,13
12,$400E_mode,0
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,1
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
13,$4008_linear,31
13,$400C_const,1
13,$400C_vol,9
13,$400E_period,13
13,$400E_mode,0
14,$4005_sweep,67
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,7
14,$4006_period,2563
14,$4008_linear,31
14,$400A_period,1281
14,$400B_length,2
14,$400C_const,1
14,$400C_vol,4
14,$400E_period,2
14,$400E_mode,0
15,$4000_duty,0
15,$4000_const,1
