frame,parameter,value
23,$4011_dac,63
23,$4011_dac,64
23,$4011_dac,64
23,$4011_dac,65
23,$4011_dac,65
23,$4011_dac,65
23,$4011_dac,65
23,$4011_dac,66
23,$4011_dac,66
23,$4011_dac,66
23,$4011_dac,66
23,$4011_dac,65
23,$4011_dac,65
23,$4011_dac,64
23,$4011_dac,63
23,$4011_dac,63
23,$4011_dac,63
23,$4011_dac,62
23,$4011_dac,60
23,$4011_dac,60
23,$4011_dac,61
23,$4011_dac,62
23,$4011_dac,63
23,$4011_dac,63
23,$4011_dac,62
23,$4011_dac,62
23,$4011_dac,62
23,$4011_dac,63
23,$4011_dac,63
23,$4011_dac,64
23,$4011_dac,64
23,$4011_dac,64
23,$4011_dac,63
23,$4011_dac,63
23,$4011_dac,64
23,$4011_dac,64
23,$4011_dac,64
23,$4011_dac,64
23,$4011_dac,64
23,$4011_dac,65
23,$4011_dac,67
23,$4011_dac,68
23,$4011_dac,69
23,$4011_dac,70
23,$4011_dac,68
23,$4011_dac,67
23,$4011_dac,65
23,$4011_dac,63
23,$4011_dac,61
23,$4011_dac,61
23,$4011_dac,61
23,$4011_dac,60
23,$4011_dac,56
23,$4011_dac,54
23,$4011_dac,53
23,$4011_dac,55
23,$4011_dac,59
23,$4011_dac,62
23,$4011_dac,64
23,$4011_dac,66
23,$4011_dac,68
23,$4011_dac,71
23,$4011_dac,73
23,$4011_dac,74
23,$4011_dac,74
23,$4011_dac,73
23,$4011_dac,72
23,$4011_dac,70
23,$4011_dac,68
23,$4011_dac,66
23,$4011_dac,64
23,$4011_dac,63
23,$4011_dac,61
23,$4011_dac,58
23,$4011_dac,54
23,$4011_dac,51
23,$4011_dac,50
23,$4011_dac,50
23,$4011_dac,52
23,$4011_dac,54
23,$4011_dac,54
23,$4011_dac,56
23,$4011_dac,59
23,$4011_dac,61
23,$4011_dac,64
23,$4011_dac,67
23,$4011_dac,69
23,$4011_dac,71
23,$4011_dac,72
23,$4011_dac,71
23,$4011_dac,72
23,$4011_dac,72
23,$4011_dac,70
23,$4011_dac,67
23,$4011_dac,63
23,$4011_dac,59
23,$4011_dac,59
23,$4011_dac,61
23,$4011_dac,64
23,$4011_dac,66
23,$4011_dac,68
23,$4011_dac,69
23,$4011_dac,72
23,$4011_dac,74
23,$4011_dac,75
23,$4011_dac,75
23,$4011_dac,72
23,$4011_dac,68
23,$4011_dac,64
23,$4011_dac,59
23,$4011_dac,56
23,$4011_dac,53
23,$4011_dac,51
23,$4011_dac,49
23,$4011_dac,48
23,$4011_dac,47
23,$4011_dac,49
23,$4011_dac,51
23,$4011_dac,53
23,$4011_dac,57
23,$4011_dac,61
23,$4011_dac,64
23,$4011_dac,67
23,$4011_dac,70
24,$4011_dac,74
24,$4011_dac,77
24,$4011_dac,79
24,$4011_dac,79
24,$4011_dac,77
24,$4011_dac,74
24,$4011_dac,72
24,$4011_dac,71
24,$4011_dac,71
24,$4011_dac,69
24,$4011_dac,66
24,$4011_dac,63
24,$4011_dac,60
24,$4011_dac,57
24,$4011_dac,54
24,$4011_dac,52
24,$4011_dac,51
24,$4011_dac,50
24,$4011_dac,47
24,$4011_dac,48
24,$4011_dac,52
24,$4011_dac,55
24,$4011_dac,59
24,$4011_dac,61
24,$4011_dac,62
24,$4011_dac,66
24,$4011_dac,69
24,$4011_dac,71
24,$4011_dac,74
24,$4011_dac,75
24,$4011_dac,73
24,$4011_dac,71
24,$4011_dac,68
24,$4011_dac,64
24,$4011_dac,63
24,$4011_dac,62
24,$4011_dac,62
24,$4011_dac,64
24,$4011_dac,66
24,$4011_dac,66
24,$4011_dac,69
24,$4011_dac,71
24,$4011_dac,73
24,$4011_dac,74
24,$4011_dac,72
24,$4011_dac,69
24,$4011_dac,66
24,$4011_dac,62
24,$4011_dac,61
24,$4011_dac,60
24,$4011_dac,57
24,$4011_dac,53
24,$4011_dac,49
24,$4011_dac,46
24,$4011_dac,45
24,$4011_dac,46
24,$4011_dac,50
24,$4011_dac,54
24,$4011_dac,58
24,$4011_dac,62
24,$4011_dac,67
24,$4011_dac,71
24,$4011_dac,75
24,$4011_dac,79
24,$4011_dac,81
24,$4011_dac,83
24,$4011_dac,83
24,$4011_dac,79
24,$4011_dac,75
24,$4011_dac,72
24,$4011_dac,68
24,$4011_dac,64
24,$4011_dac,61
24,$4011_dac,56
24,$4011_dac,52
24,$4011_dac,49
24,$4011_dac,48
24,$4011_dac,48
24,$4011_dac,48
24,$4011_dac,49
24,$4011_dac,51
24,$4011_dac,55
24,$4011_dac,57
24,$4011_dac,57
24,$4011_dac,61
24,$4011_dac,65
24,$4011_dac,68
24,$4011_dac,72
24,$4011_dac,72
24,$4011_dac,72
24,$4011_dac,74
24,$4011_dac,76
24,$4011_dac,78
24,$4011_dac,76
24,$4011_dac,73
24,$4011_dac,68
24,$4011_dac,66
24,$4011_dac,63
24,$4011_dac,61
24,$4011_dac,60
24,$4011_dac,60
24,$4011_dac,62
24,$4011_dac,64
24,$4011_dac,64
24,$4011_dac,61
24,$4011_dac,62
24,$4011_dac,65
24,$4011_dac,69
24,$4011_dac,70
24,$4011_dac,68
24,$4011_dac,67
24,$4011_dac,65
24,$4011_dac,60
24,$4011_dac,55
24,$4011_dac,51
24,$4011_dac,52
24,$4011_dac,52
24,$4011_dac,49
24,$4011_dac,48
24,$4011_dac,52
24,$4011_dac,56
24,$4011_dac,60
24,$4011_dac,63
24,$4011_dac,69
24,$4011_dac,74
24,$4011_dac,77
24,$4011_dac,77
24,$4011_dac,75
24,$4011_dac,73
24,$4011_dac,69
24,$4011_dac,64
24,$4011_dac,63
24,$4011_dac,64
24,$4011_dac,65
24,$4011_dac,65
24,$4011_dac,66
24,$4011_dac,67
24,$4011_dac,68
24,$4011_dac,66
24,$4011_dac,62
24,$4011_dac,60
24,$4011_dac,60
24,$4011_dac,54
24,$4011_dac,49
24,$4011_dac,49
24,$4011_dac,52
24,$4011_dac,53
24,$4011_dac,55
24,$4011_dac,57
24,$4011_dac,63
24,$4011_dac,66
24,$4011_dac,69
24,$4011_dac,74
24,$4011_dac,79
24,$4011_dac,79
24,$4011_dac,78
24,$4011_dac,76
24,$4011_dac,73
24,$4011_dac,68
24,$4011_dac,63
24,$4011_dac,59
24,$4011_dac,57
24,$4011_dac,54
24,$4011_dac,54
24,$4011_dac,57
24,$4011_dac,62
24,$4011_dac,65
24,$4011_dac,67
24,$4011_dac,69
24,$4011_dac,73
24,$4011_dac,72
24,$4011_dac,71
24,$4011_dac,68
24,$4011_dac,64
24,$4011_dac,59
24,$4011_dac,54
24,$4011_dac,51
24,$4011_dac,51
24,$4011_dac,50
24,$4011_dac,51
24,$4011_dac,55
24,$4011_dac,60
24,$4011_dac,64
24,$4011_dac,68
24,$4011_dac,70
24,$4011_dac,73
24,$4011_dac,74
24,$4011_dac,73
24,$4011_dac,69
24,$4011_dac,67
24,$4011_dac,66
24,$4011_dac,60
24,$4011_dac,57
24,$4011_dac,58
24,$4011_dac,60
24,$4011_dac,63
24,$4011_dac,63
24,$4011_dac,64
24,$4011_dac,67
24,$4011_dac,65
24,$4011_dac,62
24,$4011_dac,64
24,$4011_dac,61
24,$4011_dac,60
24,$4011_dac,61
24,$4011_dac,61
24,$4011_dac,58
24,$4011_dac,55
24,$4011_dac,55
24,$4011_dac,61
24,$4011_dac,64
24,$4011_dac,67
24,$4011_dac,73
24,$4011_dac,75
24,$4011_dac,74
24,$4011_dac,70
24,$4011_dac,70
24,$4011_dac,72
24,$4011_dac,68
24,$4011_dac,66
24,$4011_dac,67
24,$4011_dac,65
24,$4011_dac,63
24,$4011_dac,62
24,$4011_dac,61
24,$4011_dac,61
24,$4011_dac,59
24,$4011_dac,58
24,$4011_dac,58
24,$4011_dac,55
24,$4011_dac,54
24,$4011_dac,57
24,$4011_dac,59
24,$4011_dac,62
24,$4011_dac,65
24,$4011_dac,68
24,$4011_dac,70
24,$4011_dac,69
24,$4011_dac,67
24,$4011_dac,63
24,$4011_dac,59
24,$4011_dac,58
24,$4011_dac,57
24,$4011_dac,57
24,$4011_dac,58
24,$4011_dac,60
24,$4011_dac,63
24,$4011_dac,65
24,$4011_dac,68
24,$4011_dac,71
24,$4011_dac,72
24,$4011_dac,72
