frame,parameter,value
290,$400C_const,0
290,$400C_vol,0
290,$4008_linear,0
290,$4004_duty,0
290,$4004_const,0
290,$4004_vol,0
290,$4000_duty,0
290,$4000_const,0
290,$4000_vol,0
291,$400E_period,7
291,$400E_mode,0
291,$400E_period,7
291,$400E_mode,0
291,$400C_const,1
291,$400C_vol,1
291,$400A_period,1377
291,$400B_length,2
291,$400A_period,1377
291,$400B_length,2
291,$4008_linear,1
291,$4004_duty,2
291,$4004_const,1
291,$4004_vol,0
291,$4005_sweep,8
291,$4006_period,4073
291,$4004_duty,2
291,$4004_const,1
291,$4004_vol,0
291,$4000_duty,2
291,$4000_const,1
291,$4000_vol,0
291,$4001_sweep,8
291,$4000_duty,2
291,$4000_const,1
291,$4000_vol,0
292,$400C_const,1
292,$400C_vol,1
292,$4004_duty,2
292,$4004_const,1
292,$4004_vol,0
292,$4000_duty,2
292,$4000_const,1
292,$4000_vol,0
293,$400C_const,1
293,$400C_vol,1
294,$400C_const,1
294,$400C_vol,0
295,$400C_const,1
295,$400C_vol,0
295,$4006_period,105
296,$400C_const,1
296,$400C_vol,0
297,$400C_const,1
297,$400C_vol,0
298,$400C_const,1
298,$400C_vol,0
299,$400C_const,1
299,$400C_vol,0
299,$4006_period,4095
300,$400C_const,1
300,$400C_vol,0
301,$400C_const,1
301,$400C_vol,0
302,$400E_period,7
302,$400E_mode,0
302,$400E_period,7
302,$400E_mode,0
302,$400C_const,1
302,$400C_vol,1
303,$400C_const,1
303,$400C_vol,1
304,$400C_const,1
304,$400C_vol,1
304,$4006_period,105
305,$400C_const,1
305,$400C_vol,0
306,$400C_const,1
306,$400C_vol,0
307,$400C_const,1
307,$400C_vol,0
308,$400E_period,7
308,$400E_mode,0
308,$400E_period,7
308,$400E_mode,0
308,$400C_const,1
308,$400C_vol,1
308,$4006_period,4095
309,$400C_const,1
309,$400C_vol,1
310,$400C_const,1
310,$400C_vol,1
311,$400C_const,1
311,$400C_vol,0
312,$400C_const,1
312,$400C_vol,0
313,$400C_const,1
313,$400C_vol,0
313,$4006_period,105
314,$400E_period,7
314,$400E_mode,0
314,$400E_period,7
314,$400E_mode,0
314,$400C_const,1
314,$400C_vol,1
315,$400C_const,1
315,$400C_vol,1
316,$400C_const,1
316,$400C_vol,1
317,$400C_const,1
317,$400C_vol,0
317,$4006_period,4095
318,$400C_const,1
318,$400C_vol,0
319,$400C_const,1
319,$400C_vol,0
320,$400C_const,1
320,$400C_vol,0
321,$400C_const,1
321,$400C_vol,0
322,$400C_const,1
322,$400C_vol,0
322,$4006_period,105
323,$400C_const,1
323,$400C_vol,0
324,$400C_const,1
324,$400C_vol,0
325,$400C_const,1
325,$400C_vol,0
326,$400C_const,1
326,$400C_vol,0
326,$4006_period,4095
327,$400E_period,7
327,$400E_mode,0
327,$400E_period,7
327,$400E_mode,0
327,$400C_const,1
327,$400C_vol,1
328,$400C_const,1
328,$400C_vol,1
329,$400C_const,1
329,$400C_vol,1
330,$400C_const,1
330,$400C_vol,0
331,$400C_const,1
331,$400C_vol,0
331,$4006_period,105
332,$400C_const,1
332,$400C_vol,0
333,$400E_period,7
333,$400E_mode,0
333,$400E_period,7
333,$400E_mode,0
333,$400C_const,1
333,$400C_vol,1
334,$400C_const,1
334,$400C_vol,1
335,$400C_const,1
335,$400C_vol,1
335,$4006_period,4095
336,$400C_const,1
336,$400C_vol,0
337,$400C_const,1
337,$400C_vol,0
338,$400C_const,1
338,$400C_vol,0
339,$400E_period,7
339,$400E_mode,0
339,$400E_period,7
339,$400E_mode,0
339,$400C_const,1
339,$400C_vol,2
339,$4004_duty,2
339,$4004_const,1
339,$4004_vol,0
339,$4002_period,1031
339,$400B_length,2
339,$4002_period,1031
339,$400B_length,2
339,$4000_duty,2
339,$4000_const,1
339,$4000_vol,9
340,$400C_const,1
340,$400C_vol,2
340,$4006_period,105
340,$4004_duty,2
340,$4004_const,1
340,$4004_vol,0
340,$4000_duty,2
340,$4000_const,1
340,$4000_vol,9
341,$400C_const,1
341,$400C_vol,2
341,$4000_duty,2
341,$4000_const,1
341,$4000_vol,9
342,$400C_const,1
342,$400C_vol,1
342,$4000_duty,2
342,$4000_const,1
342,$4000_vol,9
343,$400C_const,1
343,$400C_vol,0
343,$4000_duty,2
343,$4000_const,1
343,$4000_vol,9
344,$400C_const,1
344,$400C_vol,0
344,$4006_period,4095
344,$4000_duty,2
344,$4000_const,1
344,$4000_vol,9
345,$400E_period,7
345,$400E_mode,0
345,$400E_period,7
345,$400E_mode,0
345,$400C_const,1
345,$400C_vol,2
