frame,parameter,value
613,$4001_sweep,8
613,$4005_sweep,8
614,$4002_period,1
614,$400B_length,0
614,$4000_duty,1
614,$4000_const,1
614,$4000_vol,9
614,$4006_period,2049
614,$4004_duty,2
614,$4004_const,1
614,$4004_vol,15
615,$4004_duty,2
615,$4004_const,1
615,$4004_vol,14
615,$400A_period,1
615,$400B_length,8
615,$4008_linear,127
615,$400E_period,14
615,$400E_mode,0
615,$400C_const,1
615,$400C_vol,12
616,$4000_duty,1
616,$4000_const,1
616,$4000_vol,8
616,$4004_duty,2
616,$4004_const,1
616,$4004_vol,13
616,$400C_const,1
616,$400C_vol,10
617,$4004_duty,2
617,$4004_const,1
617,$4004_vol,12
617,$400C_const,1
617,$400C_vol,7
618,$4000_duty,1
618,$4000_const,1
618,$4000_vol,7
618,$4004_duty,2
618,$4004_const,1
618,$4004_vol,10
618,$400C_const,1
618,$400C_vol,0
620,$4000_duty,1
620,$4000_const,1
620,$4000_vol,6
620,$4004_duty,2
620,$4004_const,1
620,$4004_vol,8
622,$4000_duty,1
622,$4000_const,1
622,$4000_vol,5
622,$4004_duty,2
622,$4004_const,1
622,$4004_vol,7
625,$4000_duty,1
625,$4000_const,1
625,$4000_vol,4
626,$4004_duty,2
626,$4004_const,1
626,$4004_vol,6
627,$4000_duty,1
627,$4000_const,1
627,$4000_vol,3
630,$4004_duty,2
630,$4004_const,1
630,$4004_vol,5
634,$4002_period,479
634,$400B_length,0
634,$4000_duty,1
634,$4000_const,1
634,$4000_vol,9
636,$4000_duty,1
636,$4000_const,1
636,$4000_vol,8
636,$4004_duty,2
636,$4004_const,1
636,$4004_vol,4
638,$4000_duty,1
638,$4000_const,1
638,$4000_vol,7
640,$4000_duty,1
640,$4000_const,1
640,$4000_vol,6
642,$4000_duty,1
642,$4000_const,1
642,$4000_vol,5
642,$4004_duty,2
642,$4004_const,1
642,$4004_vol,3
644,$4002_period,479
644,$400B_length,0
644,$4000_duty,1
644,$4000_const,1
644,$4000_vol,9
646,$4000_duty,1
646,$4000_const,1
646,$4000_vol,8
648,$4000_duty,1
648,$4000_const,1
648,$4000_vol,7
650,$4000_duty,1
650,$4000_const,1
650,$4000_vol,6
652,$4000_duty,1
652,$4000_const,1
652,$4000_vol,5
652,$4004_duty,2
652,$4004_const,1
652,$4004_vol,2
654,$4002_period,509
654,$400B_length,0
654,$4000_duty,1
654,$4000_const,1
654,$4000_vol,9
654,$4006_period,2283
654,$4004_duty,2
654,$4004_const,1
654,$4004_vol,15
655,$4004_duty,2
655,$4004_const,1
655,$4004_vol,14
655,$400E_period,14
655,$400E_mode,0
655,$400C_const,1
655,$400C_vol,12
656,$4000_duty,1
656,$4000_const,1
656,$4000_vol,8
656,$4004_duty,2
656,$4004_const,1
656,$4004_vol,13
656,$400C_const,1
656,$400C_vol,10
657,$4004_duty,2
657,$4004_const,1
657,$4004_vol,12
657,$400C_const,1
657,$400C_vol,7
658,$4000_duty,1
658,$4000_const,1
658,$4000_vol,7
658,$4004_duty,2
658,$4004_const,1
658,$4004_vol,10
658,$400C_const,1
658,$400C_vol,0
660,$4000_duty,1
660,$4000_const,1
660,$4000_vol,6
660,$4004_duty,2
660,$4004_const,1
660,$4004_vol,8
662,$4000_duty,1
662,$4000_const,1
662,$4000_vol,5
662,$4004_duty,2
662,$4004_const,1
662,$4004_vol,7
665,$4000_duty,1
665,$4000_const,1
665,$4000_vol,4
666,$4004_duty,2
666,$4004_const,1
666,$4004_vol,6
667,$4000_duty,1
667,$4000_const,1
667,$4000_vol,3
670,$4004_duty,2
670,$4004_const,1
670,$4004_vol,5
674,$4002_period,479
674,$400B_length,0
674,$4000_duty,1
674,$4000_const,1
674,$4000_vol,9
675,$400E_period,14
675,$400E_mode,0
675,$400C_const,1
675,$400C_vol,12
676,$4000_duty,1
676,$4000_const,1
676,$4000_vol,8
676,$4004_duty,2
676,$4004_const,1
676,$4004_vol,4
676,$400C_const,1
676,$400C_vol,10
677,$400C_const,1
677,$400C_vol,7
678,$4000_duty,1
678,$4000_const,1
678,$4000_vol,7
678,$400C_const,1
678,$400C_vol,0
680,$4000_duty,1
680,$4000_const,1
680,$4000_vol,6
682,$4000_duty,1
682,$4000_const,1
682,$4000_vol,5
682,$4004_duty,2
682,$4004_const,1
682,$4004_vol,3
685,$4000_duty,1
685,$4000_const,1
685,$4000_vol,4
687,$4000_duty,1
687,$4000_const,1
687,$4000_vol,3
692,$4004_duty,2
692,$4004_const,1
692,$4004_vol,2
694,$4002_period,427
694,$400B_length,0
694,$4000_duty,1
694,$4000_const,1
694,$4000_vol,9
694,$4006_period,1259
694,$4004_duty,2
694,$4004_const,1
694,$4004_vol,15
695,$4004_duty,2
695,$4004_const,1
695,$4004_vol,14
695,$400A_period,379
695,$400B_length,8
695,$4008_linear,127
695,$400E_period,14
695,$400E_mode,0
695,$400C_const,1
695,$400C_vol,12
696,$4000_duty,1
696,$4000_const,1
696,$4000_vol,8
696,$4004_duty,2
696,$4004_const,1
696,$4004_vol,13
696,$400C_const,1
696,$400C_vol,10
697,$4004_duty,2
697,$4004_const,1
697,$4004_vol,12
697,$400C_const,1
697,$400C_vol,7
698,$4000_duty,1
698,$4000_const,1
698,$4000_vol,7
698,$4004_duty,2
698,$4004_const,1
698,$4004_vol,10
698,$400C_const,1
698,$400C_vol,0
700,$4000_duty,1
700,$4000_const,1
700,$4000_vol,6
700,$4004_duty,2
700,$4004_const,1
700,$4004_vol,8
702,$4000_duty,1
702,$4000_const,1
702,$4000_vol,5
702,$4004_duty,2
702,$4004_const,1
702,$4004_vol,7
705,$4000_duty,1
705,$4000_const,1
705,$4000_vol,4
706,$4004_duty,2
706,$4004_const,1
706,$4004_vol,6
707,$4000_duty,1
707,$4000_const,1
707,$4000_vol,3
710,$4004_duty,2
710,$4004_const,1
710,$4004_vol,5
716,$4004_duty,2
716,$4004_const,1
716,$4004_vol,4
722,$4000_duty,1
722,$4000_const,1
722,$4000_vol,2
722,$4004_duty,2
722,$4004_const,1
722,$4004_vol,3
732,$4004_duty,2
732,$4004_const,1
732,$4004_vol,2
734,$4002_period,1021
734,$400B_length,1
734,$4000_duty,1
734,$4000_const,1
734,$4000_vol,9
734,$4006_period,1523
734,$4004_duty,2
734,$4004_const,1
734,$4004_vol,15
735,$4004_duty,2
735,$4004_const,1
735,$4004_vol,14
735,$400A_period,303
735,$400B_length,8
735,$4008_linear,127
735,$400E_period,14
735,$400E_mode,0
735,$400C_const,1
735,$400C_vol,12
736,$4000_duty,1
736,$4000_const,1
736,$4000_vol,8
736,$4004_duty,2
736,$4004_const,1
736,$4004_vol,13
736,$400C_const,1
736,$400C_vol,10
737,$4004_duty,2
737,$4004_const,1
737,$4004_vol,12
737,$400C_const,1
737,$400C_vol,7
738,$4000_duty,1
738,$4000_const,1
738,$4000_vol,7
738,$4004_duty,2
738,$4004_const,1
738,$4004_vol,10
738,$400C_const,1
738,$400C_vol,0
740,$4000_duty,1
740,$4000_const,1
740,$4000_vol,6
740,$4004_duty,2
740,$4004_const,1
740,$4004_vol,8
742,$4000_duty,1
742,$4000_const,1
742,$4000_vol,5
742,$4004_duty,2
742,$4004_const,1
742,$4004_vol,7
745,$4000_duty,1
745,$4000_const,1
745,$4000_vol,4
746,$4004_duty,2
746,$4004_const,1
746,$4004_vol,6
747,$4000_duty,1
747,$4000_const,1
747,$4000_vol,3
750,$4004_duty,2
750,$4004_const,1
750,$4004_vol,5
754,$4002_period,761
754,$400B_length,1
754,$4000_duty,1
754,$4000_const,1
754,$4000_vol,9
755,$400E_period,14
755,$400E_mode,0
755,$400C_const,1
755,$400C_vol,12
756,$4000_duty,1
756,$4000_const,1
756,$4000_vol,8
756,$4004_duty,2
756,$4004_const,1
756,$4004_vol,4
756,$400C_const,1
756,$400C_vol,10
757,$400C_const,1
757,$400C_vol,7
758,$4000_duty,1
758,$4000_const,1
758,$4000_vol,7
758,$400C_const,1
758,$400C_vol,0
760,$4000_duty,1
760,$4000_const,1
760,$4000_vol,6
762,$4000_duty,1
762,$4000_const,1
762,$4000_vol,5
762,$4004_duty,2
762,$4004_const,1
762,$4004_vol,3
765,$4000_duty,1
765,$4000_const,1
765,$4000_vol,4
767,$4000_duty,1
767,$4000_const,1
767,$4000_vol,3
772,$4004_duty,2
772,$4004_const,1
772,$4004_vol,2
774,$4002_period,249
774,$400B_length,0
774,$4000_duty,1
774,$4000_const,1
774,$4000_vol,9
