frame,parameter,value
0,$4001_sweep,8
0,$4005_sweep,8
0,$4008_linear,32
0,$400C_const,1
0,$400C_vol,1
0,$400E_period,8
0,$400E_mode,0
1,$4001_sweep,8
1,$4005_sweep,8
1,$4008_linear,32
1,$400C_const,1
1,$400C_vol,1
1,$400E_period,8
1,$400E_mode,0
2,$4001_sweep,8
2,$4005_sweep,8
2,$4008_linear,32
2,$400C_const,1
2,$400C_vol,1
2,$400E_period,8
2,$400E_mode,0
3,$4001_sweep,8
3,$4005_sweep,8
3,$4008_linear,32
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,8
3,$400E_mode,0
4,$4001_sweep,8
4,$4005_sweep,8
4,$4008_linear,32
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,8
4,$400E_mode,0
5,$4001_sweep,8
5,$4005_sweep,8
5,$4008_linear,32
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,8
5,$400E_mode,0
6,$4001_sweep,8
6,$4005_sweep,8
6,$4008_linear,32
6,$400C_const,1
6,$400C_vol,0
6,$400E_period,8
6,$400E_mode,0
7,$4001_sweep,8
7,$4005_sweep,8
7,$4008_linear,32
7,$400C_const,1
7,$400C_vol,0
7,$400E_period,8
7,$400E_mode,0
8,$4001_sweep,8
8,$4005_sweep,8
8,$4008_linear,32
8,$400C_const,1
8,$400C_vol,0
8,$400E_period,8
8,$400E_mode,0
9,$4001_sweep,8
9,$4005_sweep,8
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
9,$4008_linear,0
9,$400A_period,1
9,$400B_length,0
9,$400C_const,1
9,$400C_vol,0
10,$4001_sweep,8
10,$4005_sweep,8
10,$4008_linear,32
10,$400A_period,679
10,$400B_length,9
10,$400C_const,1
10,$400C_vol,10
10,$400E_period,13
10,$400E_mode,0
11,$4001_sweep,8
11,$4005_sweep,8
11,$4008_linear,32
11,$400C_const,1
11,$400C_vol,10
11,$400E_period,13
11,$400E_mode,0
12,$4001_sweep,8
12,$4005_sweep,8
12,$4008_linear,32
12,$400C_const,1
12,$400C_vol,7
12,$400E_period,13
12,$400E_mode,0
13,$4001_sweep,8
13,$4005_sweep,8
13,$4008_linear,32
13,$400C_const,1
13,$400C_vol,7
13,$400E_period,13
13,$400E_mode,0
