frame,parameter,value
276,$4000_duty,0
276,$4000_const,0
276,$4000_vol,0
276,$4001_sweep,0
276,$4002_period,1
276,$400B_length,0
276,$4004_duty,0
276,$4004_const,0
276,$4004_vol,0
276,$4005_sweep,0
276,$4006_period,1
276,$4008_linear,0
276,$400A_period,1
276,$400B_length,0
276,$400C_const,1
276,$400C_vol,15
276,$400E_period,9
276,$400E_mode,0
277,$400C_const,1
277,$400C_vol,8
278,$400C_const,1
278,$400C_vol,8
279,$400C_const,1
279,$400C_vol,6
280,$400C_const,1
280,$400C_vol,6
281,$400C_const,1
281,$400C_vol,5
282,$400C_const,1
282,$400C_vol,5
283,$400C_const,1
283,$400C_vol,15
283,$400E_period,9
283,$400E_mode,0
284,$400C_const,1
284,$400C_vol,15
285,$400C_const,1
285,$400C_vol,8
286,$400C_const,1
286,$400C_vol,8
287,$400C_const,1
287,$400C_vol,6
288,$400C_const,1
288,$400C_vol,6
289,$400C_const,1
289,$400C_vol,5
290,$400C_const,1
290,$400C_vol,5
291,$400C_const,1
291,$400C_vol,15
291,$400E_period,9
291,$400E_mode,0
292,$400C_const,1
292,$400C_vol,15
293,$400C_const,1
293,$400C_vol,8
294,$400C_const,1
294,$400C_vol,8
295,$400C_const,1
295,$400C_vol,6
296,$400C_const,1
296,$400C_vol,6
297,$400C_const,1
297,$400C_vol,5
298,$400C_const,1
298,$400C_vol,5
299,$400C_const,1
299,$400C_vol,15
299,$400E_period,9
299,$400E_mode,0
300,$400C_const,1
300,$400C_vol,15
301,$400C_const,1
301,$400C_vol,8
302,$400C_const,1
302,$400C_vol,8
303,$400C_const,1
303,$400C_vol,6
304,$400C_const,1
304,$400C_vol,6
305,$400C_const,1
305,$400C_vol,5
306,$400C_const,1
306,$400C_vol,5
307,$400C_const,1
307,$400C_vol,15
307,$400E_period,9
307,$400E_mode,0
308,$400C_const,1
308,$400C_vol,15
309,$400C_const,1
309,$400C_vol,8
310,$400C_const,1
310,$400C_vol,8
311,$400C_const,1
311,$400C_vol,6
312,$400C_const,1
312,$400C_vol,6
313,$400C_const,1
313,$400C_vol,5
314,$400C_const,1
314,$400C_vol,5
315,$400C_const,1
315,$400C_vol,15
315,$400E_period,9
315,$400E_mode,0
316,$400C_const,1
316,$400C_vol,15
317,$400C_const,1
317,$400C_vol,8
318,$400C_const,1
318,$400C_vol,8
319,$400C_const,1
319,$400C_vol,6
320,$400C_const,1
320,$400C_vol,6
321,$400C_const,1
321,$400C_vol,5
322,$400C_const,1
322,$400C_vol,5
323,$400C_const,1
323,$400C_vol,4
324,$400C_const,1
324,$400C_vol,4
325,$400C_const,1
325,$400C_vol,3
326,$400C_const,1
326,$400C_vol,3
327,$400C_const,1
327,$400C_vol,2
328,$400C_const,1
328,$400C_vol,2
329,$400C_const,1
329,$400C_vol,1
330,$400C_const,1
330,$400C_vol,1
331,$400C_const,1
331,$400C_vol,15
331,$400E_period,9
331,$400E_mode,0
332,$400C_const,1
332,$400C_vol,15
333,$400C_const,1
333,$400C_vol,8
334,$400C_const,1
334,$400C_vol,8
335,$400C_const,1
335,$400C_vol,6
336,$400C_const,1
336,$400C_vol,6
337,$400C_const,1
337,$400C_vol,5
338,$400C_const,1
338,$400C_vol,5
339,$4008_linear,0
339,$400A_period,1
339,$400B_length,0
339,$400C_const,1
339,$400C_vol,15
339,$400E_period,9
339,$400E_mode,0
340,$400C_const,1
340,$400C_vol,15
341,$400C_const,1
341,$400C_vol,8
342,$400C_const,1
342,$400C_vol,8
343,$400C_const,1
343,$400C_vol,6
344,$400C_const,1
344,$400C_vol,6
345,$400C_const,1
345,$400C_vol,5
346,$400C_const,1
346,$400C_vol,5
347,$400C_const,1
347,$400C_vol,4
348,$400C_const,1
348,$400C_vol,4
349,$400C_const,1
349,$400C_vol,3
350,$400C_const,1
350,$400C_vol,3
351,$400C_const,1
351,$400C_vol,2
352,$400C_const,1
352,$400C_vol,2
353,$400C_const,1
353,$400C_vol,1
354,$400C_const,1
354,$400C_vol,1
355,$400C_const,1
355,$400C_vol,15
355,$400E_period,9
355,$400E_mode,0
355,$4004_duty,3
355,$4004_const,1
355,$4004_vol,12
355,$4005_sweep,135
355,$4006_period,1709
355,$4000_duty,0
355,$4000_const,1
355,$4000_vol,12
355,$4001_sweep,135
355,$4002_period,893
355,$400B_length,1
356,$400C_const,1
356,$400C_vol,15
356,$4004_duty,3
356,$4004_const,1
356,$4004_vol,12
356,$4000_duty,0
356,$4000_const,1
356,$4000_vol,12
357,$400C_const,1
357,$400C_vol,8
357,$4004_duty,3
357,$4004_const,1
357,$4004_vol,12
357,$4000_duty,0
357,$4000_const,1
357,$4000_vol,12
358,$400C_const,1
358,$400C_vol,8
358,$4004_duty,3
358,$4004_const,1
358,$4004_vol,12
358,$4000_duty,0
358,$4000_const,1
358,$4000_vol,12
359,$400C_const,1
359,$400C_vol,6
359,$4004_duty,3
359,$4004_const,1
359,$4004_vol,12
359,$4000_duty,0
359,$4000_const,1
359,$4000_vol,12
360,$400C_const,1
360,$400C_vol,6
360,$4004_duty,3
360,$4004_const,1
360,$4004_vol,12
360,$4000_duty,0
360,$4000_const,1
360,$4000_vol,12
361,$400C_const,1
361,$400C_vol,5
361,$4004_duty,3
361,$4004_const,1
361,$4004_vol,12
361,$4000_duty,0
361,$4000_const,1
361,$4000_vol,12
362,$400C_const,1
362,$400C_vol,5
362,$4004_duty,3
362,$4004_const,1
362,$4004_vol,12
362,$4000_duty,0
362,$4000_const,1
362,$4000_vol,12
363,$400C_const,1
363,$400C_vol,15
363,$400E_period,9
363,$400E_mode,0
363,$4004_duty,3
363,$4004_const,1
363,$4004_vol,12
363,$4000_duty,0
363,$4000_const,1
363,$4000_vol,12
364,$400C_const,1
364,$400C_vol,15
364,$4004_duty,3
364,$4004_const,1
364,$4004_vol,12
364,$4000_duty,0
364,$4000_const,1
364,$4000_vol,12
365,$400C_const,1
365,$400C_vol,8
365,$4004_duty,3
365,$4004_const,1
365,$4004_vol,12
365,$4000_duty,0
365,$4000_const,1
365,$4000_vol,12
366,$400C_const,1
366,$400C_vol,8
366,$4004_duty,3
366,$4004_const,1
366,$4004_vol,12
366,$4000_duty,0
366,$4000_const,1
366,$4000_vol,12
367,$400C_const,1
367,$400C_vol,6
367,$4004_duty,3
367,$4004_const,1
367,$4004_vol,12
367,$4000_duty,0
367,$4000_const,1
367,$4000_vol,12
368,$400C_const,1
368,$400C_vol,6
368,$4004_duty,3
368,$4004_const,1
368,$4004_vol,12
368,$4000_duty,0
368,$4000_const,1
368,$4000_vol,12
369,$400C_const,1
369,$400C_vol,5
369,$4004_duty,3
369,$4004_const,1
369,$4004_vol,12
369,$4000_duty,0
369,$4000_const,1
369,$4000_vol,12
370,$400C_const,1
370,$400C_vol,5
370,$4004_duty,3
370,$4004_const,1
370,$4004_vol,12
370,$4000_duty,0
370,$4000_const,1
370,$4000_vol,12
371,$400C_const,1
371,$400C_vol,15
371,$400E_period,9
371,$400E_mode,0
371,$4004_duty,3
371,$4004_const,1
371,$4004_vol,12
371,$4000_duty,0
371,$4000_const,1
371,$4000_vol,12
