frame,parameter,value
139,$4000_duty,0
139,$4000_const,0
139,$4000_vol,0
139,$4001_sweep,0
139,$4002_period,1
139,$400B_length,0
139,$4004_duty,0
139,$4004_const,0
139,$4004_vol,0
139,$4005_sweep,0
139,$4006_period,1
139,$4008_linear,0
139,$400A_period,1
139,$400B_length,0
139,$400C_const,0
139,$400C_vol,0
139,$400E_period,0
139,$400E_mode,0
140,$4000_duty,0
140,$4000_const,0
140,$4000_vol,0
140,$4004_duty,0
140,$4004_const,0
140,$4004_vol,0
140,$4008_linear,127
141,$4000_duty,1
141,$4000_const,1
141,$4000_vol,0
141,$4002_period,761
141,$400B_length,9
141,$4001_sweep,0
141,$4004_duty,2
141,$4004_const,1
141,$4004_vol,0
141,$4006_period,3439
141,$4005_sweep,0
141,$4008_linear,127
141,$400A_period,3453
141,$400B_length,14
141,$4000_duty,1
141,$4000_const,1
141,$4000_vol,3
141,$4004_duty,2
141,$4004_const,1
141,$4004_vol,5
141,$4008_linear,127
142,$4004_duty,2
142,$4004_const,1
142,$4004_vol,0
142,$4006_period,915
142,$4005_sweep,0
142,$4000_duty,1
142,$4000_const,1
142,$4000_vol,7
142,$4004_duty,2
142,$4004_const,1
142,$4004_vol,5
143,$4000_duty,1
143,$4000_const,1
143,$4000_vol,10
143,$4004_duty,2
143,$4004_const,1
143,$4004_vol,5
144,$4000_duty,1
144,$4000_const,1
144,$4000_vol,10
144,$4004_duty,2
144,$4004_const,1
144,$4004_vol,5
145,$4000_duty,1
145,$4000_const,1
145,$4000_vol,10
145,$4004_duty,2
145,$4004_const,1
145,$4004_vol,5
146,$4000_duty,1
146,$4000_const,1
146,$4000_vol,10
146,$4004_duty,2
146,$4004_const,1
146,$4004_vol,5
147,$4000_duty,1
147,$4000_const,1
147,$4000_vol,9
147,$4004_duty,2
147,$4004_const,1
147,$4004_vol,1
148,$4000_duty,1
148,$4000_const,1
148,$4000_vol,8
148,$4004_duty,2
148,$4004_const,1
148,$4004_vol,0
149,$4000_duty,1
149,$4000_const,1
149,$4000_vol,0
149,$4002_period,761
149,$400B_length,9
149,$4001_sweep,0
149,$4004_duty,2
149,$4004_const,1
149,$4004_vol,0
149,$4006_period,915
149,$4005_sweep,0
149,$4000_duty,1
149,$4000_const,1
149,$4000_vol,10
149,$4004_duty,2
149,$4004_const,1
149,$4004_vol,5
150,$4000_duty,1
150,$4000_const,1
150,$4000_vol,10
150,$4004_duty,2
150,$4004_const,1
150,$4004_vol,5
151,$4000_duty,1
151,$4000_const,1
151,$4000_vol,10
151,$4004_duty,2
151,$4004_const,1
151,$4004_vol,5
152,$4000_duty,1
152,$4000_const,1
152,$4000_vol,10
152,$4004_duty,2
152,$4004_const,1
152,$4004_vol,5
153,$4000_duty,1
153,$4000_const,1
153,$4000_vol,10
153,$4004_duty,2
153,$4004_const,1
153,$4004_vol,5
154,$4000_duty,1
154,$4000_const,1
154,$4000_vol,10
154,$4004_duty,2
154,$4004_const,1
154,$4004_vol,5
155,$4000_duty,1
155,$4000_const,1
155,$4000_vol,10
155,$4004_duty,2
155,$4004_const,1
155,$4004_vol,5
156,$4000_duty,1
156,$4000_const,1
156,$4000_vol,9
156,$4004_duty,2
156,$4004_const,1
156,$4004_vol,1
157,$4000_duty,1
157,$4000_const,1
157,$4000_vol,8
157,$4004_duty,2
157,$4004_const,1
157,$4004_vol,0
158,$4000_duty,1
158,$4000_const,1
158,$4000_vol,0
158,$4002_period,761
158,$400B_length,9
158,$4001_sweep,0
158,$4004_duty,2
158,$4004_const,1
158,$4004_vol,0
158,$4006_period,915
158,$4005_sweep,0
158,$4000_duty,1
158,$4000_const,1
158,$4000_vol,10
158,$4004_duty,2
158,$4004_const,1
158,$4004_vol,5
159,$4000_duty,1
159,$4000_const,1
159,$4000_vol,10
159,$4004_duty,2
159,$4004_const,1
159,$4004_vol,5
160,$4000_duty,1
160,$4000_const,1
160,$4000_vol,10
160,$4004_duty,2
160,$4004_const,1
160,$4004_vol,5
161,$4000_duty,1
161,$4000_const,1
161,$4000_vol,10
161,$4004_duty,2
161,$4004_const,1
161,$4004_vol,5
162,$4000_duty,1
162,$4000_const,1
162,$4000_vol,10
162,$4004_duty,2
162,$4004_const,1
162,$4004_vol,5
163,$4000_duty,1
163,$4000_const,1
163,$4000_vol,10
163,$4004_duty,2
163,$4004_const,1
163,$4004_vol,5
164,$4000_duty,1
164,$4000_const,1
164,$4000_vol,9
164,$4004_duty,2
164,$4004_const,1
164,$4004_vol,1
165,$4000_duty,1
165,$4000_const,1
165,$4000_vol,8
165,$4004_duty,2
165,$4004_const,1
165,$4004_vol,0
166,$4000_duty,1
166,$4000_const,1
166,$4000_vol,0
166,$4002_period,453
166,$400B_length,8
166,$4001_sweep,0
166,$4004_duty,2
166,$4004_const,1
166,$4004_vol,0
166,$4006_period,577
166,$4005_sweep,0
166,$4000_duty,1
166,$4000_const,1
166,$4000_vol,10
166,$4004_duty,2
166,$4004_const,1
166,$4004_vol,5
167,$4000_duty,1
167,$4000_const,1
167,$4000_vol,10
167,$4004_duty,2
167,$4004_const,1
167,$4004_vol,5
168,$4000_duty,1
168,$4000_const,1
168,$4000_vol,10
168,$4004_duty,2
168,$4004_const,1
