frame,parameter,value
202,$400A_period,1
202,$400B_length,248
202,$4008_linear,127
202,$4005_sweep,8
202,$4006_period,423
202,$4004_duty,3
202,$4004_const,1
202,$4004_vol,4
202,$4001_sweep,8
202,$4002_period,1
202,$400B_length,248
202,$4000_duty,1
202,$4000_const,1
202,$4000_vol,12
203,$4008_linear,127
203,$4004_duty,3
203,$4004_const,1
203,$4004_vol,6
203,$4000_duty,1
203,$4000_const,1
203,$4000_vol,13
204,$4008_linear,127
204,$4004_duty,3
204,$4004_const,1
204,$4004_vol,8
204,$4000_duty,1
204,$4000_const,1
204,$4000_vol,13
205,$4008_linear,127
205,$4004_duty,3
205,$4004_const,1
205,$4004_vol,8
205,$4000_duty,1
205,$4000_const,1
205,$4000_vol,13
206,$4008_linear,127
206,$4004_duty,3
206,$4004_const,1
206,$4004_vol,8
206,$4000_duty,1
206,$4000_const,1
206,$4000_vol,12
207,$4008_linear,127
207,$4004_duty,3
207,$4004_const,1
207,$4004_vol,8
207,$4000_duty,1
207,$4000_const,1
207,$4000_vol,12
208,$4008_linear,127
208,$4004_duty,3
208,$4004_const,1
208,$4004_vol,8
208,$4000_duty,1
208,$4000_const,1
208,$4000_vol,10
209,$4008_linear,127
209,$4004_duty,3
209,$4004_const,1
209,$4004_vol,8
209,$4000_duty,1
209,$4000_const,1
209,$4000_vol,10
210,$4008_linear,127
210,$4004_duty,3
210,$4004_const,1
210,$4004_vol,7
210,$4000_duty,1
210,$4000_const,1
210,$4000_vol,8
211,$4008_linear,127
211,$4004_duty,3
211,$4004_const,1
211,$4004_vol,7
211,$4000_duty,1
211,$4000_const,1
211,$4000_vol,6
212,$4008_linear,127
212,$4004_duty,3
212,$4004_const,1
212,$4004_vol,6
212,$4000_duty,1
212,$4000_const,1
212,$4000_vol,4
213,$4008_linear,127
213,$4004_duty,3
213,$4004_const,1
213,$4004_vol,6
213,$4000_duty,1
213,$4000_const,1
213,$4000_vol,4
214,$4008_linear,127
214,$4004_duty,3
214,$4004_const,1
214,$4004_vol,6
214,$4000_duty,1
214,$4000_const,1
214,$4000_vol,2
215,$4008_linear,127
215,$4004_duty,3
215,$4004_const,1
215,$4004_vol,4
215,$4000_duty,1
215,$4000_const,1
215,$4000_vol,0
216,$4008_linear,127
216,$4004_duty,3
216,$4004_const,1
216,$4004_vol,3
216,$4000_duty,1
216,$4000_const,1
216,$4000_vol,0
217,$4008_linear,127
217,$4004_duty,3
217,$4004_const,1
217,$4004_vol,3
217,$4000_duty,1
217,$4000_const,1
217,$4000_vol,0
218,$4008_linear,127
218,$4005_sweep,8
218,$4006_period,449
218,$4004_duty,3
218,$4004_const,1
218,$4004_vol,4
218,$4000_duty,1
218,$4000_const,1
218,$4000_vol,0
219,$4008_linear,127
219,$4004_duty,3
219,$4004_const,1
219,$4004_vol,6
219,$4000_duty,1
219,$4000_const,1
219,$4000_vol,0
220,$4008_linear,127
220,$4004_duty,3
220,$4004_const,1
220,$4004_vol,8
220,$4000_duty,1
220,$4000_const,1
220,$4000_vol,0
221,$4008_linear,127
221,$4004_duty,3
221,$4004_const,1
221,$4004_vol,8
221,$4000_duty,1
221,$4000_const,1
221,$4000_vol,0
222,$4008_linear,127
222,$4004_duty,3
222,$4004_const,1
222,$4004_vol,8
222,$4000_duty,1
222,$4000_const,1
222,$4000_vol,0
223,$4008_linear,127
223,$4004_duty,3
223,$4004_const,1
223,$4004_vol,8
223,$4000_duty,1
223,$4000_const,1
223,$4000_vol,0
224,$4008_linear,127
224,$4004_duty,3
224,$4004_const,1
224,$4004_vol,8
224,$4000_duty,1
224,$4000_const,1
224,$4000_vol,0
225,$4008_linear,127
225,$4004_duty,3
225,$4004_const,1
225,$4004_vol,8
225,$4000_duty,1
225,$4000_const,1
225,$4000_vol,0
226,$4008_linear,127
226,$4004_duty,3
226,$4004_const,1
226,$4004_vol,7
226,$4000_duty,1
226,$4000_const,1
226,$4000_vol,0
227,$4008_linear,127
