frame,parameter,value
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,6
2,$4005_sweep,127
2,$4006_period,357
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,6
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,0
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,6
10,$4005_sweep,127
10,$4006_period,357
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,6
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,0
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,6
18,$4005_sweep,127
18,$4006_period,357
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,6
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,6
26,$4005_sweep,127
26,$4006_period,357
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,6
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,0
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,0
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,6
34,$4005_sweep,127
34,$4006_period,357
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,6
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,0
36,$4004_duty,0
36,$4004_const,1
36,$4004_vol,0
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,6
42,$4005_sweep,127
42,$4006_period,357
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,6
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,0
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,0
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,6
50,$4005_sweep,127
50,$4006_period,357
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,6
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,0
52,$4004_duty,0
52,$4004_const,1
52,$4004_vol,0
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,6
75,$4005_sweep,127
75,$4006_period,357
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,6
77,$4004_duty,2
77,$4004_const,1
77,$4004_vol,0
77,$4004_duty,0
77,$4004_const,1
77,$4004_vol,0
83,$4004_duty,2
83,$4004_const,1
83,$4004_vol,6
83,$4005_sweep,127
83,$4006_period,357
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,6
85,$4004_duty,2
85,$4004_const,1
85,$4004_vol,0
85,$4004_duty,0
85,$4004_const,1
85,$4004_vol,0
91,$4004_duty,2
91,$4004_const,1
91,$4004_vol,6
91,$4005_sweep,127
91,$4006_period,357
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,6
93,$4004_duty,2
93,$4004_const,1
93,$4004_vol,0
93,$4004_duty,0
93,$4004_const,1
93,$4004_vol,0
99,$4004_duty,2
99,$4004_const,1
99,$4004_vol,6
99,$4005_sweep,127
99,$4006_period,357
100,$4004_duty,2
100,$4004_const,1
100,$4004_vol,6
101,$4004_duty,2
101,$4004_const,1
101,$4004_vol,0
101,$4004_duty,0
101,$4004_const,1
101,$4004_vol,0
107,$4004_duty,2
107,$4004_const,1
107,$4004_vol,6
107,$4005_sweep,127
107,$4006_period,357
108,$4004_duty,2
108,$4004_const,1
108,$4004_vol,6
109,$4004_duty,2
109,$4004_const,1
109,$4004_vol,0
109,$4004_duty,0
109,$4004_const,1
109,$4004_vol,0
115,$4004_duty,2
115,$4004_const,1
115,$4004_vol,6
115,$4005_sweep,127
115,$4006_period,357
116,$4004_duty,2
116,$4004_const,1
116,$4004_vol,6
117,$4004_duty,2
117,$4004_const,1
117,$4004_vol,0
117,$4004_duty,0
117,$4004_const,1
117,$4004_vol,0
123,$4004_duty,2
123,$4004_const,1
123,$4004_vol,6
123,$4005_sweep,127
123,$4006_period,357
124,$4004_duty,2
124,$4004_const,1
124,$4004_vol,6
125,$4004_duty,2
125,$4004_const,1
125,$4004_vol,0
125,$4004_duty,0
125,$4004_const,1
125,$4004_vol,0
131,$4004_duty,2
131,$4004_const,1
131,$4004_vol,6
131,$4005_sweep,127
131,$4006_period,357
132,$4004_duty,2
132,$4004_const,1
132,$4004_vol,6
133,$4004_duty,2
133,$4004_const,1
