frame,parameter,value
122,$4002_period,381
122,$400B_length,0
122,$4000_duty,3
122,$4000_const,0
122,$4000_vol,14
122,$4006_period,1017
122,$4004_duty,1
122,$4004_const,0
122,$4004_vol,0
134,$4002_period,427
134,$400B_length,0
134,$4000_duty,3
134,$4000_const,0
134,$4000_vol,14
134,$4006_period,1017
134,$4004_duty,1
134,$4004_const,0
134,$4004_vol,0
146,$4002_period,339
146,$400B_length,0
146,$4000_duty,3
146,$4000_const,0
146,$4000_vol,14
146,$4006_period,1357
146,$4004_duty,1
146,$4004_const,0
146,$4004_vol,0
158,$4002_period,381
158,$400B_length,0
158,$4000_duty,3
158,$4000_const,0
158,$4000_vol,14
158,$4006_period,1141
158,$4004_duty,1
158,$4004_const,0
158,$4004_vol,0
170,$4006_period,1017
170,$4004_duty,1
170,$4004_const,0
170,$4004_vol,0
182,$4002_period,427
182,$400B_length,0
182,$4000_duty,3
182,$4000_const,0
182,$4000_vol,14
182,$4006_period,1017
182,$4004_duty,1
182,$4004_const,0
182,$4004_vol,0
194,$4002_period,339
194,$400B_length,0
194,$4000_duty,3
194,$4000_const,0
194,$4000_vol,14
194,$4006_period,1357
194,$4004_duty,1
194,$4004_const,0
194,$4004_vol,0
206,$4002_period,381
206,$400B_length,0
206,$4000_duty,3
206,$4000_const,0
206,$4000_vol,14
206,$4006_period,1141
206,$4004_duty,1
206,$4004_const,0
206,$4004_vol,0
218,$4006_period,1017
218,$4004_duty,1
218,$4004_const,0
218,$4004_vol,0
230,$4002_period,427
230,$400B_length,0
230,$4000_duty,3
230,$4000_const,0
230,$4000_vol,14
230,$4006_period,1017
230,$4004_duty,1
230,$4004_const,0
230,$4004_vol,0
242,$4002_period,339
242,$400B_length,0
242,$4000_duty,3
242,$4000_const,0
242,$4000_vol,14
242,$4006_period,1357
242,$4004_duty,1
242,$4004_const,0
242,$4004_vol,0
254,$4002_period,381
254,$400B_length,0
254,$4000_duty,3
254,$4000_const,0
254,$4000_vol,14
254,$4006_period,1141
254,$4004_duty,1
254,$4004_const,0
254,$4004_vol,0
266,$4006_period,1017
266,$4004_duty,1
266,$4004_const,0
266,$4004_vol,0
278,$4002_period,427
278,$400B_length,0
278,$4000_duty,3
278,$4000_const,0
278,$4000_vol,14
278,$4006_period,1017
278,$4004_duty,1
278,$4004_const,0
278,$4004_vol,0
290,$4002_period,381
290,$400B_length,0
290,$4000_duty,3
290,$4000_const,0
290,$4000_vol,14
290,$4006_period,1357
290,$4004_duty,1
290,$4004_const,0
290,$4004_vol,0
302,$4002_period,339
302,$400B_length,0
302,$4000_duty,3
302,$4000_const,0
302,$4000_vol,14
302,$4006_period,1017
302,$4004_duty,1
302,$4004_const,0
302,$4004_vol,0
314,$4002_period,381
314,$400B_length,0
314,$4000_duty,3
314,$4000_const,0
314,$4000_vol,14
314,$4006_period,1281
314,$4004_duty,1
314,$4004_const,0
314,$4004_vol,0
326,$4006_period,1281
326,$4004_duty,1
326,$4004_const,0
326,$4004_vol,0
338,$4006_period,1523
338,$4004_duty,1
338,$4004_const,0
338,$4004_vol,0
350,$4002_period,427
350,$400B_length,0
350,$4000_duty,3
350,$4000_const,0
350,$4000_vol,14
350,$4006_period,1711
350,$4004_duty,1
350,$4004_const,0
350,$4004_vol,0
362,$4006_period,1281
362,$4004_duty,1
362,$4004_const,0
362,$4004_vol,0
374,$4006_period,1281
374,$4004_duty,1
374,$4004_const,0
374,$4004_vol,0
386,$4002_period,509
386,$400B_length,0
386,$4000_duty,3
386,$4000_const,0
386,$4000_vol,14
386,$4006_period,1523
386,$4004_duty,1
386,$4004_const,0
386,$4004_vol,0
398,$4002_period,427
398,$400B_length,0
398,$4000_duty,3
398,$4000_const,0
398,$4000_vol,14
398,$4006_period,1711
398,$4004_duty,1
398,$4004_const,0
398,$4004_vol,0
410,$4002_period,381
410,$400B_length,0
410,$4000_duty,3
410,$4000_const,0
410,$4000_vol,14
410,$4006_period,1281
410,$4004_duty,1
410,$4004_const,0
410,$4004_vol,0
422,$4002_period,359
422,$400B_length,0
422,$4000_duty,3
422,$4000_const,0
422,$4000_vol,14
422,$4006_period,1281
422,$4004_duty,1
422,$4004_const,0
422,$4004_vol,0
434,$4002_period,381
434,$400B_length,0
434,$4000_duty,3
434,$4000_const,0
434,$4000_vol,14
434,$4006_period,1523
434,$4004_duty,1
434,$4004_const,0
434,$4004_vol,0
446,$4002_period,427
446,$400B_length,0
446,$4000_duty,3
446,$4000_const,0
446,$4000_vol,14
446,$4006_period,1711
446,$4004_duty,1
446,$4004_const,0
446,$4004_vol,0
458,$4006_period,1281
458,$4004_duty,1
458,$4004_const,0
458,$4004_vol,0
470,$4002_period,571
470,$400B_length,1
470,$4000_duty,3
470,$4000_const,0
470,$4000_vol,14
470,$4006_period,1711
470,$4004_duty,1
470,$4004_const,0
470,$4004_vol,0
482,$4002_period,509
482,$400B_length,0
482,$4000_duty,3
482,$4000_const,0
482,$4000_vol,14
482,$4006_period,1523
482,$4004_duty,1
482,$4004_const,0
482,$4004_vol,0
494,$4002_period,427
494,$400B_length,0
494,$4000_duty,3
494,$4000_const,0
494,$4000_vol,14
494,$4006_period,1281
494,$4004_duty,1
494,$4004_const,0
494,$4004_vol,0
506,$4002_period,453
506,$400B_length,0
506,$4000_duty,3
506,$4000_const,0
506,$4000_vol,14
506,$4006_period,1141
506,$4004_duty,1
506,$4004_const,0
506,$4004_vol,0
518,$4006_period,1141
518,$4004_duty,1
518,$4004_const,0
518,$4004_vol,0
530,$4002_period,453
530,$400B_length,0
530,$4000_duty,3
530,$4000_const,0
530,$4000_vol,14
530,$4006_period,1357
530,$4004_duty,1
530,$4004_const,0
530,$4004_vol,0
542,$4006_period,1523
542,$4004_duty,1
542,$4004_const,0
542,$4004_vol,0
554,$4002_period,453
554,$400B_length,0
554,$4000_duty,3
554,$4000_const,0
554,$4000_vol,14
554,$4006_period,1141
554,$4004_duty,1
554,$4004_const,0
554,$4004_vol,0
566,$4002_period,427
566,$400B_length,0
566,$4000_duty,3
566,$4000_const,0
566,$4000_vol,14
566,$4006_period,1141
566,$4004_duty,1
566,$4004_const,0
566,$4004_vol,0
578,$4002_period,381
578,$400B_length,0
578,$4000_duty,3
578,$4000_const,0
578,$4000_vol,14
578,$4006_period,1017
578,$4004_duty,1
578,$4004_const,0
578,$4004_vol,0
590,$4002_period,339
590,$400B_length,0
590,$4000_duty,3
590,$4000_const,0
590,$4000_vol,14
590,$4006_period,907
590,$4004_duty,1
590,$4004_const,0
590,$4004_vol,0
602,$4006_period,855
602,$4004_duty,1
602,$4004_const,0
602,$4004_vol,0
614,$4002_period,339
614,$400B_length,0
614,$4000_duty,3
614,$4000_const,0
614,$4000_vol,14
614,$4006_period,1141
614,$4004_duty,1
614,$4004_const,0
614,$4004_vol,0
626,$4006_period,1357
626,$4004_duty,1
626,$4004_const,0
626,$4004_vol,0
638,$4002_period,339
638,$400B_length,0
638,$4000_duty,3
638,$4000_const,0
638,$4000_vol,14
638,$4006_period,1141
638,$4004_duty,1
638,$4004_const,0
638,$4004_vol,0
650,$4006_period,855
650,$4004_duty,1
650,$4004_const,0
650,$4004_vol,0
662,$4002_period,381
662,$400B_length,0
662,$4000_duty,3
662,$4000_const,0
662,$4000_vol,14
662,$4006_period,1141
662,$4004_duty,1
662,$4004_const,0
662,$4004_vol,0
674,$4002_period,339
674,$400B_length,0
