frame,parameter,value
229,$400C_const,0
229,$400C_vol,0
229,$400E_period,15
229,$400E_mode,0
229,$400C_const,1
229,$400C_vol,11
229,$4008_linear,0
229,$400A_period,283
229,$400B_length,0
229,$4008_linear,13
229,$4004_duty,0
229,$4004_const,0
229,$4004_vol,0
229,$4005_sweep,127
229,$4006_period,3421
229,$4004_duty,0
229,$4004_const,1
229,$4004_vol,13
229,$4000_duty,0
229,$4000_const,0
229,$4000_vol,0
229,$4001_sweep,127
229,$4002_period,425
229,$400B_length,0
229,$4000_duty,0
229,$4000_const,1
229,$4000_vol,13
230,$400C_const,1
230,$400C_vol,10
230,$4008_linear,13
230,$4004_duty,0
230,$4004_const,1
230,$4004_vol,13
230,$4000_duty,0
230,$4000_const,1
230,$4000_vol,13
231,$400C_const,1
231,$400C_vol,9
231,$4008_linear,13
231,$4004_duty,0
231,$4004_const,1
231,$4004_vol,13
231,$4000_duty,0
231,$4000_const,1
231,$4000_vol,13
232,$400C_const,1
232,$400C_vol,8
232,$4008_linear,13
232,$4004_duty,1
232,$4004_const,1
232,$4004_vol,13
232,$4000_duty,0
232,$4000_const,1
232,$4000_vol,13
233,$400C_const,1
233,$400C_vol,8
233,$4008_linear,13
233,$4004_duty,1
233,$4004_const,1
233,$4004_vol,13
233,$4000_duty,0
233,$4000_const,1
233,$4000_vol,13
234,$400C_const,1
234,$400C_vol,7
234,$4008_linear,13
234,$4004_duty,1
234,$4004_const,1
234,$4004_vol,13
234,$4000_duty,0
234,$4000_const,1
234,$4000_vol,13
235,$400C_const,1
235,$400C_vol,6
235,$4008_linear,13
235,$4004_duty,2
235,$4004_const,1
235,$4004_vol,13
235,$4000_duty,0
235,$4000_const,1
235,$4000_vol,13
236,$400C_const,1
236,$400C_vol,5
236,$4008_linear,13
236,$4004_duty,2
236,$4004_const,1
236,$4004_vol,13
236,$4000_duty,0
236,$4000_const,1
236,$4000_vol,13
237,$400C_const,1
237,$400C_vol,5
237,$4008_linear,13
237,$4004_duty,2
237,$4004_const,1
237,$4004_vol,13
237,$4000_duty,0
237,$4000_const,1
237,$4000_vol,13
238,$400C_const,1
238,$400C_vol,4
238,$4008_linear,13
238,$4004_duty,2
238,$4004_const,1
238,$4004_vol,13
238,$4000_duty,0
238,$4000_const,1
238,$4000_vol,13
239,$400C_const,1
239,$400C_vol,3
239,$4008_linear,13
239,$4004_duty,2
239,$4004_const,1
239,$4004_vol,13
239,$4000_duty,0
239,$4000_const,1
239,$4000_vol,13
240,$400C_const,0
240,$400C_vol,0
240,$400E_period,2
240,$400E_mode,0
240,$400C_const,1
240,$400C_vol,11
240,$4008_linear,13
240,$4004_duty,2
240,$4004_const,1
240,$4004_vol,13
240,$4000_duty,0
240,$4000_const,1
240,$4000_vol,13
241,$400C_const,1
241,$400C_vol,10
241,$4008_linear,13
241,$4004_duty,2
241,$4004_const,1
241,$4004_vol,13
241,$4000_duty,0
241,$4000_const,1
241,$4000_vol,13
242,$400C_const,1
242,$400C_vol,9
242,$4008_linear,13
242,$4004_duty,2
242,$4004_const,1
242,$4004_vol,13
242,$4000_duty,0
242,$4000_const,1
242,$4000_vol,13
243,$400C_const,1
243,$400C_vol,8
243,$4008_linear,13
243,$4004_duty,2
243,$4004_const,1
243,$4004_vol,13
243,$4000_duty,0
243,$4000_const,1
243,$4000_vol,13
244,$400C_const,1
244,$400C_vol,8
244,$4008_linear,13
244,$4004_duty,2
244,$4004_const,1
244,$4004_vol,13
244,$4000_duty,0
244,$4000_const,1
244,$4000_vol,13
245,$400C_const,1
245,$400C_vol,7
245,$4008_linear,13
245,$4004_duty,2
245,$4004_const,1
245,$4004_vol,13
245,$4000_duty,0
245,$4000_const,1
245,$4000_vol,13
