frame,parameter,value
624,$4008_linear,86
624,$400A_period,637
624,$400B_length,9
624,$4000_duty,1
624,$4000_const,1
624,$4000_vol,14
624,$4001_sweep,90
624,$4002_period,477
624,$400B_length,8
668,$4000_duty,1
668,$4000_const,1
668,$4000_vol,14
668,$4001_sweep,90
668,$4002_period,637
668,$400B_length,9
675,$4000_duty,1
675,$4000_const,1
675,$4000_vol,14
675,$4001_sweep,90
675,$4002_period,601
675,$400B_length,9
682,$4000_duty,1
682,$4000_const,1
682,$4000_vol,14
682,$4001_sweep,90
682,$4002_period,535
682,$400B_length,9
740,$4008_linear,86
740,$400A_period,717
740,$400B_length,9
768,$4008_linear,86
768,$400A_period,535
768,$400B_length,9
797,$4008_linear,86
797,$400A_period,601
797,$400B_length,9
