frame,parameter,value
243,$400C_const,1
243,$400C_vol,15
243,$400E_period,15
243,$400E_mode,1
243,$400A_period,567
243,$400B_length,249
243,$4008_linear,127
243,$4005_sweep,8
243,$4006_period,2263
243,$4004_duty,0
243,$4004_const,1
243,$4004_vol,7
243,$4001_sweep,8
243,$4002_period,379
243,$400B_length,248
243,$4000_duty,0
243,$4000_const,1
243,$4000_vol,8
244,$400C_const,1
244,$400C_vol,8
244,$400E_period,15
244,$400E_mode,1
244,$4008_linear,127
244,$4004_duty,0
244,$4004_const,1
244,$4004_vol,6
244,$4000_duty,0
244,$4000_const,1
244,$4000_vol,8
245,$400C_const,1
245,$400C_vol,0
245,$400E_period,15
245,$400E_mode,1
245,$4008_linear,127
245,$4004_duty,0
245,$4004_const,1
245,$4004_vol,5
245,$4000_duty,0
245,$4000_const,1
245,$4000_vol,8
246,$4008_linear,127
246,$4004_duty,0
246,$4004_const,1
246,$4004_vol,4
246,$4000_duty,0
246,$4000_const,1
246,$4000_vol,7
247,$4008_linear,127
247,$4004_duty,0
247,$4004_const,1
247,$4004_vol,4
247,$4000_duty,0
247,$4000_const,1
247,$4000_vol,7
248,$4008_linear,127
248,$4004_duty,0
248,$4004_const,1
248,$4004_vol,4
248,$4000_duty,0
248,$4000_const,1
248,$4000_vol,7
249,$4008_linear,127
249,$4004_duty,0
249,$4004_const,1
249,$4004_vol,4
249,$4000_duty,0
249,$4000_const,1
249,$4000_vol,6
250,$4008_linear,127
250,$4004_duty,0
250,$4004_const,1
250,$4004_vol,4
250,$4000_duty,0
250,$4000_const,1
250,$4000_vol,6
251,$4008_linear,127
251,$4004_duty,0
251,$4004_const,1
251,$4004_vol,4
251,$4000_duty,0
251,$4000_const,1
251,$4000_vol,5
252,$4008_linear,127
252,$4004_duty,0
252,$4004_const,1
252,$4004_vol,4
252,$4000_duty,0
252,$4000_const,1
252,$4000_vol,5
253,$4008_linear,127
253,$4004_duty,0
253,$4004_const,1
253,$4004_vol,4
253,$4000_duty,0
253,$4000_const,1
253,$4000_vol,5
254,$4008_linear,127
254,$4004_duty,0
254,$4004_const,1
254,$4004_vol,4
254,$4000_duty,0
254,$4000_const,1
254,$4000_vol,4
255,$4008_linear,127
255,$4004_duty,0
255,$4004_const,1
255,$4004_vol,4
255,$4000_duty,0
255,$4000_const,1
255,$4000_vol,4
256,$4008_linear,127
256,$4004_duty,0
256,$4004_const,1
256,$4004_vol,4
256,$4000_duty,0
256,$4000_const,1
256,$4000_vol,3
257,$4008_linear,127
257,$4004_duty,0
257,$4004_const,1
257,$4004_vol,4
257,$4000_duty,0
257,$4000_const,1
257,$4000_vol,3
258,$4008_linear,0
258,$4004_duty,0
258,$4004_const,1
258,$4004_vol,5
258,$4000_duty,0
258,$4000_const,1
258,$4000_vol,3
259,$4008_linear,0
259,$4004_duty,0
259,$4004_const,1
259,$4004_vol,4
259,$4000_duty,0
259,$4000_const,1
259,$4000_vol,2
260,$4008_linear,0
260,$4004_duty,0
260,$4004_const,1
260,$4004_vol,5
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,2
261,$4008_linear,0
261,$4004_duty,0
261,$4004_const,1
261,$4004_vol,5
261,$4000_duty,0
261,$4000_const,1
261,$4000_vol,2
262,$4008_linear,0
262,$4004_duty,0
262,$4004_const,1
262,$4004_vol,4
262,$4000_duty,0
262,$4000_const,1
262,$4000_vol,1
263,$4008_linear,0
263,$4004_duty,0
263,$4004_const,1
263,$4004_vol,5
263,$4000_duty,0
263,$4000_const,1
263,$4000_vol,0
264,$4008_linear,0
264,$4004_duty,0
264,$4004_const,1
264,$4004_vol,4
264,$4000_duty,0
264,$4000_const,1
264,$4000_vol,0
265,$4008_linear,0
265,$4004_duty,0
265,$4004_const,1
265,$4004_vol,0
265,$4000_duty,0
265,$4000_const,1
265,$4000_vol,0
266,$4008_linear,0
266,$4004_duty,0
266,$4004_const,1
266,$4004_vol,0
266,$4000_duty,0
266,$4000_const,1
266,$4000_vol,0
267,$4008_linear,0
267,$4004_duty,0
267,$4004_const,1
267,$4004_vol,0
267,$4000_duty,0
267,$4000_const,1
267,$4000_vol,0
268,$4008_linear,0
268,$4004_duty,0
268,$4004_const,1
268,$4004_vol,0
268,$4000_duty,0
268,$4000_const,1
268,$4000_vol,0
269,$4008_linear,0
269,$4004_duty,0
269,$4004_const,1
269,$4004_vol,0
269,$4000_duty,0
269,$4000_const,1
269,$4000_vol,0
270,$4008_linear,0
270,$4004_duty,0
270,$4004_const,1
270,$4004_vol,0
270,$4000_duty,0
270,$4000_const,1
270,$4000_vol,0
271,$4008_linear,0
271,$4004_duty,0
271,$4004_const,1
271,$4004_vol,0
271,$4000_duty,0
271,$4000_const,1
271,$4000_vol,0
272,$4008_linear,0
272,$4004_duty,0
272,$4004_const,1
272,$4004_vol,0
272,$4000_duty,0
272,$4000_const,1
272,$4000_vol,0
273,$400C_const,1
273,$400C_vol,5
273,$400E_period,8
273,$400E_mode,0
273,$400A_period,567
273,$400B_length,249
273,$4008_linear,127
273,$4005_sweep,8
273,$4006_period,1509
273,$4004_duty,0
273,$4004_const,1
273,$4004_vol,7
273,$4000_duty,0
273,$4000_const,1
273,$4000_vol,0
274,$400C_const,1
274,$400C_vol,4
274,$400E_period,8
274,$400E_mode,0
274,$4008_linear,127
274,$4004_duty,0
274,$4004_const,1
274,$4004_vol,6
274,$4000_duty,0
274,$4000_const,1
274,$4000_vol,0
275,$400C_const,1
275,$400C_vol,3
275,$400E_period,8
275,$400E_mode,0
275,$4008_linear,127
275,$4004_duty,0
275,$4004_const,1
275,$4004_vol,5
275,$4000_duty,0
275,$4000_const,1
275,$4000_vol,0
276,$400C_const,1
276,$400C_vol,2
276,$400E_period,8
276,$400E_mode,0
276,$4008_linear,127
276,$4004_duty,0
276,$4004_const,1
276,$4004_vol,5
276,$4000_duty,0
276,$4000_const,1
276,$4000_vol,0
277,$400C_const,1
277,$400C_vol,1
277,$400E_period,8
277,$400E_mode,0
277,$4008_linear,127
277,$4004_duty,0
277,$4004_const,1
277,$4004_vol,4
277,$4000_duty,0
277,$4000_const,1
277,$4000_vol,0
278,$400C_const,1
278,$400C_vol,0
278,$400E_period,8
278,$400E_mode,0
278,$4008_linear,127
278,$4004_duty,0
278,$4004_const,1
278,$4004_vol,4
278,$4000_duty,0
278,$4000_const,1
278,$4000_vol,0
279,$4008_linear,127
279,$4004_duty,0
279,$4004_const,1
279,$4004_vol,4
279,$4000_duty,0
279,$4000_const,1
279,$4000_vol,0
280,$4008_linear,127
280,$4004_duty,0
280,$4004_const,1
280,$4004_vol,4
280,$4000_duty,0
280,$4000_const,1
280,$4000_vol,0
281,$4008_linear,0
281,$4004_duty,0
281,$4004_const,1
281,$4004_vol,4
281,$4000_duty,0
281,$4000_const,1
281,$4000_vol,0
282,$4008_linear,0
282,$4004_duty,0
282,$4004_const,1
282,$4004_vol,5
282,$4000_duty,0
282,$4000_const,1
282,$4000_vol,0
283,$4008_linear,0
283,$4004_duty,0
283,$4004_const,1
283,$4004_vol,4
283,$4000_duty,0
283,$4000_const,1
283,$4000_vol,0
284,$4008_linear,0
284,$4004_duty,0
284,$4004_const,1
284,$4004_vol,5
284,$4000_duty,0
284,$4000_const,1
284,$4000_vol,0
285,$4008_linear,0
285,$4004_duty,0
285,$4004_const,1
285,$4004_vol,5
285,$4000_duty,0
285,$4000_const,1
285,$4000_vol,0
286,$4008_linear,0
286,$4004_duty,0
286,$4004_const,1
286,$4004_vol,4
286,$4000_duty,0
286,$4000_const,1
286,$4000_vol,0
287,$4008_linear,0
287,$4004_duty,0
287,$4004_const,1
287,$4004_vol,5
287,$4000_duty,0
287,$4000_const,1
287,$4000_vol,0
288,$400A_period,635
288,$400B_length,249
288,$4008_linear,127
288,$4005_sweep,8
288,$4006_period,3017
288,$4004_duty,0
288,$4004_const,1
288,$4004_vol,7
288,$4000_duty,0
288,$4000_const,1
288,$4000_vol,0
289,$4008_linear,127
289,$4004_duty,0
289,$4004_const,1
289,$4004_vol,6
289,$4000_duty,0
289,$4000_const,1
289,$4000_vol,0
290,$4008_linear,127
290,$4004_duty,0
290,$4004_const,1
290,$4004_vol,6
290,$4000_duty,0
290,$4000_const,1
290,$4000_vol,0
291,$4008_linear,127
291,$4004_duty,0
291,$4004_const,1
291,$4004_vol,5
291,$4000_duty,0
291,$4000_const,1
291,$4000_vol,0
292,$4008_linear,127
292,$4004_duty,0
292,$4004_const,1
292,$4004_vol,4
292,$4000_duty,0
292,$4000_const,1
292,$4000_vol,0
293,$4008_linear,127
293,$4004_duty,0
293,$4004_const,1
293,$4004_vol,4
293,$4000_duty,0
293,$4000_const,1
293,$4000_vol,0
294,$4008_linear,127
294,$4004_duty,0
