frame,parameter,value
419,$4000_duty,2
419,$4000_const,0
419,$4000_vol,7
419,$4001_sweep,46
419,$4002_period,539
419,$400B_length,65
419,$4004_duty,0
419,$4004_const,1
419,$4004_vol,11
419,$4005_sweep,10
419,$4006_period,679
419,$4008_linear,42
419,$400A_period,339
419,$400B_length,248
427,$4008_linear,42
427,$400A_period,339
427,$400B_length,248
438,$4000_duty,2
438,$4000_const,0
438,$4000_vol,7
438,$4001_sweep,46
438,$4002_period,539
438,$400B_length,65
438,$4004_duty,0
438,$4004_const,1
438,$4004_vol,11
438,$4005_sweep,10
438,$4006_period,679
440,$4000_duty,2
440,$4000_const,0
440,$4000_vol,7
440,$4001_sweep,46
440,$4002_period,539
440,$400B_length,65
440,$4004_duty,0
440,$4004_const,1
440,$4004_vol,11
440,$4005_sweep,10
440,$4006_period,679
444,$4000_duty,2
444,$4000_const,0
444,$4000_vol,7
444,$4001_sweep,46
444,$4002_period,539
444,$400B_length,65
444,$4004_duty,0
444,$4004_const,1
444,$4004_vol,11
444,$4005_sweep,10
444,$4006_period,679
447,$4000_duty,2
447,$4000_const,0
447,$4000_vol,7
447,$4001_sweep,46
447,$4002_period,509
447,$400B_length,64
447,$4004_duty,0
447,$4004_const,1
447,$4004_vol,11
447,$4005_sweep,10
447,$4006_period,605
447,$4008_linear,42
447,$400A_period,453
447,$400B_length,248
451,$4000_duty,2
451,$4000_const,0
451,$4000_vol,7
451,$4001_sweep,46
451,$4002_period,509
451,$400B_length,64
451,$4004_duty,0
451,$4004_const,1
451,$4004_vol,11
451,$4005_sweep,10
451,$4006_period,605
455,$4008_linear,42
455,$400A_period,453
455,$400B_length,248
461,$4000_duty,2
461,$4000_const,0
461,$4000_vol,7
461,$4001_sweep,46
461,$4002_period,453
461,$400B_length,64
461,$4004_duty,0
461,$4004_const,1
461,$4004_vol,11
461,$4005_sweep,10
461,$4006_period,539
465,$4000_duty,2
465,$4000_const,0
465,$4000_vol,7
465,$4001_sweep,46
465,$4002_period,453
465,$400B_length,64
465,$4004_duty,0
465,$4004_const,1
465,$4004_vol,11
465,$4005_sweep,10
465,$4006_period,539
475,$4000_duty,2
475,$4000_const,0
475,$4000_vol,7
475,$4001_sweep,46
475,$4002_period,339
475,$400B_length,64
475,$4004_duty,0
475,$4004_const,1
475,$4004_vol,11
475,$4005_sweep,10
475,$4006_period,453
475,$4008_linear,42
475,$400A_period,381
475,$400B_length,248
483,$4008_linear,42
483,$400A_period,381
483,$400B_length,248
496,$4000_duty,2
496,$4000_const,0
496,$4000_vol,7
496,$4001_sweep,46
496,$4002_period,339
496,$400B_length,64
496,$4004_duty,0
496,$4004_const,1
496,$4004_vol,11
496,$4005_sweep,10
496,$4006_period,453
503,$4000_duty,2
503,$4000_const,0
503,$4000_vol,7
503,$4001_sweep,46
503,$4002_period,453
503,$400B_length,64
503,$4004_duty,0
503,$4004_const,1
503,$4004_vol,11
503,$4005_sweep,10
503,$4006_period,539
503,$4008_linear,42
503,$400A_period,381
503,$400B_length,248
511,$4008_linear,42
511,$400A_period,381
511,$400B_length,248
524,$4000_duty,2
524,$4000_const,0
524,$4000_vol,7
524,$4001_sweep,46
524,$4002_period,453
524,$400B_length,64
524,$4004_duty,0
524,$4004_const,1
524,$4004_vol,11
524,$4005_sweep,10
524,$4006_period,539
531,$4000_duty,2
531,$4000_const,0
531,$4000_vol,7
531,$4001_sweep,46
531,$4002_period,453
531,$400B_length,64
531,$4004_duty,0
531,$4004_const,1
531,$4004_vol,11
531,$4005_sweep,10
531,$4006_period,679
531,$4008_linear,42
531,$400A_period,403
531,$400B_length,248
539,$4008_linear,42
539,$400A_period,403
539,$400B_length,248
550,$4000_duty,2
550,$4000_const,0
550,$4000_vol,7
550,$4001_sweep,46
550,$4002_period,453
550,$400B_length,64
550,$4004_duty,0
550,$4004_const,1
550,$4004_vol,11
550,$4005_sweep,10
550,$4006_period,679
552,$4000_duty,2
552,$4000_const,0
552,$4000_vol,7
552,$4001_sweep,46
552,$4002_period,509
552,$400B_length,64
552,$4004_duty,0
552,$4004_const,1
552,$4004_vol,11
552,$4005_sweep,10
552,$4006_period,679
556,$4000_duty,2
556,$4000_const,0
556,$4000_vol,7
556,$4001_sweep,46
556,$4002_period,509
556,$400B_length,64
556,$4004_duty,0
556,$4004_const,1
556,$4004_vol,11
556,$4005_sweep,10
556,$4006_period,679
559,$4000_duty,2
559,$4000_const,0
559,$4000_vol,7
559,$4001_sweep,46
559,$4002_period,509
559,$400B_length,64
559,$4004_duty,0
559,$4004_const,1
559,$4004_vol,11
559,$4005_sweep,10
559,$4006_period,679
559,$4008_linear,42
559,$400A_period,509
559,$400B_length,248
563,$4000_duty,2
563,$4000_const,0
563,$4000_vol,7
