frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,13
0,$4001_sweep,8
0,$4002_period,1425
0,$400B_length,10
0,$4004_duty,0
0,$4004_const,0
0,$4004_vol,0
0,$4008_linear,31
0,$400A_period,755
0,$400B_length,9
0,$400C_const,1
0,$400C_vol,15
0,$400E_period,3
0,$400E_mode,0
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,13
1,$4001_sweep,8
1,$4002_period,1345
1,$400B_length,10
1,$4004_duty,0
1,$4004_const,0
1,$4004_vol,0
1,$4008_linear,31
1,$400A_period,713
1,$400B_length,9
1,$400C_const,1
1,$400C_vol,15
1,$400E_period,2
1,$400E_mode,0
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,13
2,$4001_sweep,8
2,$4002_period,1269
2,$400B_length,10
2,$4004_duty,0
2,$4004_const,0
2,$4004_vol,0
2,$4008_linear,31
2,$400A_period,673
2,$400B_length,9
2,$400C_const,1
2,$400C_vol,15
2,$400E_period,1
2,$400E_mode,0
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,13
3,$4001_sweep,8
3,$4002_period,3017
3,$400B_length,13
3,$4004_duty,0
3,$4004_const,0
3,$4004_vol,0
3,$4008_linear,31
3,$400A_period,1599
3,$400B_length,11
3,$400C_const,1
3,$400C_vol,15
3,$400E_period,0
3,$400E_mode,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,11
4,$4001_sweep,8
4,$4002_period,2851
4,$400B_length,13
4,$4004_duty,0
4,$4004_const,0
4,$4004_vol,0
4,$4008_linear,31
4,$400A_period,1509
4,$400B_length,10
4,$400C_const,1
4,$400C_vol,15
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,11
5,$4001_sweep,8
5,$4002_period,2691
5,$400B_length,13
5,$4004_duty,0
5,$4004_const,0
5,$4004_vol,0
5,$4008_linear,31
5,$400A_period,1425
5,$400B_length,10
5,$400C_const,1
5,$400C_vol,15
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,11
6,$4001_sweep,8
6,$4002_period,2539
6,$400B_length,12
6,$4004_duty,0
6,$4004_const,0
6,$4004_vol,0
6,$4008_linear,31
6,$400A_period,1345
6,$400B_length,10
6,$400C_const,1
6,$400C_vol,15
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,11
7,$4001_sweep,8
7,$4002_period,267
7,$400B_length,8
7,$4004_duty,0
7,$4004_const,0
7,$4004_vol,0
7,$4008_linear,31
7,$400A_period,67
7,$400B_length,8
7,$400C_const,1
7,$400C_vol,15
7,$400E_period,13
7,$400E_mode,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,15
8,$4001_sweep,8
8,$4002_period,299
8,$400B_length,8
8,$4004_duty,0
8,$4004_const,0
8,$4004_vol,0
8,$4008_linear,31
8,$400A_period,75
8,$400B_length,8
8,$400C_const,1
8,$400C_vol,15
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,15
9,$4001_sweep,8
9,$4002_period,337
9,$400B_length,8
9,$4004_duty,0
9,$4004_const,0
9,$4004_vol,0
9,$4008_linear,31
9,$400A_period,85
9,$400B_length,8
9,$400C_const,1
9,$400C_vol,15
9,$400E_period,13
9,$400E_mode,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,14
10,$4001_sweep,8
10,$4002_period,377
10,$400B_length,8
10,$4004_duty,0
10,$4004_const,0
10,$4004_vol,0
10,$4008_linear,31
10,$400A_period,95
10,$400B_length,8
10,$400C_const,1
10,$400C_vol,15
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,14
11,$4001_sweep,8
11,$4002_period,423
11,$400B_length,8
11,$4004_duty,0
11,$4004_const,0
11,$4004_vol,0
11,$4008_linear,31
11,$400A_period,105
11,$400B_length,8
11,$400C_const,1
11,$400C_vol,14
11,$400E_period,13
11,$400E_mode,0
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,13
12,$4001_sweep,8
12,$4002_period,475
12,$400B_length,8
12,$4004_duty,0
12,$4004_const,0
12,$4004_vol,0
12,$4008_linear,31
12,$400A_period,119
12,$400B_length,8
12,$400C_const,1
12,$400C_vol,14
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,13
13,$4001_sweep,8
13,$4002_period,533
13,$400B_length,9
13,$4004_duty,0
13,$4004_const,0
13,$4004_vol,0
13,$4008_linear,31
13,$400A_period,133
13,$400B_length,8
13,$400C_const,1
13,$400C_vol,13
13,$400E_period,12
13,$400E_mode,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,12
14,$4001_sweep,8
14,$4002_period,599
14,$400B_length,9
14,$4004_duty,0
14,$4004_const,0
14,$4004_vol,0
14,$4008_linear,31
14,$400A_period,149
14,$400B_length,8
14,$400C_const,1
14,$400C_vol,13
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,12
15,$4001_sweep,8
15,$4002_period,673
15,$400B_length,9
15,$4004_duty,0
15,$4004_const,0
15,$4004_vol,0
15,$4008_linear,31
15,$400A_period,169
15,$400B_length,8
15,$400C_const,1
15,$400C_vol,12
15,$400E_period,12
15,$400E_mode,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,11
16,$4001_sweep,8
16,$4002_period,755
16,$400B_length,9
16,$4004_duty,0
16,$4004_const,0
16,$4004_vol,0
16,$4008_linear,31
16,$400A_period,189
16,$400B_length,8
16,$400C_const,1
16,$400C_vol,12
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,11
17,$4001_sweep,8
17,$4002_period,847
17,$400B_length,9
17,$4004_duty,0
17,$4004_const,0
17,$4004_vol,0
17,$4008_linear,31
17,$400A_period,211
17,$400B_length,8
17,$400C_const,1
17,$400C_vol,11
17,$400E_period,12
17,$400E_mode,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,10
18,$4001_sweep,8
18,$4002_period,951
18,$400B_length,9
18,$4004_duty,0
18,$4004_const,0
18,$4004_vol,0
18,$4008_linear,31
18,$400A_period,237
18,$400B_length,8
18,$400C_const,1
18,$400C_vol,11
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,10
19,$4001_sweep,8
19,$4002_period,1067
19,$400B_length,10
19,$4004_duty,0
19,$4004_const,0
19,$4004_vol,0
19,$4008_linear,31
19,$400A_period,267
19,$400B_length,8
19,$400C_const,1
19,$400C_vol,10
19,$400E_period,11
19,$400E_mode,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,9
20,$4001_sweep,8
20,$4002_period,1199
20,$400B_length,10
20,$4004_duty,0
20,$4004_const,0
20,$4004_vol,0
20,$4008_linear,31
20,$400A_period,299
20,$400B_length,8
20,$400C_const,1
20,$400C_vol,10
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,9
21,$4001_sweep,8
21,$4002_period,1345
21,$400B_length,10
21,$4004_duty,0
21,$4004_const,0
21,$4004_vol,0
21,$4008_linear,31
21,$400A_period,337
21,$400B_length,8
21,$400C_const,1
21,$400C_vol,9
21,$400E_period,11
21,$400E_mode,0
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,8
22,$4001_sweep,8
22,$4002_period,1509
22,$400B_length,10
22,$4004_duty,0
22,$4004_const,0
22,$4004_vol,0
22,$4008_linear,31
22,$400A_period,377
22,$400B_length,8
22,$400C_const,1
22,$400C_vol,9
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,8
23,$4001_sweep,8
23,$4002_period,1695
23,$400B_length,11
23,$4004_duty,0
23,$4004_const,0
23,$4004_vol,0
23,$4008_linear,31
23,$400A_period,423
23,$400B_length,8
23,$400C_const,1
23,$400C_vol,8
23,$400E_period,11
23,$400E_mode,0
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,7
24,$4001_sweep,8
24,$4002_period,1903
24,$400B_length,11
24,$4004_duty,0
24,$4004_const,0
24,$4004_vol,0
24,$4008_linear,31
24,$400A_period,475
24,$400B_length,8
24,$400C_const,1
24,$400C_vol,8
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,7
25,$4001_sweep,8
25,$4002_period,2135
25,$400B_length,12
25,$4004_duty,0
25,$4004_const,0
25,$4004_vol,0
25,$4008_linear,31
25,$400A_period,533
25,$400B_length,9
25,$400C_const,1
25,$400C_vol,7
25,$400E_period,10
25,$400E_mode,0
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,6
26,$4001_sweep,8
26,$4002_period,2397
26,$400B_length,12
26,$4004_duty,0
26,$4004_const,0
26,$4004_vol,0
26,$4008_linear,31
26,$400A_period,599
26,$400B_length,9
26,$400C_const,1
26,$400C_vol,7
27,$4000_duty,0
27,$4000_const,0
27,$4000_vol,0
27,$4001_sweep,0
27,$4002_period,1
27,$400B_length,0
27,$4004_duty,0
27,$4004_const,0
27,$4004_vol,0
27,$4008_linear,0
27,$400A_period,1
27,$400B_length,0
27,$400C_const,1
27,$400C_vol,6
27,$400E_period,10
27,$400E_mode,0
28,$4000_duty,0
28,$4000_const,0
28,$4000_vol,0
28,$4004_duty,0
28,$4004_const,0
28,$4004_vol,0
28,$4008_linear,0
28,$400C_const,1
28,$400C_vol,6
29,$4000_duty,0
29,$4000_const,0
29,$4000_vol,0
29,$4004_duty,0
29,$4004_const,0
29,$4004_vol,0
29,$4008_linear,0
29,$400C_const,1
29,$400C_vol,5
29,$400E_period,10
29,$400E_mode,0
30,$4000_duty,0
30,$4000_const,0
30,$4000_vol,0
30,$4004_duty,0
30,$4004_const,0
30,$4004_vol,0
30,$4008_linear,0
30,$400C_const,1
30,$400C_vol,5
31,$4000_duty,0
31,$4000_const,0
31,$4000_vol,0
31,$4004_duty,0
31,$4004_const,0
31,$4004_vol,0
31,$4008_linear,0
31,$400C_const,1
31,$400C_vol,4
31,$400E_period,9
31,$400E_mode,0
32,$4000_duty,0
32,$4000_const,0
32,$4000_vol,0
32,$4004_duty,0
32,$4004_const,0
32,$4004_vol,0
32,$4008_linear,0
32,$400C_const,1
32,$400C_vol,4
33,$4000_duty,0
33,$4000_const,0
33,$4000_vol,0
33,$4004_duty,0
33,$4004_const,0
33,$4004_vol,0
33,$4008_linear,0
33,$400C_const,1
33,$400C_vol,3
33,$400E_period,9
33,$400E_mode,0
34,$4000_duty,0
34,$4000_const,0
34,$4000_vol,0
34,$4004_duty,0
34,$4004_const,0
34,$4004_vol,0
34,$4008_linear,0
34,$400C_const,1
34,$400C_vol,3
35,$4000_duty,0
35,$4000_const,0
35,$4000_vol,0
35,$4004_duty,0
35,$4004_const,0
35,$4004_vol,0
35,$4008_linear,0
35,$400C_const,1
35,$400C_vol,2
35,$400E_period,9
35,$400E_mode,0
36,$4000_duty,0
36,$4000_const,0
36,$4000_vol,0
36,$4004_duty,0
36,$4004_const,0
36,$4004_vol,0
36,$4008_linear,0
36,$400C_const,1
36,$400C_vol,2
37,$4000_duty,0
37,$4000_const,0
37,$4000_vol,0
37,$4004_duty,0
37,$4004_const,0
37,$4004_vol,0
37,$4008_linear,0
37,$400C_const,0
37,$400C_vol,0
37,$400E_period,0
37,$400E_mode,0
38,$4000_duty,0
38,$4000_const,0
38,$4000_vol,0
38,$4004_duty,0
38,$4004_const,0
38,$4004_vol,0
38,$4008_linear,0
38,$400C_const,0
38,$400C_vol,0
39,$4000_duty,0
39,$4000_const,0
39,$4000_vol,0
39,$4004_duty,0
39,$4004_const,0
39,$4004_vol,0
39,$4008_linear,0
39,$400C_const,0
39,$400C_vol,0
40,$4000_duty,0
40,$4000_const,0
40,$4000_vol,0
40,$4004_duty,0
40,$4004_const,0
