frame,parameter,value
612,$4001_sweep,0
612,$4002_period,509
612,$400B_length,248
612,$4000_duty,2
612,$4000_const,1
612,$4000_vol,10
612,$4005_sweep,0
612,$4006_period,641
612,$4004_duty,2
612,$4004_const,1
612,$4004_vol,10
612,$400A_period,641
612,$400B_length,249
612,$4008_linear,127
612,$400E_period,1
612,$400E_mode,0
612,$400C_const,1
612,$400C_vol,11
613,$400C_const,1
613,$400C_vol,7
614,$4000_duty,2
614,$4000_const,1
614,$4000_vol,9
614,$4004_duty,2
614,$4004_const,1
614,$4004_vol,9
614,$400C_const,1
614,$400C_vol,0
616,$4000_duty,2
616,$4000_const,1
616,$4000_vol,8
616,$4004_duty,2
616,$4004_const,1
616,$4004_vol,8
618,$4000_duty,2
618,$4000_const,1
618,$4000_vol,7
618,$4004_duty,2
618,$4004_const,1
618,$4004_vol,7
620,$4000_duty,2
620,$4000_const,1
620,$4000_vol,9
620,$4004_duty,2
620,$4004_const,1
620,$4004_vol,9
620,$4008_linear,0
620,$400E_period,2
620,$400E_mode,0
620,$400C_const,1
620,$400C_vol,7
621,$400C_const,1
621,$400C_vol,0
622,$4000_duty,2
622,$4000_const,1
622,$4000_vol,8
622,$4004_duty,2
622,$4004_const,1
622,$4004_vol,8
624,$4000_duty,2
624,$4000_const,1
624,$4000_vol,7
624,$4004_duty,2
624,$4004_const,1
624,$4004_vol,7
627,$4000_duty,2
627,$4000_const,1
627,$4000_vol,6
627,$4004_duty,2
627,$4004_const,1
627,$4004_vol,6
629,$4000_duty,2
629,$4000_const,1
629,$4000_vol,8
629,$4004_duty,2
629,$4004_const,1
629,$4004_vol,8
629,$400A_period,605
629,$400B_length,249
629,$4008_linear,127
629,$400E_period,1
629,$400E_mode,0
629,$400C_const,1
629,$400C_vol,11
630,$400C_const,1
630,$400C_vol,7
631,$4000_duty,2
631,$4000_const,1
631,$4000_vol,7
631,$4004_duty,2
631,$4004_const,1
631,$4004_vol,7
631,$400C_const,1
631,$400C_vol,0
633,$4000_duty,2
633,$4000_const,1
633,$4000_vol,6
633,$4004_duty,2
633,$4004_const,1
633,$4004_vol,6
635,$4000_duty,2
635,$4000_const,1
635,$4000_vol,5
635,$4004_duty,2
635,$4004_const,1
635,$4004_vol,5
637,$4000_duty,2
637,$4000_const,1
637,$4000_vol,7
637,$4004_duty,2
637,$4004_const,1
637,$4004_vol,7
637,$4008_linear,0
637,$400E_period,2
637,$400E_mode,0
637,$400C_const,1
637,$400C_vol,7
638,$400C_const,1
638,$400C_vol,0
639,$4000_duty,2
639,$4000_const,1
639,$4000_vol,6
639,$4004_duty,2
639,$4004_const,1
639,$4004_vol,6
641,$4000_duty,2
641,$4000_const,1
641,$4000_vol,5
641,$4004_duty,2
641,$4004_const,1
641,$4004_vol,5
643,$4000_duty,2
643,$4000_const,1
643,$4000_vol,4
643,$4004_duty,2
643,$4004_const,1
643,$4004_vol,4
645,$4000_duty,2
645,$4000_const,1
645,$4000_vol,6
645,$4004_duty,2
645,$4004_const,1
645,$4004_vol,6
645,$400A_period,641
645,$400B_length,249
645,$4008_linear,127
645,$400E_period,1
645,$400E_mode,0
645,$400C_const,1
645,$400C_vol,11
646,$400C_const,1
646,$400C_vol,7
647,$4000_duty,2
647,$4000_const,1
647,$4000_vol,5
647,$4004_duty,2
647,$4004_const,1
647,$4004_vol,5
647,$400C_const,1
647,$400C_vol,0
649,$4000_duty,2
649,$4000_const,1
649,$4000_vol,4
649,$4004_duty,2
649,$4004_const,1
649,$4004_vol,4
651,$4000_duty,2
651,$4000_const,1
651,$4000_vol,3
651,$4004_duty,2
651,$4004_const,1
651,$4004_vol,3
653,$4000_duty,2
653,$4000_const,1
