frame,parameter,value
257,$4001_sweep,0
257,$4005_sweep,67
259,$4000_duty,2
259,$4000_const,0
259,$4000_vol,3
259,$4001_sweep,0
259,$4002_period,855
259,$400B_length,161
259,$4004_duty,1
259,$4004_const,0
259,$4004_vol,7
259,$4005_sweep,67
259,$4006_period,2283
259,$4008_linear,31
259,$400A_period,507
259,$400B_length,160
259,$400C_const,0
259,$400C_vol,0
259,$400E_period,4
259,$400E_mode,0
275,$4000_duty,2
275,$4000_const,0
275,$4000_vol,3
275,$4001_sweep,0
275,$4002_period,855
275,$400B_length,161
275,$4004_duty,1
275,$4004_const,0
275,$4004_vol,7
275,$4005_sweep,67
275,$4006_period,2283
275,$4008_linear,31
275,$400A_period,507
275,$400B_length,160
275,$400C_const,0
275,$400C_vol,0
275,$400E_period,4
275,$400E_mode,0
283,$4000_duty,2
283,$4000_const,0
283,$4000_vol,3
283,$4001_sweep,0
283,$4002_period,761
283,$400B_length,161
283,$4004_duty,1
283,$4004_const,0
283,$4004_vol,7
283,$4005_sweep,67
283,$4006_period,2283
283,$4008_linear,31
283,$400A_period,453
283,$400B_length,160
283,$400C_const,0
283,$400C_vol,0
283,$400E_period,4
283,$400E_mode,0
307,$4000_duty,2
307,$4000_const,0
307,$4000_vol,3
307,$4001_sweep,0
307,$4002_period,569
307,$400B_length,161
307,$4004_duty,1
307,$4004_const,0
307,$4004_vol,7
307,$4005_sweep,67
307,$4006_period,2283
307,$4008_linear,31
307,$400A_period,453
307,$400B_length,160
307,$400C_const,0
307,$400C_vol,0
307,$400E_period,6
307,$400E_mode,0
315,$4004_duty,1
315,$4004_const,0
315,$4004_vol,7
315,$4005_sweep,67
315,$4006_period,2283
315,$400C_const,0
315,$400C_vol,0
315,$400E_period,4
315,$400E_mode,0
323,$4000_duty,2
323,$4000_const,0
323,$4000_vol,3
323,$4001_sweep,0
323,$4002_period,569
323,$400B_length,161
323,$4004_duty,1
323,$4004_const,0
323,$4004_vol,7
323,$4005_sweep,67
323,$4006_period,2283
323,$4008_linear,31
323,$400A_period,453
323,$400B_length,160
323,$400C_const,0
323,$400C_vol,0
323,$400E_period,4
323,$400E_mode,0
331,$4004_duty,1
331,$4004_const,0
331,$4004_vol,7
331,$4005_sweep,67
331,$4006_period,2283
331,$400C_const,0
331,$400C_vol,0
331,$400E_period,6
331,$400E_mode,0
339,$4000_duty,2
339,$4000_const,0
339,$4000_vol,3
339,$4001_sweep,0
339,$4002_period,677
339,$400B_length,161
339,$4004_duty,1
339,$4004_const,0
339,$4004_vol,7
339,$4005_sweep,67
339,$4006_period,2283
339,$4008_linear,31
339,$400A_period,427
339,$400B_length,160
339,$400C_const,0
339,$400C_vol,0
339,$400E_period,4
339,$400E_mode,0
347,$4000_duty,2
347,$4000_const,0
347,$4000_vol,3
347,$4001_sweep,0
347,$4002_period,855
347,$400B_length,161
347,$4004_duty,1
347,$4004_const,0
347,$4004_vol,7
347,$4005_sweep,67
347,$4006_period,2283
347,$4008_linear,31
347,$400A_period,507
347,$400B_length,160
347,$400C_const,0
347,$400C_vol,0
347,$400E_period,4
347,$400E_mode,0
355,$4000_duty,2
355,$4000_const,0
355,$4000_vol,3
355,$4001_sweep,0
355,$4002_period,1017
355,$400B_length,161
355,$4004_duty,1
355,$4004_const,0
355,$4004_vol,7
355,$4005_sweep,67
355,$4006_period,2283
355,$4008_linear,31
355,$400A_period,639
355,$400B_length,161
355,$400C_const,0
355,$400C_vol,0
355,$400E_period,4
355,$400E_mode,0
363,$4000_duty,2
363,$4000_const,0
363,$4000_vol,3
363,$4001_sweep,0
363,$4002_period,677
363,$400B_length,161
363,$4004_duty,1
363,$4004_const,0
363,$4004_vol,7
363,$4005_sweep,67
363,$4006_period,2283
363,$4008_linear,31
363,$400A_period,427
363,$400B_length,160
363,$400C_const,0
363,$400C_vol,0
