frame,parameter,value
0,$400E_period,6
0,$400E_mode,0
0,$400C_const,1
0,$400C_vol,3
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,7
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,0
1,$400E_period,7
1,$400E_mode,0
1,$400C_const,1
1,$400C_vol,2
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,7
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,0
2,$400E_period,8
2,$400E_mode,0
2,$400C_const,1
2,$400C_vol,1
2,$400A_period,1921
2,$400B_length,243
2,$4008_linear,3
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,7
2,$4001_sweep,0
2,$4002_period,241
2,$400B_length,0
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,12
3,$400E_period,2
3,$400E_mode,0
3,$400E_period,8
3,$400E_mode,1
3,$400C_const,1
3,$400C_vol,10
3,$4006_period,641
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,3
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,12
4,$400E_period,14
4,$400E_mode,1
4,$400C_const,1
4,$400C_vol,9
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,7
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,12
5,$400E_period,4
5,$400E_mode,1
5,$400C_const,1
5,$400C_vol,8
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,7
5,$4001_sweep,0
5,$4002_period,481
5,$400B_length,0
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,10
6,$400E_period,10
6,$400E_mode,1
6,$400C_const,1
6,$400C_vol,7
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,7
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,8
7,$400E_period,0
7,$400E_mode,1
7,$400C_const,1
7,$400C_vol,6
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,7
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,6
8,$400E_period,6
8,$400E_mode,1
8,$400C_const,1
8,$400C_vol,5
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,7
8,$4001_sweep,0
8,$4002_period,241
8,$400B_length,0
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,4
9,$400E_period,12
9,$400E_mode,1
9,$400C_const,1
9,$400C_vol,4
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,7
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,2
10,$400E_period,2
10,$400E_mode,1
10,$400C_const,1
10,$400C_vol,3
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,7
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,0
11,$400E_period,8
11,$400E_mode,1
11,$400C_const,1
11,$400C_vol,2
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,7
11,$4001_sweep,0
11,$4002_period,481
11,$400B_length,0
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,0
12,$400E_period,14
12,$400E_mode,1
12,$400C_const,1
12,$400C_vol,1
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,7
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,0
13,$400E_period,4
