frame,parameter,value
214,$4010_rate,0
218,$400C_const,0
218,$400C_vol,0
218,$400E_period,7
218,$400E_mode,1
221,$400C_const,0
221,$400C_vol,0
221,$400E_period,7
221,$400E_mode,1
227,$400C_const,0
227,$400C_vol,0
227,$400E_period,7
227,$400E_mode,1
230,$400C_const,0
230,$400C_vol,0
230,$400E_period,7
230,$400E_mode,1
233,$400C_const,0
233,$400C_vol,0
233,$400E_period,7
233,$400E_mode,1
236,$400C_const,0
236,$400C_vol,0
236,$400E_period,7
236,$400E_mode,1
239,$400C_const,0
239,$400C_vol,0
239,$400E_period,7
239,$400E_mode,1
241,$400C_const,0
241,$400C_vol,0
241,$400E_period,7
241,$400E_mode,1
245,$400C_const,0
245,$400C_vol,0
245,$400E_period,7
245,$400E_mode,1
249,$400C_const,0
249,$400C_vol,0
249,$400E_period,7
249,$400E_mode,1
251,$400C_const,0
251,$400C_vol,0
251,$400E_period,7
251,$400E_mode,1
253,$400C_const,0
253,$400C_vol,0
253,$400E_period,7
253,$400E_mode,1
258,$400C_const,0
258,$400C_vol,0
258,$400E_period,7
258,$400E_mode,1
261,$400C_const,0
261,$400C_vol,0
261,$400E_period,7
261,$400E_mode,1
264,$400C_const,0
264,$400C_vol,0
264,$400E_period,7
264,$400E_mode,1
266,$400C_const,0
266,$400C_vol,0
266,$400E_period,7
266,$400E_mode,1
269,$400C_const,0
269,$400C_vol,0
269,$400E_period,7
269,$400E_mode,1
271,$400C_const,0
271,$400C_vol,0
271,$400E_period,7
271,$400E_mode,1
272,$400C_const,0
272,$400C_vol,0
272,$400E_period,7
272,$400E_mode,1
274,$400C_const,0
274,$400C_vol,0
274,$400E_period,7
274,$400E_mode,1
279,$400C_const,0
279,$400C_vol,0
279,$400E_period,7
279,$400E_mode,1
281,$400C_const,0
281,$400C_vol,0
281,$400E_period,7
281,$400E_mode,1
283,$400C_const,0
283,$400C_vol,0
283,$400E_period,7
283,$400E_mode,1
284,$400C_const,0
284,$400C_vol,0
284,$400E_period,7
284,$400E_mode,1
286,$400C_const,0
286,$400C_vol,0
286,$400E_period,7
286,$400E_mode,1
360,$4010_rate,0
364,$4008_linear,2
364,$400A_period,283
364,$400B_length,40
364,$4004_duty,2
364,$4004_const,1
364,$4004_vol,15
364,$4005_sweep,15
364,$4006_period,3409
364,$4000_duty,2
364,$4000_const,1
364,$4000_vol,15
364,$4001_sweep,143
364,$4002_period,3409
364,$400B_length,70
369,$4008_linear,2
369,$400A_period,379
369,$400B_length,40
373,$4008_linear,2
373,$400A_period,299
373,$400B_length,40
378,$4008_linear,2
378,$400A_period,357
378,$400B_length,40
400,$4004_duty,2
400,$4004_const,1
400,$4004_vol,15
400,$4005_sweep,15
400,$4006_period,2869
400,$4000_duty,2
400,$4000_const,1
400,$4000_vol,15
400,$4001_sweep,143
400,$4002_period,2869
400,$400B_length,69
426,$400C_const,0
426,$400C_vol,0
426,$400E_period,7
426,$400E_mode,1
436,$4004_duty,2
436,$4004_const,1
436,$4004_vol,15
436,$4005_sweep,15
436,$4006_period,2277
436,$4000_duty,2
436,$4000_const,1
436,$4000_vol,15
436,$4001_sweep,143
436,$4002_period,2277
436,$400B_length,68
472,$4004_duty,2
472,$4004_const,1
472,$4004_vol,15
472,$4005_sweep,15
472,$4006_period,1437
472,$4000_duty,2
472,$4000_const,1
472,$4000_vol,15
472,$4001_sweep,143
472,$4002_period,1437
472,$400B_length,66
486,$400C_const,0
486,$400C_vol,0
486,$400E_period,7
486,$400E_mode,1
508,$4008_linear,2
508,$400A_period,283
508,$400B_length,40
508,$4004_duty,2
508,$4004_const,1
508,$4004_vol,15
508,$4005_sweep,15
508,$4006_period,1523
508,$4000_duty,2
508,$4000_const,1
508,$4000_vol,15
508,$4001_sweep,143
508,$4002_period,1523
508,$400B_length,66
513,$4008_linear,2
513,$400A_period,379
513,$400B_length,40
517,$4008_linear,2
517,$400A_period,299
517,$400B_length,40
522,$4008_linear,2
522,$400A_period,357
522,$400B_length,40
544,$4004_duty,2
544,$4004_const,1
544,$4004_vol,15
544,$4005_sweep,15
544,$4006_period,2145
544,$4000_duty,2
544,$4000_const,1
544,$4000_vol,15
544,$4001_sweep,143
544,$4002_period,2145
544,$400B_length,68
546,$400C_const,0
546,$400C_vol,0
546,$400E_period,7
546,$400E_mode,1
580,$4004_duty,2
580,$4004_const,1
580,$4004_vol,15
580,$4005_sweep,15
580,$4006_period,1709
580,$4000_duty,2
580,$4000_const,1
580,$4000_vol,15
580,$4001_sweep,143
580,$4002_period,1709
580,$400B_length,67
616,$4004_duty,2
616,$4004_const,1
616,$4004_vol,15
616,$4005_sweep,15
616,$4006_period,2869
616,$4000_duty,2
616,$4000_const,1
616,$4000_vol,15
616,$4001_sweep,143
616,$4002_period,2869
616,$400B_length,69
652,$4008_linear,2
652,$400A_period,283
652,$400B_length,40
652,$4004_duty,2
652,$4004_const,1
652,$4004_vol,15
652,$4005_sweep,15
652,$4006_period,3409
652,$4000_duty,2
652,$4000_const,1
652,$4000_vol,15
652,$4001_sweep,143
652,$4002_period,3409
652,$400B_length,70
657,$4008_linear,2
657,$400A_period,379
657,$400B_length,40
661,$4008_linear,2
661,$400A_period,299
661,$400B_length,40
666,$4008_linear,2
666,$400A_period,357
666,$400B_length,40
688,$4004_duty,2
688,$4004_const,1
688,$4004_vol,15
688,$4005_sweep,15
688,$4006_period,3041
688,$4000_duty,2
688,$4000_const,1
688,$4000_vol,15
688,$4001_sweep,143
688,$4002_period,3041
688,$400B_length,69
724,$4004_duty,2
724,$4004_const,1
724,$4004_vol,15
724,$4005_sweep,15
724,$4006_period,2869
724,$4000_duty,2
724,$4000_const,1
724,$4000_vol,15
724,$4001_sweep,143
724,$4002_period,2869
724,$400B_length,69
760,$4004_duty,2
760,$4004_const,1
760,$4004_vol,15
760,$4005_sweep,15
760,$4006_period,1921
760,$4000_duty,2
760,$4000_const,1
760,$4000_vol,15
760,$4001_sweep,143
760,$4002_period,1921
760,$400B_length,67
796,$4008_linear,2
796,$400A_period,283
796,$400B_length,40
796,$4004_duty,2
796,$4004_const,1
796,$4004_vol,15
796,$4005_sweep,15
796,$4006_period,2029
796,$4000_duty,2
796,$4000_const,1
796,$4000_vol,15
796,$4001_sweep,143
796,$4002_period,2029
796,$400B_length,67
