frame,parameter,value
0,$400E_period,4
0,$400E_mode,0
1,$400E_period,4
1,$400E_mode,0
2,$400E_period,4
2,$400E_mode,0
3,$400E_period,4
3,$400E_mode,0
4,$400E_period,4
4,$400E_mode,0
5,$400E_period,4
5,$400E_mode,0
6,$400E_period,4
6,$400E_mode,0
6,$400E_period,4
6,$400E_mode,0
7,$400C_const,1
7,$400C_vol,0
7,$4008_linear,0
7,$400E_period,4
7,$400E_mode,0
8,$400C_const,1
8,$400C_vol,15
8,$400E_period,4
8,$400E_mode,0
8,$4008_linear,112
8,$400A_period,85
8,$400B_length,0
8,$400C_const,1
8,$400C_vol,7
8,$400E_period,4
8,$400E_mode,0
9,$400C_const,1
9,$400C_vol,5
9,$400E_period,4
9,$400E_mode,0
10,$400C_const,1
10,$400C_vol,3
10,$400E_period,4
10,$400E_mode,0
11,$400C_const,1
11,$400C_vol,2
11,$400E_period,4
11,$400E_mode,0
12,$400C_const,1
12,$400C_vol,0
12,$400E_period,4
12,$400E_mode,0
13,$4008_linear,0
13,$400E_period,4
13,$400E_mode,0
14,$400E_period,4
14,$400E_mode,0
15,$4008_linear,112
15,$400A_period,79
15,$400B_length,0
15,$400E_period,4
15,$400E_mode,0
16,$400C_const,1
16,$400C_vol,0
16,$400E_period,4
16,$400E_mode,0
17,$400C_const,1
17,$400C_vol,15
17,$400E_period,4
17,$400E_mode,0
17,$400C_const,1
17,$400C_vol,7
17,$400E_period,4
17,$400E_mode,0
18,$400C_const,1
18,$400C_vol,5
18,$4008_linear,0
18,$400E_period,4
18,$400E_mode,0
19,$4008_linear,112
19,$400A_period,85
19,$400B_length,0
19,$400C_const,1
19,$400C_vol,3
19,$400E_period,4
19,$400E_mode,0
20,$400C_const,1
20,$400C_vol,2
20,$400E_period,4
20,$400E_mode,0
21,$400C_const,1
21,$400C_vol,0
21,$400E_period,4
21,$400E_mode,0
22,$400E_period,4
22,$400E_mode,0
23,$400E_period,4
23,$400E_mode,0
24,$400E_period,4
24,$400E_mode,0
25,$400C_const,1
25,$400C_vol,0
25,$4008_linear,0
25,$400E_period,4
25,$400E_mode,0
25,$4012_addr,253
25,$4013_len,0
25,$4010_rate,79
26,$400C_const,1
26,$400C_vol,15
26,$400E_period,4
26,$400E_mode,0
26,$4008_linear,112
26,$400A_period,95
26,$400B_length,0
26,$400C_const,1
26,$400C_vol,7
26,$400E_period,4
26,$400E_mode,0
26,$4012_addr,250
26,$4013_len,4
26,$4010_rate,15
27,$400C_const,1
27,$400C_vol,5
27,$400E_period,4
27,$400E_mode,0
28,$400C_const,1
28,$400C_vol,3
28,$400E_period,4
28,$400E_mode,0
29,$400C_const,1
29,$400C_vol,2
29,$400E_period,4
29,$400E_mode,0
30,$400C_const,1
30,$400C_vol,0
30,$400E_period,4
30,$400E_mode,0
31,$400E_period,4
31,$400E_mode,0
32,$400E_period,4
32,$400E_mode,0
33,$400E_period,4
33,$400E_mode,0
34,$4008_linear,0
34,$400E_period,4
34,$400E_mode,0
35,$4008_linear,112
35,$400A_period,107
35,$400B_length,0
35,$400E_period,4
35,$400E_mode,0
36,$400E_period,4
36,$400E_mode,0
37,$400E_period,4
37,$400E_mode,0
38,$400E_period,4
38,$400E_mode,0
39,$400E_period,4
39,$400E_mode,0
40,$400E_period,4
40,$400E_mode,0
41,$400E_period,4
41,$400E_mode,0
42,$400E_period,4
42,$400E_mode,0
43,$400C_const,1
43,$400C_vol,0
43,$4008_linear,0
43,$400E_period,4
43,$400E_mode,0
43,$4012_addr,253
43,$4013_len,0
43,$4010_rate,79
44,$400C_const,1
44,$400C_vol,15
44,$400E_period,4
44,$400E_mode,0
44,$4008_linear,112
44,$400A_period,95
44,$400B_length,0
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,15
44,$4006_period,761
44,$4000_duty,0
44,$4000_const,1
44,$4000_vol,15
44,$4002_period,639
44,$400B_length,1
44,$400C_const,1
44,$400C_vol,7
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,9
44,$4000_duty,0
44,$4000_const,1
44,$4000_vol,9
44,$400E_period,4
44,$400E_mode,0
44,$4012_addr,250
44,$4013_len,4
44,$4010_rate,15
45,$400C_const,1
45,$400C_vol,5
45,$4004_duty,0
45,$4004_const,1
45,$4004_vol,8
45,$4000_duty,0
45,$4000_const,1
45,$4000_vol,8
45,$400E_period,4
45,$400E_mode,0
46,$400C_const,1
46,$400C_vol,3
46,$4004_duty,0
46,$4004_const,1
46,$4004_vol,7
46,$4000_duty,0
46,$4000_const,1
46,$4000_vol,7
46,$400E_period,4
46,$400E_mode,0
47,$400C_const,1
47,$400C_vol,2
47,$4004_duty,0
47,$4004_const,1
47,$4004_vol,6
47,$4000_duty,0
47,$4000_const,1
47,$4000_vol,6
47,$400E_period,4
47,$400E_mode,0
48,$400C_const,1
48,$400C_vol,0
48,$4004_duty,0
48,$4004_const,1
48,$4004_vol,5
48,$4000_duty,0
48,$4000_const,1
48,$4000_vol,5
48,$400E_period,4
48,$400E_mode,0
49,$4004_duty,0
49,$4004_const,1
49,$4004_vol,4
49,$4000_duty,0
49,$4000_const,1
49,$4000_vol,4
49,$400E_period,4
49,$400E_mode,0
50,$400E_period,4
50,$400E_mode,0
51,$400E_period,4
51,$400E_mode,0
52,$400E_period,4
52,$400E_mode,0
53,$400E_period,4
53,$400E_mode,0
54,$400E_period,4
54,$400E_mode,0
55,$400E_period,4
55,$400E_mode,0
56,$400E_period,4
56,$400E_mode,0
57,$400E_period,4
57,$400E_mode,0
58,$400E_period,4
58,$400E_mode,0
59,$400E_period,4
59,$400E_mode,0
60,$400E_period,4
60,$400E_mode,0
61,$400C_const,1
61,$400C_vol,0
61,$400E_period,4
61,$400E_mode,0
62,$400C_const,1
62,$400C_vol,0
62,$400E_period,4
62,$400E_mode,0
63,$400C_const,1
63,$400C_vol,15
63,$400E_period,4
63,$400E_mode,0
63,$400C_const,1
63,$400C_vol,7
63,$400E_period,4
63,$400E_mode,0
64,$400C_const,1
64,$400C_vol,5
64,$400E_period,4
64,$400E_mode,0
65,$400C_const,1
65,$400C_vol,3
65,$400E_period,4
65,$400E_mode,0
66,$400C_const,1
66,$400C_vol,2
66,$400E_period,4
66,$400E_mode,0
67,$400C_const,1
67,$400C_vol,0
67,$400E_period,4
67,$400E_mode,0
68,$400E_period,4
68,$400E_mode,0
69,$400E_period,4
69,$400E_mode,0
70,$400E_period,4
70,$400E_mode,0
71,$400E_period,4
71,$400E_mode,0
72,$400E_period,4
72,$400E_mode,0
73,$400E_period,4
73,$400E_mode,0
74,$400E_period,4
74,$400E_mode,0
75,$400E_period,4
75,$400E_mode,0
76,$400E_period,4
76,$400E_mode,0
77,$400E_period,4
77,$400E_mode,0
78,$400E_period,4
78,$400E_mode,0
79,$400E_period,4
79,$400E_mode,0
80,$400C_const,1
80,$400C_vol,0
80,$4008_linear,0
80,$400E_period,4
80,$400E_mode,0
80,$4012_addr,253
80,$4013_len,0
80,$4010_rate,79
81,$400C_const,1
81,$400C_vol,15
81,$400E_period,4
81,$400E_mode,0
81,$4008_linear,112
81,$400A_period,107
81,$400B_length,0
81,$4004_duty,0
81,$4004_const,1
81,$4004_vol,15
81,$4006_period,1015
81,$4000_duty,0
81,$4000_const,1
81,$4000_vol,15
81,$4002_period,677
81,$400B_length,1
81,$400C_const,1
81,$400C_vol,7
81,$4004_duty,0
81,$4004_const,1
81,$4004_vol,9
81,$4000_duty,0
81,$4000_const,1
