frame,parameter,value
424,$4000_duty,0
424,$4000_const,0
424,$4000_vol,0
424,$4004_duty,0
424,$4004_const,0
424,$4004_vol,0
424,$4008_linear,0
424,$400C_const,0
424,$400C_vol,0
424,$400E_period,0
424,$400E_mode,0
425,$4000_duty,0
425,$4000_const,0
425,$4000_vol,0
425,$4004_duty,0
425,$4004_const,0
425,$4004_vol,0
425,$4008_linear,0
425,$400C_const,0
425,$400C_vol,0
425,$400E_period,0
425,$400E_mode,0
426,$4001_sweep,67
426,$4000_duty,1
426,$4000_const,1
426,$4000_vol,7
426,$4002_period,1
426,$400B_length,152
426,$4005_sweep,0
426,$4004_duty,0
426,$4004_const,0
426,$4004_vol,0
426,$4006_period,1
426,$4008_linear,31
426,$400A_period,1
426,$400B_length,0
426,$400C_const,1
426,$400C_vol,7
426,$400E_period,2
426,$400E_mode,0
427,$4000_duty,1
427,$4000_const,1
427,$4000_vol,6
427,$4004_duty,0
427,$4004_const,0
427,$4004_vol,0
427,$4008_linear,31
427,$400C_const,1
427,$400C_vol,6
427,$400E_period,1
427,$400E_mode,0
429,$4000_duty,1
429,$4000_const,1
429,$4000_vol,5
429,$4004_duty,0
429,$4004_const,0
429,$4004_vol,0
429,$4008_linear,31
429,$400C_const,1
429,$400C_vol,5
429,$400E_period,2
429,$400E_mode,0
430,$4000_duty,1
430,$4000_const,1
430,$4000_vol,4
430,$4004_duty,0
430,$4004_const,0
430,$4004_vol,0
430,$4008_linear,31
430,$400C_const,1
430,$400C_vol,4
430,$400E_period,1
430,$400E_mode,0
432,$4000_duty,1
432,$4000_const,1
432,$4000_vol,3
432,$4004_duty,0
432,$4004_const,0
432,$4004_vol,0
432,$4008_linear,31
432,$400C_const,1
432,$400C_vol,3
432,$400E_period,2
432,$400E_mode,0
434,$4000_duty,1
434,$4000_const,1
434,$4000_vol,2
434,$4004_duty,0
434,$4004_const,0
434,$4004_vol,0
434,$4008_linear,31
434,$400C_const,1
434,$400C_vol,2
434,$400E_period,1
434,$400E_mode,0
435,$4000_duty,1
435,$4000_const,1
435,$4000_vol,1
435,$4004_duty,0
435,$4004_const,0
435,$4004_vol,0
435,$4008_linear,31
435,$400C_const,1
435,$400C_vol,1
435,$400E_period,2
435,$400E_mode,0
437,$4000_duty,1
437,$4000_const,1
437,$4000_vol,0
437,$4004_duty,0
437,$4004_const,0
437,$4004_vol,0
437,$4008_linear,31
437,$400C_const,1
437,$400C_vol,0
437,$400E_period,1
437,$400E_mode,0
439,$4000_duty,1
439,$4000_const,1
439,$4000_vol,0
439,$4004_duty,0
439,$4004_const,0
439,$4004_vol,0
439,$4008_linear,31
439,$400C_const,1
