frame,parameter,value
20,$400C_const,1
20,$400C_vol,0
20,$4008_linear,48
20,$400A_period,1
20,$400B_length,8
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
20,$4005_sweep,8
20,$4006_period,1
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
20,$4001_sweep,8
20,$4002_period,1
20,$400B_length,8
20,$4008_linear,0
20,$4012_addr,0
21,$400C_const,1
21,$400C_vol,0
21,$4008_linear,48
21,$400A_period,1
21,$400B_length,8
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,0
21,$4005_sweep,8
21,$4006_period,1
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
21,$4001_sweep,8
21,$4002_period,1
21,$400B_length,8
21,$4008_linear,0
21,$4012_addr,0
22,$400C_const,1
22,$400C_vol,0
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
22,$4006_period,4095
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,6
22,$4002_period,451
22,$400B_length,0
23,$400C_const,1
23,$400C_vol,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,6
23,$4002_period,905
23,$400B_length,1
24,$400C_const,1
24,$400C_vol,0
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,0
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,6
25,$400C_const,1
25,$400C_vol,0
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,0
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,6
26,$400C_const,1
26,$400C_vol,0
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,0
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,6
27,$400C_const,1
27,$400C_vol,0
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,0
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,5
28,$400C_const,1
28,$400C_vol,0
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,0
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,5
29,$400C_const,1
29,$400C_vol,0
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,0
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,4
30,$400C_const,1
30,$400C_vol,0
30,$4004_duty,0
30,$4004_const,1
