frame,parameter,value
1,$4000_duty,2
1,$4000_const,0
1,$4000_vol,3
1,$4001_sweep,0
1,$4002_period,855
1,$400B_length,161
1,$4004_duty,1
1,$4004_const,0
1,$4004_vol,7
1,$4005_sweep,67
1,$4006_period,2563
1,$4008_linear,31
1,$400A_period,507
1,$400B_length,152
1,$400C_const,0
1,$400C_vol,0
1,$400E_period,6
1,$400E_mode,0
17,$4000_duty,2
17,$4000_const,0
17,$4000_vol,3
17,$4001_sweep,0
17,$4002_period,855
17,$400B_length,161
17,$4008_linear,31
17,$400A_period,507
17,$400B_length,152
17,$400C_const,0
17,$400C_vol,0
17,$400E_period,6
17,$400E_mode,0
33,$4000_duty,2
33,$4000_const,0
33,$4000_vol,3
33,$4001_sweep,0
33,$4002_period,639
33,$400B_length,161
33,$4008_linear,31
33,$400A_period,427
33,$400B_length,152
33,$400C_const,0
33,$400C_vol,0
33,$400E_period,6
33,$400E_mode,0
41,$4000_duty,2
41,$4000_const,0
41,$4000_vol,3
41,$4001_sweep,0
41,$4002_period,639
41,$400B_length,161
41,$4008_linear,31
41,$400A_period,427
41,$400B_length,152
41,$400C_const,0
41,$400C_vol,0
41,$400E_period,6
41,$400E_mode,0
49,$4000_duty,2
49,$4000_const,0
49,$4000_vol,3
49,$4001_sweep,0
49,$4002_period,639
49,$400B_length,161
49,$4008_linear,31
49,$400A_period,427
49,$400B_length,152
49,$400C_const,0
49,$400C_vol,0
49,$400E_period,6
49,$400E_mode,0
65,$4000_duty,2
65,$4000_const,0
65,$4000_vol,3
65,$4001_sweep,0
65,$4002_period,761
65,$400B_length,161
65,$4008_linear,31
65,$400A_period,479
65,$400B_length,152
65,$400C_const,0
65,$400C_vol,0
65,$400E_period,6
65,$400E_mode,0
73,$4000_duty,2
73,$4000_const,0
73,$4000_vol,3
73,$4001_sweep,0
73,$4002_period,761
73,$400B_length,161
73,$4008_linear,31
73,$400A_period,479
73,$400B_length,152
73,$400C_const,0
73,$400C_vol,0
73,$400E_period,6
73,$400E_mode,0
81,$4000_duty,2
81,$4000_const,0
81,$4000_vol,3
81,$4001_sweep,0
81,$4002_period,761
81,$400B_length,161
81,$4008_linear,31
81,$400A_period,479
81,$400B_length,152
81,$400C_const,0
81,$400C_vol,0
81,$400E_period,6
