frame,parameter,value
0,$4011_dac,0
1,$4011_dac,0
2,$4011_dac,0
3,$4011_dac,0
4,$4011_dac,0
5,$4002_period,507
5,$400B_length,8
5,$4000_duty,0
5,$4000_const,0
5,$4000_vol,6
5,$4006_period,425
5,$4004_duty,2
5,$4004_const,0
5,$4004_vol,7
5,$4011_dac,0
6,$4011_dac,0
7,$4011_dac,0
8,$4011_dac,0
9,$4011_dac,0
10,$4011_dac,0
11,$4011_dac,0
12,$4011_dac,0
13,$4011_dac,0
14,$4002_period,1017
14,$400B_length,9
14,$4000_duty,0
14,$4000_const,0
14,$4000_vol,6
14,$400A_period,855
14,$400B_length,9
14,$4008_linear,56
14,$4011_dac,0
15,$4011_dac,0
16,$4011_dac,0
17,$4011_dac,0
18,$4011_dac,0
19,$4011_dac,0
20,$4011_dac,0
21,$4011_dac,0
22,$4011_dac,0
23,$4002_period,855
23,$400B_length,9
23,$4000_duty,0
23,$4000_const,0
23,$4000_vol,6
23,$4011_dac,0
24,$4011_dac,0
25,$4011_dac,0
26,$4011_dac,0
27,$4011_dac,0
28,$4011_dac,0
29,$4011_dac,0
30,$4011_dac,0
31,$4011_dac,0
32,$4002_period,1017
32,$400B_length,9
32,$4000_duty,0
32,$4000_const,0
32,$4000_vol,6
32,$4011_dac,0
33,$4011_dac,0
34,$4011_dac,0
35,$4011_dac,0
36,$4011_dac,0
37,$4011_dac,0
38,$4011_dac,0
39,$4011_dac,0
40,$4011_dac,0
41,$4002_period,477
41,$400B_length,8
41,$4000_duty,0
41,$4000_const,0
41,$4000_vol,6
41,$4006_period,379
41,$4004_duty,2
41,$4004_const,0
41,$4004_vol,4
41,$400A_period,477
41,$400B_length,8
41,$4008_linear,56
41,$4011_dac,0
42,$4011_dac,0
43,$4011_dac,0
44,$4011_dac,0
45,$4011_dac,0
46,$4011_dac,0
47,$4011_dac,0
48,$4011_dac,0
49,$4011_dac,0
50,$4002_period,477
50,$400B_length,8
50,$4000_duty,0
50,$4000_const,0
50,$4000_vol,6
50,$4006_period,379
50,$4004_duty,2
50,$4004_const,0
50,$4004_vol,4
50,$4011_dac,0
51,$4011_dac,0
52,$4011_dac,0
53,$4011_dac,0
54,$4011_dac,0
55,$4011_dac,0
56,$4011_dac,0
57,$4011_dac,0
58,$4011_dac,0
59,$4002_period,477
59,$400B_length,8
59,$4000_duty,0
59,$4000_const,0
