frame,parameter,value
0,$400C_const,1
0,$400C_vol,0
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,0
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,5
1,$400C_const,1
1,$400C_vol,0
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,0
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,5
2,$400C_const,1
2,$400C_vol,0
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,5
3,$400C_const,1
3,$400C_vol,0
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,5
4,$400C_const,1
4,$400C_vol,0
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,5
5,$400C_const,1
5,$400C_vol,0
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,5
6,$400C_const,1
6,$400C_vol,0
6,$4008_linear,0
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,0
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,5
7,$400C_const,1
7,$400C_vol,0
7,$4008_linear,0
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,0
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,5
8,$400C_const,1
8,$400C_vol,0
8,$4008_linear,0
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,0
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,5
9,$400C_const,1
9,$400C_vol,0
9,$4008_linear,0
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,0
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,5
10,$400C_const,1
10,$400C_vol,0
10,$4008_linear,0
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,0
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,5
11,$400C_const,1
11,$400C_vol,0
11,$4008_linear,0
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,0
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,5
12,$400C_const,1
12,$400C_vol,0
12,$400A_period,539
12,$400B_length,9
12,$4008_linear,127
12,$4005_sweep,8
12,$4006_period,539
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,7
12,$4001_sweep,8
12,$4002_period,719
12,$400B_length,9
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,5
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,7
13,$4000_duty,3
13,$4000_const,1
13,$4000_vol,5
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,7
14,$4000_duty,3
14,$4000_const,1
14,$4000_vol,5
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,7
15,$4000_duty,3
15,$4000_const,1
15,$4000_vol,5
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,7
16,$4000_duty,3
16,$4000_const,1
16,$4000_vol,5
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,7
17,$4000_duty,3
17,$4000_const,1
17,$4000_vol,5
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,7
18,$4000_duty,3
18,$4000_const,1
18,$4000_vol,5
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,7
19,$4000_duty,3
19,$4000_const,1
19,$4000_vol,5
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,7
20,$4000_duty,3
20,$4000_const,1
20,$4000_vol,5
21,$4008_linear,0
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,7
21,$4000_duty,3
21,$4000_const,1
21,$4000_vol,5
22,$4008_linear,0
