frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,7
0,$4001_sweep,0
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,7
0,$4005_sweep,0
0,$4008_linear,127
0,$400C_const,1
0,$400C_vol,0
0,$400E_period,1
0,$400E_mode,0
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,7
1,$4001_sweep,0
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,7
1,$4005_sweep,0
1,$4008_linear,127
1,$400C_const,1
1,$400C_vol,0
1,$400E_period,1
1,$400E_mode,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,7
2,$4001_sweep,0
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,7
2,$4005_sweep,0
2,$4008_linear,127
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,1
2,$400E_mode,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,7
3,$4001_sweep,0
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,7
3,$4005_sweep,0
3,$4008_linear,127
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,1
3,$400E_mode,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,7
4,$4001_sweep,0
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,7
4,$4005_sweep,0
4,$4008_linear,127
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,1
4,$400E_mode,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,7
5,$4001_sweep,0
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,7
5,$4005_sweep,0
5,$4008_linear,127
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,1
5,$400E_mode,0
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,7
6,$4001_sweep,0
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,7
6,$4005_sweep,0
6,$4008_linear,127
6,$400C_const,1
6,$400C_vol,0
6,$400E_period,1
6,$400E_mode,0
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,7
7,$4001_sweep,0
7,$4002_period,381
7,$400B_length,8
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,7
7,$4005_sweep,0
7,$4006_period,509
7,$4008_linear,127
7,$400A_period,321
7,$400B_length,8
7,$400C_const,1
7,$400C_vol,0
7,$400E_period,1
7,$400E_mode,0
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,7
